Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Penerimaan Dari Royalti, Fees, Komisi Dan Pendapatan Lain",Penerimaan Dan Pembayaran Lain-Lain,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Kas Dari Restitusi Ppn,Penerimaan Dan Pengeluaran Kas Atas Transaksi Dengan Pihak Berelasi,Penjualan Aset Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pencairan (Penempatan) Investasi Jangka Pendek,Pembayaran Uang Muka Investasi,Penambahan Investasi Saham,Penjualan Investasi Asosiasi,Penerimaan Bunga,Penerimaan Dari Pelunasan Pinjaman Pihak Berelasi,Pemberian Pinjaman Pihak Berelasi,Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Untuk Pelusanan Utang Pihak Berelasi,Treasury Stock,Penempatan Setara Kas Yang Dibatasi Penggunaannya,Pembayaran Dari Pembelian Saham Treasuri,Pembayaran Liabilitas Sewa,Penjualan Kembali Saham Treasuri,Penambahan Modal Disetor,Pencairan (Penempatan) Deposito Berjangka,Pembagian Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Pengaruh Selisih Kurs Mata Uang Asing,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-12423879617.000000,253407609086.000000,,60187849.000000,-238332715972.000000,-24330574299.000000,,,-3228386281.000000,,-12423879617.000000,-7760516353.000000,-7760516353.000000,,,,,,,,,,-7760516353.000000,-10000000000.000000,,,,,,,,,,,,-10000000000.000000,-10000000000.000000,-30184395970.000000,,50357505296.000000,20173109326.000000
12M 2019,-8180573580.000000,178063240860.000000,,570155461.000000,-198345425427.000000,-10660614129.000000,,16909743895.000000,5282325760.000000,,-8180573580.000000,-4566586554.000000,-2100654493.000000,-2808100000.000000,,,,,,,,342167939.000000,-4566586554.000000,35434734721.000000,,,,,,,,,,180434734721.000000,-100000000000.000000,-45000000000.000000,35434734721.000000,22687574587.000000,,20173109326.000000,42860683913.000000
12M 2020,147088657972.000000,491387240779.000000,,-251012270.000000,-317957692912.000000,-28333877625.000000,,,2244000000.000000,,147088657972.000000,-9835669240.000000,-12643769240.000000,2808100000.000000,,,,,,,,,-9835669240.000000,52923718064.000000,,,,,,,-52730888276.000000,,14998889940.000000,,100000000000.000000,-9344283600.000000,52923718064.000000,190176706796.000000,,42860683913.000000,233037390709.000000
12M 2021,-106833306337.000000,1420617506565.000000,,29439280071.000000,-1491128919840.000000,-65761173133.000000,,,,,-106833306337.000000,-218250581756.000000,-18537359165.000000,-1500000000.000000,-198800000000.000000,,,,,,,586777409.000000,-218250581756.000000,227341039869.000000,80000000000.000000,,,,,,-33458960131.000000,,198800000000.000000,,,-18000000000.000000,227341039869.000000,-97742848224.000000,,233037390711.000000,135294542487.000000
12M 2022,-28922849934.000000,693352521448.000000,,,-737901569583.000000,-22019571235.000000,-8931623318.000000,46577392754.000000,,,-28922849934.000000,-4004118534.000000,-4437607768.000000,,,,,,404029775.000000,,,29459459.000000,-4004118534.000000,14412365310.000000,545677866863.000000,-465470551131.000000,,,,,-36499924172.000000,,,,,-29295026250.000000,14412365310.000000,-18514603158.000000,4455356.000000,135294542487.000000,116784394685.000000
12M 2023,-38148382326.000000,380084399879.000000,,,-418314227521.000000,-2657480760.000000,-12903861096.000000,15642787172.000000,,,-38148382326.000000,-35050761069.000000,-34803372802.000000,,,,-1500000000.000000,735000000.000000,517611733.000000,,,,-35050761069.000000,48446968216.000000,528896634118.000000,-449888562676.000000,,,,,-30094092091.000000,-467011135.000000,,,,,48446968216.000000,-24752175179.000000,-2463694.000000,116784394685.000000,92029755812.000000
12M 2024,-430365796541.000000,439645606311.000000,,,-850120400278.000000,-18883071513.000000,-25515338468.000000,24507407407.000000,,,-430365796541.000000,6685837670.000000,-25659442220.000000,,,,,,240279890.000000,,,32105000000.000000,6685837670.000000,358981978103.000000,1066703562551.000000,-686075469582.000000,,,,-20000000000.000000,,-1646114866.000000,,,,,358981978103.000000,-64697980768.000000,,92029755812.000000,27331775044.000000
