Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Utang Pemegang Saham,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,3409710199.000000,85212499.000000,,,603350000.000000,4098272698.000000,,42944650722.000000,24957732.000000,42969608454.000000,47067881152.000000,,,4384089846.000000,118065864.000000,,,118065864.000000,,,,,44458946.000000,,545387682.000000,,3624402687.000000,51774667.000000,3676177354.000000,4384089846.000000,19050189151.000000,,18933100000.000000,17258222.000000,18950358222.000000,99830929.000000,19050189151.000000,23434278997.000000,,38000000000.000000,-9484907071.000000,-4881613552.000000,122778.000000,23633602155.000000,47067881152.000000,380000000.000000
12M 2019,,,2971233553.000000,687823409.000000,5560000.000000,85246318.000000,,3749863280.000000,,57034512515.000000,54313457.000000,57088825972.000000,60838689252.000000,,,5429157434.000000,124719369.000000,,,124719369.000000,79892732.000000,,,79892732.000000,155534107.000000,,916219676.000000,,3925000000.000000,227791550.000000,4152791550.000000,5429157434.000000,17639706610.000000,,17246500000.000000,175952783.000000,17422452783.000000,217253827.000000,17639706610.000000,23068864044.000000,,60000000000.000000,-11208617033.000000,-11021658226.000000,100467.000000,37769825208.000000,60838689252.000000,600000000.000000
12M 2020,,,1681806191.000000,259710717.000000,,51014992.000000,,1992531900.000000,,59388262292.000000,204251744.000000,59592514036.000000,61585045936.000000,,,7743121716.000000,1236173633.000000,,,1236173633.000000,1488768289.000000,,,1488768289.000000,58736678.000000,1000000000.000000,1092347277.000000,,2700000000.000000,167095839.000000,2867095839.000000,7743121716.000000,24650373965.000000,,23713100000.000000,8856944.000000,23721956944.000000,928417021.000000,24650373965.000000,32393495681.000000,,60000000000.000000,-11208617033.000000,-19599908175.000000,75464.000000,29191550256.000000,61585045937.000000,600000000.000000
12M 2021,,,10328426842.000000,285694201.000000,5380000.000000,78015817.000000,,10697516860.000000,,55662664163.000000,205473149.000000,55868137312.000000,66565654172.000000,,,5479437394.000000,92980079.000000,,,92980079.000000,342137003.000000,,,342137003.000000,140821142.000000,,1354642215.000000,,3540000000.000000,8856955.000000,3548856955.000000,5479437394.000000,22997068859.000000,,22063100000.000000,,22063100000.000000,933968859.000000,22997068859.000000,28476506253.000000,,70359258700.000000,-7272099417.000000,-24998067474.000000,56110.000000,38089147919.000000,66565654172.000000,703592587.000000
12M 2022,,,3776747508.000000,358476343.000000,7092000.000000,153623480.000000,627768184.000000,4923707515.000000,,56853786339.000000,159373923.000000,57013160262.000000,61936867777.000000,,,5056494356.000000,19999959.000000,,,19999959.000000,121562500.000000,,,121562500.000000,141895841.000000,,1053036056.000000,,3720000000.000000,,3720000000.000000,5056494356.000000,21527526924.000000,,20803100000.000000,,20803100000.000000,724426924.000000,21527526924.000000,26584021280.000000,,72613019900.000000,-6415669471.000000,-30844517928.000000,13996.000000,35352846497.000000,61936867777.000000,726130199.000000
12M 2023,,,2859729996.000000,335222965.000000,8494000.000000,87114039.000000,1355972265.000000,4646533265.000000,,53010404352.000000,151378236.000000,53161782588.000000,57808315853.000000,,,13559531054.000000,,,,,107962374.000000,,,107962374.000000,198026004.000000,7000000000.000000,853542676.000000,,5400000000.000000,,5400000000.000000,13559531054.000000,16091182892.000000,,15403100000.000000,,15403100000.000000,688082892.000000,16091182892.000000,29650713946.000000,,72613019900.000000,-6415669471.000000,-38039488659.000000,-259863.000000,28157601907.000000,57808315853.000000,726130199.000000
12M 2024,,,42683541471.000000,361035409.000000,,159265719.000000,9710746045.000000,52914588644.000000,,49228068358.000000,188148306.000000,49416216664.000000,102330805308.000000,,,17834449720.000000,,,,,30873000.000000,,,30873000.000000,154778254.000000,8000000000.000000,348798466.000000,,9300000000.000000,,9300000000.000000,17834449720.000000,6958319572.000000,,6103100000.000000,,6103100000.000000,855219572.000000,6958319572.000000,24792769292.000000,,130427205100.000000,-7114669471.000000,-45793701929.000000,19202316.000000,77538036016.000000,102330805308.000000,1304272051.000000
