Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,8073374843.000000,-4880693965.000000,3192680878.000000,-6958270803.000000,-6958270803.000000,-6958270803.000000,-3765589925.000000,-3144301828.000000,,-3144301828.000000,-3144301828.000000,-6909891753.000000,33305994.000000,,,33305994.000000,2044850199.000000,-4831735560.000000,25044714.000000,,25044714.000000,-4806690846.000000,-4831735560.000000,-4831658266.000000,-77294.000000,-4831735560.000000,-4806690846.000000,-4806613624.000000,-77222.000000,-4806690846.000000
12M 2019,9484521447.000000,-5388720036.000000,4095801411.000000,-7353718265.000000,-7353718265.000000,-7353718265.000000,-3257916854.000000,-2898476755.000000,,-2898476755.000000,-2898476755.000000,-6156393609.000000,26098449.000000,,,26098449.000000,,-6130295160.000000,-9771826.000000,,-9771826.000000,-6140066986.000000,-6130295160.000000,-6130266803.000000,-28357.000000,-6130295160.000000,-6140066986.000000,-6140038614.000000,-28372.000000,-6140066986.000000
12M 2020,5397369104.000000,-4987831971.000000,409537133.000000,-7005924071.000000,-7005924071.000000,-7005924071.000000,-6596386938.000000,-2086154842.000000,-2478041464.000000,391886622.000000,-2086154842.000000,-8682541780.000000,140281440.000000,,,140281440.000000,,-8542260340.000000,-36014611.000000,,-36014611.000000,-8578274951.000000,-8542260341.000000,-8542235400.000000,-24941.000000,-8542260341.000000,-8578274952.000000,-8578249949.000000,-25003.000000,-8578274952.000000
12M 2021,8759873774.000000,-5601599020.000000,3158274754.000000,-6335681035.000000,-6335681035.000000,-6335681035.000000,-3177406281.000000,-2252324969.000000,-2400702556.000000,148377587.000000,-2252324969.000000,-5429731250.000000,7894267.000000,,,7894267.000000,,-5421836983.000000,23658331.000000,,23658331.000000,-5398178652.000000,-5421836983.000000,-5421817582.000000,-19401.000000,-5421836983.000000,-5398178653.000000,-5398159299.000000,-19354.000000,-5398178653.000000
12M 2022,10495281006.000000,-6533624876.000000,3961656130.000000,-6862832741.000000,-6862832741.000000,-6862832741.000000,-2901176611.000000,-3086817841.000000,,-3086817841.000000,-3086817841.000000,-5987994452.000000,-5828773.000000,,-5828773.000000,-5828773.000000,,-5993823225.000000,147330657.000000,147330657.000000,147330657.000000,-5846492568.000000,-5993823224.000000,-5993780848.000000,-42376.000000,-5993823224.000000,-5846492568.000000,-5846450454.000000,-42114.000000,-5846492568.000000
12M 2023,11833525237.000000,-7652017865.000000,4181507372.000000,-8335638289.000000,-8335638289.000000,-8335638289.000000,-4154130917.000000,-3240651264.000000,,-3240651264.000000,-3240651264.000000,-7394782181.000000,37661634.000000,,37661634.000000,37661634.000000,,-7357120547.000000,161875957.000000,161875957.000000,161875957.000000,-7195244590.000000,-7357120547.000000,-7356846392.000000,-274155.000000,-7357120547.000000,-7195244590.000000,-7194970731.000000,-273859.000000,-7195244590.000000
12M 2024,13341819400.000000,-9123616754.000000,4218202646.000000,-9492954337.000000,-9492954337.000000,-9492954337.000000,-5274751691.000000,-2550968188.000000,,-2550968188.000000,-2550968188.000000,-7825719879.000000,44293788.000000,,44293788.000000,44293788.000000,,-7781426091.000000,26675000.000000,26675000.000000,26675000.000000,-7754751091.000000,-7781426091.000000,-7780888249.000000,-537842.000000,-7781426091.000000,-7754751092.000000,-7754213271.000000,-537821.000000,-7754751092.000000
