Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Karyawan,Penerimaan Bunga,Beban Keuangan,Beban Pajak,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Pengembalian Aset Tetap,Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Setoran Modal,Perolehan Dari Penawaran Umum Saham Perdana,Penerbitan Saham Baru,Biaya Emisi Saham,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-3503117381.000000,8044789376.000000,-5301264556.000000,-3112158468.000000,16099847.000000,-3160401675.000000,,9818095.000000,-3503117381.000000,-35877091500.000000,-877291500.000000,,-34999800000.000000,-35877091500.000000,41524241348.000000,37500000000.000000,,,,-51774667.000000,,-3250000000.000000,,7326016015.000000,41524241348.000000,2144032467.000000,1265677732.000000,3409710199.000000
12M 2019,-2075229661.000000,8961803269.000000,-3869123214.000000,-4297438250.000000,71299511.000000,-2971856295.000000,,30085318.000000,-2075229661.000000,-17060895780.000000,-17060895780.000000,,,-17060895780.000000,18697648795.000000,22440000000.000000,,,-2163709962.000000,-192638556.000000,2138400000.000000,-3524402687.000000,,,18697648795.000000,-438476646.000000,3409710199.000000,2971233553.000000
12M 2020,-691721412.000000,7234357353.000000,-2384805123.000000,-2950986718.000000,12882683.000000,-2578041464.000000,-404132082.000000,379003939.000000,-691721412.000000,-6711514400.000000,-6711514400.000000,,,-6711514400.000000,6113808450.000000,,,,,-900000000.000000,6241600000.000000,-227791550.000000,,1000000000.000000,6113808450.000000,-1289427362.000000,2971233553.000000,1681806191.000000
12M 2021,-3504933857.000000,7587259004.000000,-5530142604.000000,-3185311997.000000,11137853.000000,-2500702556.000000,-24413291.000000,137239734.000000,-3504933857.000000,-267125980.000000,-267125980.000000,,,-267125980.000000,12418680488.000000,14295776316.000000,,,,-710000000.000000,,-167095828.000000,-1000000000.000000,,12418680488.000000,8646620651.000000,1681806191.000000,10328426842.000000
12M 2022,-3726666673.000000,10201924361.000000,-6974170027.000000,-3636534740.000000,43508093.000000,-3415146087.000000,-131068426.000000,184820153.000000,-3726666673.000000,-4946346852.000000,-4946346852.000000,,,-4946346852.000000,2121334191.000000,3110191146.000000,,,,-980000000.000000,,-8856955.000000,,,2121334191.000000,-6551679334.000000,10328426842.000000,3776747508.000000
12M 2023,-3908017781.000000,11843178489.000000,-8554332363.000000,-3668174981.000000,14268354.000000,-3380267691.000000,-288037662.000000,125348073.000000,-3908017781.000000,-288999731.000000,-288999731.000000,,,-288999731.000000,3280000000.000000,,,,,-3720000000.000000,,,7000000000.000000,,3280000000.000000,-917017512.000000,3776747508.000000,2859729996.000000
12M 2024,-12785419825.000000,13238917582.000000,-18541178436.000000,-3691468860.000000,156936795.000000,-2709669677.000000,-1240721923.000000,1764694.000000,-12785419825.000000,-125953900.000000,-125953900.000000,,,-125953900.000000,52735185200.000000,,,50834185200.000000,-699000000.000000,-5400000000.000000,,,8000000000.000000,,52735185200.000000,39823811475.000000,2859729996.000000,42683541471.000000
