Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,1742091210185.0,-1004789431520.0,737301778665.0,-255464777856.0,-267027072943.0,19560119795.0,-7997824708.0,-255464777856.0,481837000809.0,48173016213.0,63357879807.0,-15184863594.0,48173016213.0,530010017022.0,-118169917147.0,411840099875.0,5306307044.0,5306307044.0,5306307044.0,417146406919.0,411840099875.0,398645359023.0,13194740852.0,411840099875.0,417146406919.0,403326937242.0,13819469677.0,417146406919.0
12M 2014,1945508435879.0,-1080920292633.0,864588143246.0,-278264847910.0,-319375852859.0,43158583908.0,-2047578959.0,-278264847910.0,586323295336.0,80474191755.0,94722064426.0,-14247872671.0,80474191755.0,666797487091.0,-132539809209.0,534257677882.0,7185789929.0,7185789929.0,7185789929.0,541443467811.0,534257677882.0,516996923179.0,17260754703.0,534257677882.0,541443467811.0,523576763152.0,17866704659.0,541443467811.0
12M 2015,2140704302267.0,-1168396805841.0,972307496426.0,-367387357555.0,-372265779481.0,21883059172.0,-17004637246.0,-367387357555.0,604920138871.0,134857346144.0,145344116197.0,-10486770053.0,134857346144.0,739777485015.0,-151330241029.0,588447243986.0,4426130166.0,4426130166.0,4426130166.0,592873374152.0,588447243986.0,566820116167.0,21627127819.0,588447243986.0,592873374152.0,570492464087.0,22380910065.0,592873374152.0
12M 2016,2435465884784.0,-1279666995162.0,1155798889622.0,-410079209639.0,-424089925247.0,19539268951.0,-5528553343.0,-410079209639.0,745719679983.0,150589942223.0,162732720448.0,-12142778225.0,150589942223.0,896309622206.0,-175588192320.0,720721429886.0,484928135.0,484928135.0,484928135.0,721206358021.0,720721429886.0,695438970042.0,25282459844.0,720721429886.0,721206358021.0,696558666859.0,24647691162.0,721206358021.0
12M 2017,2495711813100.0,-1310187669241.0,1185524143859.0,-425766198750.0,-455659583296.0,40544625806.0,-10651241260.0,-425766198750.0,759757945109.0,117396727704.0,130608333675.0,-13211605971.0,117396727704.0,877154672813.0,-168392940271.0,708761732542.0,-11771812662.0,-11771812662.0,-11771812662.0,696989919880.0,708761732542.0,679807735832.0,28953996710.0,708761732542.0,696989919880.0,669119008478.0,27870911402.0,696989919880.0
12M 2018,2713087099834.0,-1428785427219.0,1284301672615.0,-503975278217.0,-538829865429.0,42331126755.0,-7476539543.0,-503975278217.0,780326394398.0,69821603322.0,84726882517.0,-14905279195.0,69821603322.0,850147997720.0,-191410690427.0,658737307293.0,93738284802.0,93738284802.0,93738284802.0,752475592095.0,658737307293.0,613558872726.0,45178434567.0,658737307293.0,752475592095.0,701069083957.0,51406508138.0,752475592095.0
12M 2019,3205020519049.0,-1670646962091.0,1534373556958.0,-591748514789.0,-649434890651.0,62880916323.0,-5194540461.0,-591748514789.0,942625042169.0,61705124158.0,75293160942.0,-13588036784.0,61705124158.0,1004330166327.0,-212910989473.0,791419176854.0,-30209127380.0,-30209127380.0,-30209127380.0,761210049474.0,791419176854.0,730145081007.0,61274095847.0,791419176854.0,761210049474.0,698418256756.0,62791792718.0,761210049474.0
12M 2020,3419342747346.0,-1727305152974.0,1692037594372.0,-577984980097.0,-648664699355.0,82143467004.0,-11463747746.0,-577984980097.0,1114052614275.0,55697535824.0,67181105341.0,-11483569517.0,55697535824.0,1169750150099.0,-246277432760.0,923472717339.0,101875788296.0,101875788296.0,101875788296.0,1025348505635.0,923472717339.0,841673247185.0,81799470154.0,923472717339.0,1025348505635.0,931630369186.0,93718136449.0,1025348505635.0
12M 2021,4352868253731.0,-2091512953403.0,2261355300328.0,-593146957920.0,-665178160729.0,77949245353.0,-5918042544.0,-593146957920.0,1668208342408.0,51309390061.0,63525387230.0,-12215997169.0,51309390061.0,1719517732469.0,-357994175136.0,1361523557333.0,31074651336.0,31074651336.0,31074651336.0,1392598208669.0,1361523557333.0,1228824616846.0,132698940487.0,1361523557333.0,1392598208669.0,1257755853862.0,134842354807.0,1392598208669.0
12M 2022,4048932635364.0,-1971909558075.0,2077023077289.0,-736118851497.0,-792729732028.0,59946852920.0,-3335972389.0,-736118851497.0,1340904225792.0,45500369623.0,58375794513.0,-12875424890.0,45500369623.0,1386404595415.0,-292440807260.0,1093963788155.0,-6361754472.0,-6361754472.0,-6361754472.0,1087602033683.0,1093963788155.0,1007991642641.0,85972145514.0,1093963788155.0,1087602033683.0,1007432461262.0,80169572421.0,1087602033683.0
