Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha Dan Lainnya,Pembayaran Kepada Karyawan Dan Beban Operasional Lainnya,Penerimaan Pendapatan Keuangan,Pembayaran Biaya Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan Klaim Pajak Penghasilan,Penerimaan Dari Pendapatan Operasi Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Penjualan Aset Keuangan Lancar Lainnya,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pengembalian Uang Muka Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Pencairan Kas Yang Dibatasi Penggunaannya,Kas Masuk Neto Dari Pelepasan Entitas Anak,Pencairan (Penempatan) Investasi Jangka Pendek,Penambahan Aset Tidak Lancar Lainnya,Penerimaan Dividen Kas,Hasil Penjualan Penyertaan Saham,Penambahan Aset Lain-Lain,Akuisisi Entitas Anak Setelah Dikurangi Kas,Akuisisi Aset Tidak Berwujud,Pembelian Saham Kembali,Penempatan Pada Aset Keuangan Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Saham Perdana,Pembayaran Dividen Kas,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Lain-Lain - Pihak Berelasi,Pembayaran Liabilitas Sewa,Pengembalian Investasi Kepada Kepentingan Non-Pengendali,Pembayaran Utang Kepada Kepentingan Non Pengendali,Akuisisi Kepentingan Nonpengendali,Setoran Modal Dari Kepentingan Non Pengendali,Perolehan Saham Treasury,Pembayaran Dividen Kas Kepada Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,538574234483.000000,1747000436370.000000,-766663768470.000000,-256790331825.000000,-123622453023.000000,,62430744268.000000,-15184863594.000000,-121741524752.000000,,13145995509.000000,538574234483.000000,-223278999408.000000,168642271340.000000,2550000.000000,-147451975298.000000,-16222204429.000000,,,13000000000.000000,4578646499.000000,,,1091488000.000000,,,,,,-246919775520.000000,-223278999408.000000,-14479702222.000000,,-15000000000.000000,-5000000000.000000,,5550000000.000000,,,,,,,-29702222.000000,-14479702222.000000,300815532853.000000,802017241716.000000,5182214377.000000,1108014988946.000000
12M 2014,547418075359.000000,1907626343876.000000,-825679248579.000000,-311607544304.000000,-158369343144.000000,,93891960747.000000,-14247872671.000000,-160109621229.000000,,15913400663.000000,547418075359.000000,-160230239191.000000,135467849974.000000,1793807200.000000,-168992659328.000000,-126117751258.000000,,-2381485779.000000,,,,,,,,,,,,-160230239191.000000,-525551056964.000000,,-470000000000.000000,-50000000000.000000,,-5550000000.000000,,,,-1000000.000000,,,-56964.000000,-525551056964.000000,-138363220796.000000,1108014988946.000000,498572344.000000,970150340494.000000
12M 2015,699632830802.000000,2133437453642.000000,-855138659417.000000,-364078760463.000000,-204475775404.000000,,142069064163.000000,-10486770052.000000,-160428504317.000000,,18734782650.000000,699632830802.000000,-202604564110.000000,,1199298811.000000,-182793164668.000000,-21011998253.000000,,,,,,,,1300000.000000,,,,,,-202604564110.000000,917431895295.000000,1208446645843.000000,-291014720000.000000,,,,,,,,,,-30548.000000,917431895295.000000,1414460161987.000000,970150340494.000000,2543261830.000000,2387153764311.000000
12M 2016,864666896405.000000,2403829526752.000000,-894576410049.000000,-425740708348.000000,-195052810754.000000,,163839782860.000000,-12142778225.000000,-194517006169.000000,,19027300338.000000,864666896405.000000,-1466706222684.000000,,200910000.000000,-214668182985.000000,-39434482754.000000,,,,,-1135902889600.000000,,,,-76901577345.000000,,,,,-1466706222684.000000,-363768457534.000000,,-363768400000.000000,,,,,,,,,,-57534.000000,-363768457534.000000,-965807783813.000000,2387153764311.000000,317381488.000000,1421663361986.000000
12M 2017,769745377540.000000,2477815555529.000000,-912779143248.000000,-492611940753.000000,-258097957206.000000,,133387829644.000000,-13211605971.000000,-207880037726.000000,,43122677271.000000,769745377540.000000,-826666461026.000000,265040990539.000000,5229725.000000,-257155830547.000000,-215469608196.000000,34178750000.000000,,,,166582889600.000000,,,,-28924388800.000000,-135118579292.000000,,,-655805914055.000000,-826666461026.000000,-621612672503.000000,,-494725024000.000000,-2507585334.000000,-4580042457.000000,,,,-139400000000.000000,,20000000000.000000,,-400020712.000000,-621612672503.000000,-678533755989.000000,1421663361986.000000,954000.000000,743130559997.000000
12M 2018,743203517544.000000,2605742517243.000000,-962427805328.000000,-578845945297.000000,-229958358830.000000,,83629489953.000000,-14905279195.000000,-189990351047.000000,,29959250045.000000,743203517544.000000,-308597471045.000000,53963281789.000000,300000.000000,-467770718018.000000,-79781507269.000000,,,,,353905135000.000000,,,,-28539791078.000000,,,,-140374171469.000000,-308597471045.000000,-347059753483.000000,,,-4786616824.000000,-9203097415.000000,,,,,,,-332470012133.000000,-600027111.000000,-347059753483.000000,87546293016.000000,743130559997.000000,559800.000000,830677412813.000000
12M 2019,894242357918.000000,3072173598188.000000,-1080873366803.000000,-622541670078.000000,-326701212315.000000,,75293160942.000000,-13588036784.000000,-217731021690.000000,8210906458.000000,,894242357918.000000,-675213398951.000000,640530675317.000000,491473641.000000,-445714176415.000000,-16807042176.000000,,,,,43394865000.000000,,,,-58127042039.000000,-14461355398.000000,-3611455930.000000,,-820909340951.000000,-675213398951.000000,-481184710940.000000,,-256434291000.000000,,-12649085842.000000,,,,-912600000.000000,,7500000000.000000,-217688719825.000000,-1000014273.000000,-481184710940.000000,-262155751973.000000,830677412813.000000,,568521660840.000000
12M 2020,1066112489721.000000,3264133921140.000000,-1200357942835.000000,,,-906888885616.000000,67181105341.000000,-11483569517.000000,-148546187838.000000,2074049046.000000,,1066112489721.000000,-623650592948.000000,993879698021.000000,12527861497.000000,-318379963872.000000,-23085012132.000000,,,,,-824091000000.000000,,,,-36484539226.000000,,-1960452930.000000,,-426057184306.000000,-623650592948.000000,-305970912691.000000,,-299060157900.000000,,-5063500898.000000,,,,,-1312600000.000000,10500000000.000000,-8434659296.000000,-2599994597.000000,-305970912691.000000,136490984082.000000,568521660840.000000,,705012644922.000000
12M 2021,2089515437267.000000,4729397778382.000000,-1453638055149.000000,,,-991640356421.000000,63525387230.000000,-12215997169.000000,-246275558374.000000,362238768.000000,,2089515437267.000000,-527253638503.000000,117433670000.000000,613210377.000000,-355761602161.000000,-232595704813.000000,,,,,168223000000.000000,,,,-18080991455.000000,,-3255675450.000000,,-203829545001.000000,-527253638503.000000,-984546455691.000000,,-512674556400.000000,,,,,-1000000000.000000,,-79151459501.000000,13475000001.000000,-397095469997.000000,-8099969794.000000,-984546455691.000000,577715343073.000000,705012644922.000000,,1282727987995.000000
12M 2022,1134501095473.000000,3867735271476.000000,-2409583742036.000000,,,,58375794513.000000,-12970180534.000000,-369142313564.000000,86265618.000000,,1134501095473.000000,-840313585973.000000,358549223818.000000,1074259680.000000,-763403359581.000000,-62150295537.000000,,,,,-66333135000.000000,,,,,,-25775044110.000000,,-282275235243.000000,-840313585973.000000,-880861384136.000000,,-500742705600.000000,,,,,,,-11918557903.000000,3300000000.000000,-353700161631.000000,-17799959002.000000,-880861384136.000000,-586673874636.000000,1282727987995.000000,,696054113359.000000
