Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,1108014988946.000000,,114777384002.000000,114321891644.000000,455492358.000000,114777384002.000000,7019458533.000000,5644418133.000000,1375040400.000000,7019458533.000000,40138353064.000000,141299396074.000000,1411249580619.000000,,9826531942.000000,9142776942.000000,683755000.000000,9826531942.000000,598000856150.000000,,23564877854.000000,91303241180.000000,722695507126.000000,2133945087745.000000,,,280993281740.000000,50000000000.000000,,55556041863.000000,19871237870.000000,75427279733.000000,,6345029107.000000,7299271545.000000,13644300652.000000,64509080063.000000,51200354499.000000,,,,,26212266793.000000,280993281740.000000,118220956015.000000,,,,,62966038.000000,118157989977.000000,118220956015.000000,399214237755.000000,,138232000000.000000,707816476651.000000,842452950148.000000,,,842452950148.000000,45415155264.000000,814267927.000000,1734730849990.000000,2133945087745.000000,138232.000000
12M 2014,,,970150340494.000000,,132092935746.000000,131447206242.000000,645729504.000000,132092935746.000000,16143130243.000000,13891534360.000000,2251595883.000000,16143130243.000000,38616149324.000000,32936337482.000000,1189938893289.000000,,14461737459.000000,13136323734.000000,1325413725.000000,14461737459.000000,770962349275.000000,2230691107.000000,33677233152.000000,145395495687.000000,966727506680.000000,2156666399969.000000,,,205448853116.000000,,,47142971007.000000,17795569303.000000,64938540310.000000,,16861359053.000000,7798009777.000000,24659368830.000000,68861345960.000000,41343871482.000000,,,,,5645726534.000000,205448853116.000000,145044286016.000000,,,,,,145044286016.000000,145044286016.000000,350493139132.000000,,138232000000.000000,707816476651.000000,899469775563.000000,,,899469775563.000000,63280008623.000000,-2625000000.000000,1806173260837.000000,2156666399969.000000,1382320000.000000
12M 2015,,,2387153764311.000000,,135910292820.000000,134789879959.000000,1120412861.000000,135910292820.000000,25968448749.000000,25826848749.000000,141600000.000000,25968448749.000000,38447278563.000000,33486604612.000000,2620966389055.000000,,13920288762.000000,13615288762.000000,305000000.000000,13920288762.000000,884295657904.000000,1789106882.000000,56104758365.000000,142739619481.000000,1098849431394.000000,3719815820449.000000,,,205874721884.000000,,,51442786962.000000,14959090108.000000,66401877070.000000,,20348818498.000000,4881250821.000000,25230069319.000000,73980700525.000000,38065839987.000000,,,,,2196234983.000000,205874721884.000000,234964165677.000000,,,,,,234964165677.000000,234964165677.000000,440838887561.000000,,145507360000.000000,1908987762494.000000,1140407306193.000000,5342576779.000000,1135064729414.000000,1140407306193.000000,83410004201.000000,664500000.000000,3278976932888.000000,3719815820449.000000,14550736000.000000
12M 2016,,,1421663361986.000000,1135902889600.000000,169206608591.000000,167351914996.000000,1854693595.000000,169206608591.000000,25047889483.000000,24116548661.000000,931340822.000000,25047889483.000000,40618264473.000000,37788688340.000000,2830227702473.000000,,18793825281.000000,16582480268.000000,2211345013.000000,18793825281.000000,1075116399280.000000,1347522657.000000,70132790833.000000,180569861148.000000,1345960399199.000000,4176188101672.000000,,,255113007336.000000,,,69149515426.000000,21761529519.000000,90911044945.000000,,15395830936.000000,6911011702.000000,22306842638.000000,89008182260.000000,49030744771.000000,,,,,3856192722.000000,255113007336.000000,284660260961.000000,,,,,,284660260961.000000,284660260961.000000,539773268297.000000,,145507360000.000000,1908987762494.000000,1474012073052.000000,11010777941.000000,1463001295111.000000,1474012073052.000000,108057637829.000000,-150000000.000000,3636414833375.000000,4176188101672.000000,14550736000.000000
12M 2017,,,743130559997.000000,969320000000.000000,221521746863.000000,218636734081.000000,2885012782.000000,221521746863.000000,24339974211.000000,22573172899.000000,1766801312.000000,24339974211.000000,40224054930.000000,450868963013.000000,2449405299014.000000,,19231888708.000000,17927862719.000000,1304025989.000000,19231888708.000000,1657140174246.000000,130604807867.000000,90906765246.000000,364750546444.000000,2262634182511.000000,4712039481525.000000,,,311709573423.000000,4786616824.000000,,67644596984.000000,22449624607.000000,90094221591.000000,,22637050175.000000,30555170002.000000,53192220177.000000,113438778350.000000,39406914291.000000,,8794553092.000000,,8794553092.000000,1996269098.000000,311709573423.000000,369815043242.000000,,18121131063.000000,,18121131063.000000,,351693912179.000000,369815043242.000000,681524616665.000000,,145507360000.000000,1908987762494.000000,1640038060832.000000,17965167641.000000,1622072893191.000000,1640038060832.000000,327763684836.000000,8217996698.000000,4030514864860.000000,4712039481525.000000,14550736000.000000
12M 2018,,,830677412813.000000,615414865000.000000,330515720594.000000,326633303204.000000,3882417390.000000,330515720594.000000,26058107736.000000,24977609393.000000,1080498343.000000,26058107736.000000,39815270241.000000,575176298752.000000,2417657675136.000000,,22209008472.000000,21184999917.000000,1024008555.000000,22209008472.000000,2066106271946.000000,130264784291.000000,79011716816.000000,374167419092.000000,2671759200617.000000,5089416875753.000000,,,311891416187.000000,,,74329772261.000000,22268745625.000000,96598517886.000000,,20320318994.000000,17061604062.000000,37381923056.000000,125437717311.000000,40933506502.000000,,7894091194.000000,,7894091194.000000,3645660238.000000,311891416187.000000,327605041855.000000,,9818495546.000000,,9818495546.000000,,317786546309.000000,327605041855.000000,639496458042.000000,,145507360000.000000,1908987762494.000000,2317996332396.000000,24763244999.000000,2293233087397.000000,2317996332396.000000,378570165863.000000,-301141203042.000000,4449920417711.000000,5089416875753.000000,14550736000.000000
12M 2019,,,568521660840.000000,572020000000.000000,474659245611.000000,474581234111.000000,78011500.000000,474659245611.000000,38976654634.000000,37547139363.000000,1429515271.000000,38976654634.000000,48505558844.000000,772546706944.000000,2475229826873.000000,,21892670609.000000,20251986472.000000,1640684137.000000,21892670609.000000,2389696634708.000000,185880608888.000000,90765332099.000000,412620334998.000000,3100855581302.000000,5576085408175.000000,,,430760170055.000000,,,123962009324.000000,38023142379.000000,161985151703.000000,,33615649411.000000,64302133.000000,33679951544.000000,162889254980.000000,55974517480.000000,,2977126290.000000,,2977126290.000000,13254168058.000000,430760170055.000000,352674248269.000000,,2086374608.000000,,2086374608.000000,,350587873661.000000,352674248269.000000,783434418324.000000,,142463495000.000000,1362714825029.000000,2776960537338.000000,30898833726.000000,2746061703612.000000,2776960537338.000000,496977740586.000000,13534391898.000000,4792650989851.000000,5576085408175.000000,14246349500.000000
12M 2020,,,705012644922.000000,1396111000000.000000,645688772560.000000,645555176601.000000,133595959.000000,645688772560.000000,63303199636.000000,61690823876.000000,1612375760.000000,63303199636.000000,55031322342.000000,238455820263.000000,3103602759723.000000,,25320868864.000000,22286091141.000000,3034777723.000000,25320868864.000000,2534240119676.000000,186991022322.000000,63443769905.000000,458680919518.000000,3268676700285.000000,6372279460008.000000,,,568431635573.000000,,,159811004230.000000,41532006054.000000,201343010284.000000,,61617596480.000000,,61617596480.000000,140253300047.000000,135569129404.000000,,,,,29648599358.000000,568431635573.000000,286755740742.000000,,,,,,286755740742.000000,286755740742.000000,855187376315.000000,,142463495000.000000,1362714825029.000000,3404791903393.000000,38200284536.000000,3366591618857.000000,3404791903393.000000,597189379611.000000,9932480660.000000,5517092083693.000000,6372279460008.000000,14246349500.000000
12M 2021,,,1282727987995.000000,1227888000000.000000,259067764239.000000,259067764239.000000,,259067764239.000000,41985393402.000000,41752127637.000000,233265765.000000,41985393402.000000,67044051239.000000,318800356352.000000,3197513553227.000000,,29787956028.000000,28454569456.000000,1333386572.000000,29787956028.000000,2696471818054.000000,434990805335.000000,39299881548.000000,462907083662.000000,3663457544627.000000,6860971097854.000000,,,762461020207.000000,,,171762013460.000000,34178503698.000000,205940517158.000000,,120746710833.000000,,120746710833.000000,172005617787.000000,239441138655.000000,,,,,24327035774.000000,762461020207.000000,173366240976.000000,,,,,171635264.000000,173194605712.000000,173366240976.000000,935827261183.000000,,142463495000.000000,1362714825029.000000,4155714096344.000000,46617017008.000000,4109097079336.000000,4155714096344.000000,652588337627.000000,-388336917329.000000,5925143836671.000000,6860971097854.000000,14246349500.000000
12M 2022,,,696054113359.000000,1161554865000.000000,429620177448.000000,429620177448.000000,,429620177448.000000,37312058524.000000,35727757811.000000,1584300713.000000,37312058524.000000,62519459780.000000,107315097053.000000,2494375771164.000000,,46200518169.000000,43656893286.000000,2543624883.000000,46200518169.000000,3429720635378.000000,446174197017.000000,26056650076.000000,475563185389.000000,4423715186029.000000,6918090957193.000000,,,652611767658.000000,,,136326052475.000000,36294753441.000000,172620805916.000000,,121480719125.000000,,121480719125.000000,186881589576.000000,156877201873.000000,,,,,14751451168.000000,652611767658.000000,133594703317.000000,,,,,1158139849.000000,132436563468.000000,133594703317.000000,786206470975.000000,,142463495000.000000,1362714825029.000000,4675650371653.000000,58905263176.000000,4616745108477.000000,4675650371653.000000,708122405872.000000,-757066611336.000000,6131884486218.000000,6918090957193.000000,14246349500.000000
