Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2021,0.59,0.59,0.64,2.08,0.0,0.0,0.61,0.31,1.0
12M 2022,0.63,0.63,0.54,1.95,0.0,0.0,0.5,0.27,0.87
12M 2023,0.67,0.67,0.41,1.83,0.0,0.0,0.36,0.22,0.75
12M 2024,2.66,2.66,0.25,1.49,0.0,0.0,0.22,0.17,0.49
