Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Lain-Lain,Pembayaran Kas Kepada,Kontraktor Dan Pemasok,Karyawan,Operasional,Total Pembayaran Kas Kepada,Pembayaran (Penerimaan) Pajak,Pembayaran Bunga,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Biaya Emisi Saham,"Penerimaan Dari Penawaran Umum Perdana Saham, Bersih",Penerimaan Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-2702464000.000000,76166296000.000000,1287286000.000000,,-36913307000.000000,-14347589000.000000,-3406896000.000000,-54667792000.000000,-1321060000.000000,-24206790000.000000,39596000.000000,-2702464000.000000,-640072000.000000,,-640072000.000000,,-640072000.000000,9969090000.000000,-18366305000.000000,28335395000.000000,,,,,,9969090000.000000,6626554000.000000,,3501055000.000000,10127609000.000000
12M 2022,34307112000.000000,100612401000.000000,21512000.000000,,-17294535000.000000,-16120861000.000000,-6110515000.000000,-39525911000.000000,-3581309000.000000,-23289295000.000000,69714000.000000,34307112000.000000,-2331877000.000000,-400000000.000000,-1931877000.000000,,-2331877000.000000,-26521710000.000000,-32540054000.000000,6048961000.000000,-30617000.000000,,,,,-26521710000.000000,5453525000.000000,,10127609000.000000,15581134000.000000
12M 2023,52092892000.000000,126487254000.000000,206925000.000000,,-24894026000.000000,-18364123000.000000,-7984701000.000000,-51242850000.000000,-3848936000.000000,-19596024000.000000,86523000.000000,52092892000.000000,-2653878000.000000,-1250000000.000000,-905163000.000000,-498715000.000000,-2653878000.000000,-46003153000.000000,-46651534000.000000,1124883000.000000,-476502000.000000,,,,,-46003153000.000000,3435861000.000000,,15581134000.000000,19016995000.000000
12M 2024,52467264000.000000,111756808000.000000,1111754000.000000,,-8739098000.000000,-20707724000.000000,-8782003000.000000,-38228825000.000000,-8928317000.000000,-13322575000.000000,78419000.000000,52467264000.000000,-11043387000.000000,-10249000000.000000,-794387000.000000,,-11043387000.000000,-42765344000.000000,-49771643000.000000,1435314000.000000,-447606000.000000,-71645000.000000,-2645264000.000000,,8735500000.000000,-42765344000.000000,-1341467000.000000,,19016995000.000000,17675528000.000000
