Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pinjaman Jangka Pendek,Utang Murabahah Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pihak Berelasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Investasi Jangka Panjang,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,10127609000.000000,,,,,36621596000.000000,973666000.000000,35647930000.000000,36621596000.000000,89741926000.000000,136491131000.000000,,1737810000.000000,275000000.000000,9071000.000000,645695021000.000000,647716902000.000000,784208033000.000000,,,232353268000.000000,,,,,8420537000.000000,,8420537000.000000,,,378767000.000000,43636354000.000000,44015121000.000000,1796535000.000000,1948708000.000000,,,176172367000.000000,,,176172367000.000000,232353268000.000000,144188873000.000000,,,,,,64949667000.000000,,,64949667000.000000,77882961000.000000,1356245000.000000,144188873000.000000,376542141000.000000,,130000000000.000000,,246730396000.000000,,246730396000.000000,246730396000.000000,30826537000.000000,108959000.000000,407665892000.000000,784208033000.000000,130000.000000
12M 2022,,,15613857000.000000,13293000.000000,13293000.000000,,13293000.000000,36071790000.000000,531308000.000000,35540482000.000000,36071790000.000000,90502962000.000000,142201902000.000000,,3392543000.000000,180000000.000000,117085000.000000,636481873000.000000,640171501000.000000,782373403000.000000,,,225073868000.000000,,,,,3368833000.000000,,3368833000.000000,,,170268000.000000,43985306000.000000,44155574000.000000,799542000.000000,1553621000.000000,,,175135064000.000000,61234000.000000,,175196298000.000000,225073868000.000000,124771822000.000000,,,,,,39495877000.000000,91851000.000000,,39587728000.000000,82832839000.000000,2351255000.000000,124771822000.000000,349845690000.000000,,130000000000.000000,,270620228000.000000,,270620228000.000000,270620228000.000000,31774621000.000000,132864000.000000,432527713000.000000,782373403000.000000,130000.000000
12M 2023,,,19016995000.000000,693750000.000000,693750000.000000,,693750000.000000,36173891000.000000,548308000.000000,35625583000.000000,36173891000.000000,90615515000.000000,146500151000.000000,,6388826000.000000,180000000.000000,158302000.000000,612996205000.000000,619723333000.000000,766223484000.000000,,,218280851000.000000,,,,,8180177000.000000,,8180177000.000000,,,2804832000.000000,40072031000.000000,42876863000.000000,3728857000.000000,1010073000.000000,,,161971367000.000000,513514000.000000,,162484881000.000000,218280851000.000000,94808081000.000000,,,,,,7132923000.000000,970138000.000000,,8103061000.000000,83468883000.000000,3236137000.000000,94808081000.000000,313088932000.000000,,130000000000.000000,-5296851000.000000,295212128000.000000,,295212128000.000000,295212128000.000000,33325633000.000000,-106358000.000000,453134552000.000000,766223484000.000000,130000.000000
12M 2024,,,17675528000.000000,10372874000.000000,10372874000.000000,,10372874000.000000,837300000.000000,462300000.000000,375000000.000000,837300000.000000,87664572000.000000,116550274000.000000,,7404862000.000000,180000000.000000,187169000.000000,591427866000.000000,599199897000.000000,715750171000.000000,,,43734296000.000000,,,,,63559000.000000,,63559000.000000,,,2700000000.000000,7125830000.000000,9825830000.000000,4832224000.000000,1124169000.000000,,,27286555000.000000,499107000.000000,102852000.000000,27888514000.000000,43734296000.000000,190859418000.000000,,8350355000.000000,,8350355000.000000,,93481406000.000000,536939000.000000,398438000.000000,94416783000.000000,84615188000.000000,3477092000.000000,190859418000.000000,234593714000.000000,,130000000000.000000,17332722000.000000,333127117000.000000,50000000.000000,333077117000.000000,333127117000.000000,407148000.000000,289470000.000000,481156457000.000000,715750171000.000000,5200000000.000000
