Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Penyesuaian Proforma,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,242988383688.000000,-160412291952.000000,82576091736.000000,-73655233300.000000,-73655233300.000000,-73655233300.000000,8920858436.000000,-7444085879.000000,1688025207.000000,-11622023327.000000,,2489912241.000000,-7444085879.000000,1476772557.000000,-368991795.000000,-11932398865.000000,7087379325.000000,,4476027745.000000,-368991795.000000,1107780762.000000,1345294817.000000,2453075579.000000,1107780762.000000,12722869175.000000,-11615088413.000000,1107780762.000000,2453075579.000000,14044202179.000000,-11591126600.000000,2453075579.000000
12M 2019,284703789856.000000,-188662774204.000000,96041015652.000000,-74228525011.000000,-74228525011.000000,-74228525011.000000,21812490641.000000,-13711683155.000000,1822487044.000000,-18670472553.000000,,3136302354.000000,-13711683155.000000,8100807486.000000,-4164964368.000000,-13794159022.000000,9629194654.000000,,,-4164964368.000000,3935843118.000000,44741794015.000000,48677637133.000000,3935843118.000000,22679882613.000000,-18744039495.000000,3935843118.000000,48677637133.000000,61704814653.000000,-13027177520.000000,48677637133.000000
12M 2020,294916939542.000000,-193452378234.000000,101464561308.000000,-70982742626.000000,-70982742626.000000,-70982742626.000000,30481818682.000000,-14066752796.000000,1332018389.000000,-19308717775.000000,,3909946590.000000,-14066752796.000000,16415065886.000000,-13799160550.000000,-12356257828.000000,-1442902722.000000,,,-13799160550.000000,2615905336.000000,8259225800.000000,10875131136.000000,2615905336.000000,19989475975.000000,-17373570639.000000,2615905336.000000,10875131136.000000,28272305839.000000,-17397174703.000000,10875131136.000000
12M 2021,435196072386.000000,-251125050950.000000,184071021436.000000,-94225718159.000000,-94225718159.000000,-94225718159.000000,89845303277.000000,-10322148204.000000,3523595764.000000,-16291092600.000000,,2445348632.000000,-10322148204.000000,79523155073.000000,-26583591110.000000,-23458534634.000000,-3125056476.000000,,,-26583591110.000000,52939563963.000000,-1057799072.000000,51881764891.000000,52939563963.000000,52781499125.000000,158064838.000000,52939563963.000000,51881764891.000000,51726832335.000000,154932556.000000,51881764891.000000
12M 2022,359156149470.000000,-227211786022.000000,131944363448.000000,-92867756363.000000,-92867756363.000000,-92867756363.000000,39076607085.000000,4844023516.000000,4486631685.000000,-4412492617.000000,,4769884448.000000,4844023516.000000,43920630601.000000,-17945850929.000000,-15945099994.000000,-2000750935.000000,,,-17945850929.000000,25974779672.000000,25292219728.000000,51266999400.000000,25974779672.000000,26179899835.000000,-205120163.000000,25974779672.000000,51266999400.000000,51221014061.000000,45985339.000000,51266999400.000000
12M 2023,373399870743.000000,-250173129636.000000,123226741107.000000,-96670892640.000000,-96670892640.000000,-96670892640.000000,26555848467.000000,4851157835.000000,4374772273.000000,-2465152867.000000,,2941538429.000000,4851157835.000000,31407006302.000000,-6314343464.000000,-6314343464.000000,,,,-6314343464.000000,25092662838.000000,-326149721.000000,24766513117.000000,25092662838.000000,25188835604.000000,-96172766.000000,25092662838.000000,24766513117.000000,24863413822.000000,-96900705.000000,24766513117.000000
12M 2024,441072473575.000000,-291749619707.000000,149322853868.000000,-97735863928.000000,-97735863928.000000,-97735863928.000000,51586989940.000000,5121330208.000000,4029482807.000000,-2346862454.000000,,3438709855.000000,5121330208.000000,56708320148.000000,-17110463907.000000,-17110463907.000000,,,,-17110463907.000000,39597856241.000000,17838297170.000000,57436153411.000000,39597856241.000000,39692367036.000000,-94510795.000000,39597856241.000000,57436153411.000000,57484432295.000000,-48278884.000000,57436153411.000000
