Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Pihak Lainnya,Pembayaran Beban Operasi,Pembayaran Kepada Pemasok Dan Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Dari Penghasilan Keuangan,Pembayaran Beban Keuangan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Penghasilan (Beban) Operasi Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pengembalian Uang Muka Pembelian Aset Tetap,Hasil Penjualan Aset Tetap,Penyertaan Saham,Penempatan Investasi Pada Aset Keuangan,Realisasi (Penempatan) Deposito Berjangka,Hasil Penjualan Investasi,Uang Muka Pembelian Aset Tetap,Pembayaran Dari Akuisisi Entitas Anak Dari Pihak Sepengendali,Perolehan Aset Tidak Lancar Lainnya,Kontribusi Modal Dari Pihak Nonpengendali,Peningkatan (Penurunan) Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Obligasi,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Pinjaman Dari Pihak Berelasi,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan Dan Pembiayaan Konsumen,Pembayaran Dividen,Setoran Modal Dari Pihak Nonpengendali,Penerimaan Dari Setoran Modal,Biaya Emisi Saham,Pembayaran Pinjaman Lainnya,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,4163609409.000000,243408207142.000000,2363223360.000000,-37226458668.000000,-121230395909.000000,-55627203002.000000,1688025197.000000,-13066839540.000000,,-16144949171.000000,,4163609409.000000,-75447827786.000000,-76033717446.000000,,2300000000.000000,,,,,-1714110340.000000,,,,,-75447827786.000000,41542845152.000000,,-20500000000.000000,,9085095431.000000,82722572303.000000,-1984000000.000000,-314422582.000000,-5000000000.000000,,,,-22466400000.000000,,41542845152.000000,-29741373225.000000,63521931137.000000,33780557912.000000
12M 2019,3417830743.000000,279648225630.000000,3555438163.000000,-32100377295.000000,-151317175310.000000,-69116384775.000000,1822487044.000000,-18860498524.000000,,-10213884190.000000,,3417830743.000000,-44627878725.000000,-7812813625.000000,,40000000.000000,,,-5000000000.000000,,-17711935131.000000,-14163129969.000000,,20000000.000000,,-44627878725.000000,39990076657.000000,,,18150678907.000000,845603155.000000,25053054951.000000,-1750000000.000000,-2309260356.000000,,,,,,,39990076657.000000,-1219971325.000000,33780557912.000000,32560586587.000000
12M 2020,22266936966.000000,278051143813.000000,2349693787.000000,-28072281343.000000,-127761939109.000000,-72938142956.000000,1332018389.000000,-16975326856.000000,,-13718228759.000000,,22266936966.000000,-22028261085.000000,-3118366125.000000,,13042000.000000,,-10000000000.000000,-8000000000.000000,,-922936960.000000,,,,,-22028261085.000000,-643109031.000000,,,,-133813445.000000,3858954066.000000,-2500000000.000000,-1868249652.000000,,,,,,,-643109031.000000,-404433150.000000,32560586587.000000,32156153437.000000
12M 2021,85540650687.000000,429150309274.000000,1120247781.000000,-35695476363.000000,-190888288309.000000,-91908546406.000000,3210962659.000000,-14987049814.000000,,-14461508135.000000,,85540650687.000000,-142833204656.000000,-67728162639.000000,17000000000.000000,448079734.000000,,10000000000.000000,-97000000000.000000,8000000000.000000,-707331751.000000,-12845790000.000000,,,,-142833204656.000000,163914500479.000000,,-42407055517.000000,20975326000.000000,-739288588.000000,,-127040000000.000000,-2135863247.000000,,,319816800000.000000,-4555418169.000000,,,163914500479.000000,106621946510.000000,32156153437.000000,138778099947.000000
12M 2022,68277280287.000000,365483079352.000000,3160988181.000000,-30404249557.000000,-143096870933.000000,-108695835171.000000,4310417438.000000,-3910127115.000000,2916906146.000000,-21487028054.000000,,68277280287.000000,76715502078.000000,-16662987410.000000,,369459460.000000,,,98000000000.000000,,-4668484731.000000,,-322485241.000000,,,76715502078.000000,-110029631873.000000,,,,-9057596553.000000,,-18901689605.000000,-2118295715.000000,-79952050000.000000,,,,,,-110029631873.000000,34963150492.000000,138778099947.000000,173741250439.000000
12M 2023,28180613021.000000,355941014212.000000,3062107674.000000,-40094532524.000000,-153831883708.000000,-121779116497.000000,4293189807.000000,-2465152867.000000,,-16945013076.000000,,28180613021.000000,-54673878170.000000,-30219054889.000000,,190090090.000000,,,-9500000000.000000,,-3993537109.000000,,-11151376262.000000,,,-54673878170.000000,-89824190730.000000,,,,,,,-575390730.000000,-89248800000.000000,,,,,,-89824190730.000000,-116317455879.000000,173741250439.000000,57423794560.000000
12M 2024,81804569371.000000,437395495701.000000,3496672045.000000,-28130149579.000000,-180819300410.000000,-135752384106.000000,3780492678.000000,-2346862454.000000,,-15819394504.000000,,81804569371.000000,-47604778093.000000,-41043441971.000000,,131491054.000000,,,17000000000.000000,,-20579267962.000000,,-3113559214.000000,,,-47604778093.000000,-37226425000.000000,,,-27000000000.000000,,,,,-10226425000.000000,,,,,,-37226425000.000000,-3026633722.000000,57423794560.000000,54397160838.000000
