Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2018,0.3,0.25,0.46,2.38,0.0,0.0,0.34,0.19,1.36
12M 2019,0.35,0.3,0.32,1.5,0.0,0.0,0.25,0.21,0.52
12M 2020,0.97,0.87,0.32,1.56,0.0,0.0,0.25,0.21,0.55
12M 2021,3.61,3.44,0.03,1.12,0.0,0.0,-0.13,0.03,0.12
12M 2022,3.33,3.15,0.0,1.1,0.0,0.0,-0.21,0.0,0.1
12M 2023,2.31,2.08,0.0,1.1,0.0,0.0,-0.08,0.0,0.1
12M 2024,1.83,1.6,0.0,1.11,0.0,0.0,-0.07,0.0,0.11
