Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Real Estat,Aset Dalam Pelaksanaan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Pihak Berelasi,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pemegang Saham,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3260392935.000000,,2637111280.000000,2637111280.000000,,2637111280.000000,595371673.000000,,,595371673.000000,649689401.000000,811849820.000000,660209057.000000,8614624166.000000,,,,354935317615.000000,32110343160.000000,,9567002479.000000,396612663254.000000,405227287420.000000,,,64466721277.000000,4371482377.000000,,1307439113.000000,32437595833.000000,6002900000.000000,2251094462.000000,3953822346.000000,,,,,,14142387146.000000,64466721277.000000,164596010748.000000,,,163213404133.000000,,,163213404133.000000,,1382606615.000000,164596010748.000000,229062732025.000000,,175000000000.000000,,1164555395.000000,,1164555395.000000,1164555395.000000,,,176164555395.000000,405227287420.000000,175000.000000
12M 2009,,,6281351509.000000,,5069422058.000000,5069422058.000000,,5069422058.000000,1170015174.000000,,,1170015174.000000,303402637.000000,2652656733.000000,1020392903.000000,16497241014.000000,,,,457550947644.000000,42188844939.000000,,34943917111.000000,534683709694.000000,551180950708.000000,,,125895965784.000000,17385747147.000000,,9027014143.000000,20462564370.000000,702806465.000000,5194674623.000000,6586180426.000000,,53700000000.000000,,,53700000000.000000,12836978610.000000,125895965784.000000,219528482146.000000,,,217681890909.000000,,,217681890909.000000,,1846591237.000000,219528482146.000000,345424447930.000000,,200000000000.000000,,5756502778.000000,,,5756502778.000000,,,205756502778.000000,551180950708.000000,200000.000000
12M 2010,,,22864742733.000000,55000000000.000000,54857117808.000000,50053430950.000000,4803686858.000000,54857117808.000000,951630870.000000,,,951630870.000000,796136525.000000,2245322411.000000,665989594.000000,137380939941.000000,,717707250.000000,25619589676.000000,84378842371.000000,497294971153.000000,,136797620897.000000,744808731347.000000,882189671288.000000,,,169740179092.000000,4793915472.000000,,3444977654.000000,18219855495.000000,1755630100.000000,13890653937.000000,6883985152.000000,,109709150000.000000,,,109709150000.000000,11042011282.000000,169740179092.000000,252094209346.000000,,,249674809346.000000,,,249674809346.000000,,2419400000.000000,252094209346.000000,421834388438.000000,,285714250000.000000,126387047867.000000,46625132367.000000,,,46625132367.000000,1693893943.000000,-65041327.000000,460355282850.000000,882189671288.000000,2857142500.000000
12M 2011,,,71435396320.000000,19365500000.000000,65533297833.000000,65476186656.000000,57111177.000000,65533297833.000000,1410440069.000000,,,1410440069.000000,74603550.000000,2548725634.000000,2506477324.000000,162874440730.000000,,2108407941.000000,11818636517.000000,118843766070.000000,477902592492.000000,,95131928936.000000,705805331956.000000,868679772686.000000,,,114451066809.000000,1818623888.000000,,3808302021.000000,10868593390.000000,17571447740.000000,11641052188.000000,13504672007.000000,,50959457515.000000,,,50959457515.000000,4278918060.000000,114451066809.000000,236732162586.000000,,,233362571856.000000,,,233362571856.000000,,3369590730.000000,236732162586.000000,351183229395.000000,,285714250000.000000,126387047867.000000,101010821700.000000,1000000000.000000,100010821700.000000,101010821700.000000,3898047852.000000,486375872.000000,517496543291.000000,868679772686.000000,2857142500.000000
12M 2012,,,35083897309.000000,104116000000.000000,73540241739.000000,73490221246.000000,50020493.000000,73540241739.000000,1198518851.000000,,,1198518851.000000,512672864.000000,2595375619.000000,2873733556.000000,219920439938.000000,,1035868368.000000,15670852882.000000,455134557523.000000,473094817248.000000,,53682381972.000000,998618477993.000000,1218538917931.000000,,,143636313447.000000,1482126846.000000,,3476584462.000000,12209166960.000000,4311824944.000000,10026109286.000000,9841376262.000000,,97708505033.000000,,,97708505033.000000,4580619654.000000,143636313447.000000,311304596377.000000,,,307062692013.000000,,,307062692013.000000,,4241904364.000000,311304596377.000000,454940909824.000000,,309603150000.000000,209657637867.000000,156514989867.000000,2500000000.000000,154014989867.000000,156514989867.000000,87090596562.000000,731633811.000000,763598008107.000000,1218538917931.000000,3096031500.000000
12M 2013,,,33044056175.000000,74802778082.000000,117920640407.000000,117920640407.000000,,117920640407.000000,60467832992.000000,,,60467832992.000000,1019610974.000000,3386801455.000000,4816986949.000000,295458707034.000000,,,20833815084.000000,639447432290.000000,456769145023.000000,,68211712702.000000,1185262105099.000000,1480720812133.000000,,,205297343351.000000,1812915140.000000,,4097078857.000000,17419161985.000000,7696700469.000000,9114202404.000000,10891429941.000000,,140544385270.000000,,,140544385270.000000,13721469285.000000,205297343351.000000,439932950220.000000,,,434835840413.000000,,,434835840413.000000,,5097109807.000000,439932950220.000000,645230293571.000000,,309603150000.000000,210314512176.000000,221509799482.000000,4000000000.000000,217509799482.000000,221509799482.000000,93516109575.000000,546947329.000000,835490518562.000000,1480720812133.000000,3096031500.000000
12M 2014,,,38206784445.000000,77140000000.000000,102435981493.000000,102420687153.000000,15294340.000000,102435981493.000000,76084216084.000000,,,76084216084.000000,1034583799.000000,4001168717.000000,4555398675.000000,303458133213.000000,,,16522828996.000000,814460197801.000000,440079577406.000000,,92891096393.000000,1363953700596.000000,1667411833809.000000,,,241720098704.000000,1636169719.000000,,4798031636.000000,18243852898.000000,7636331069.000000,10654423547.000000,11252505303.000000,,178123319693.000000,,,178123319693.000000,9375464839.000000,241720098704.000000,543339357588.000000,,,523292478475.000000,,,523292478475.000000,,20046879113.000000,543339357588.000000,785059456292.000000,,309603150000.000000,210314512176.000000,251483697738.000000,6500000000.000000,244983697738.000000,251483697738.000000,110361359340.000000,589658263.000000,882352377517.000000,1667411833809.000000,3096031500.000000
12M 2015,,,23676943954.000000,38940000000.000000,85886235532.000000,85766277888.000000,119957644.000000,85886235532.000000,79834993397.000000,,,79834993397.000000,5620144944.000000,4472579391.000000,7055418686.000000,245486315904.000000,,,32921416406.000000,1012697440770.000000,1021635713312.000000,,250602266747.000000,2317856837235.000000,2563343153139.000000,,,378948112101.000000,3271772317.000000,,5524748120.000000,35690932857.000000,133399592.000000,9655222347.000000,12800118560.000000,,298267411564.000000,,,298267411564.000000,13604506744.000000,378948112101.000000,780401506960.000000,,,740820224591.000000,,,740820224591.000000,,39581282369.000000,780401506960.000000,1159349619061.000000,,309603150000.000000,210314512176.000000,212680916725.000000,7500000000.000000,205180916725.000000,212680916725.000000,115321792572.000000,556073162605.000000,1403993534078.000000,2563343153139.000000,3096031500.000000
12M 2016,,,90178747963.000000,38940000000.000000,78044973588.000000,77846096543.000000,198877045.000000,78044973588.000000,309975775551.000000,,,309975775551.000000,32864203980.000000,4539149515.000000,4356383468.000000,558899234065.000000,,12451359883.000000,204854004266.000000,989517233582.000000,1052566004926.000000,,154597645716.000000,2413986248373.000000,2972885482438.000000,,,486882986981.000000,17631489690.000000,30231000000.000000,6449931910.000000,44012740825.000000,,17508059148.000000,15067260836.000000,,333555733181.000000,,,333555733181.000000,22426771391.000000,486882986981.000000,775601283503.000000,,,733544938016.000000,,,733544938016.000000,,42056345487.000000,775601283503.000000,1262484270484.000000,,340563460000.000000,349555393244.000000,201989075118.000000,7500000000.000000,194489075118.000000,201989075118.000000,212119729339.000000,606173554253.000000,1710401211954.000000,2972885482438.000000,3405634600.000000
12M 2017,,,28005654794.000000,38940000000.000000,79281049151.000000,79002679160.000000,278369991.000000,79281049151.000000,280433696351.000000,253967117508.000000,26466578843.000000,280433696351.000000,,4167227411.000000,92889469697.000000,523717097404.000000,,12478269436.000000,268529618640.000000,1153052257487.000000,1083235623627.000000,,243320500945.000000,2760616270135.000000,3284333367539.000000,,,1085707448074.000000,4260196193.000000,30483000000.000000,13268834206.000000,74331073759.000000,,40375721689.000000,5092794549.000000,,885607264524.000000,,,885607264524.000000,32288563154.000000,1085707448074.000000,489210859571.000000,,,454129900612.000000,,,454129900612.000000,,35080958959.000000,489210859571.000000,1574918307645.000000,,340563460000.000000,345753913585.000000,165483509908.000000,8500000000.000000,156983509908.000000,165483509908.000000,235218573528.000000,622395602873.000000,1709415059894.000000,3284333367539.000000,3405634600.000000
