Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,1006654.60,0.00,1006654.60,6 B,163 B,169 B,166 B,(56 B)
12M 2009,0.00,1028782.51,0.00,1028782.51,54 B,218 B,272 B,266 B,(109 B)
12M 2010,2.03,160.53,2.03,160.53,111 B,250 B,361 B,338 B,(32 B)
12M 2011,2.45,179.76,2.45,179.76,69 B,233 B,302 B,230 B,48 B
12M 2012,2.29,218.51,2.29,218.51,102 B,307 B,409 B,374 B,76 B
12M 2013,2.55,239.65,2.55,239.65,148 B,435 B,583 B,550 B,90 B
12M 2014,2.21,249.35,2.21,249.35,186 B,523 B,709 B,671 B,62 B
12M 2015,1.43,416.23,1.43,416.23,298 B,741 B,"1,039 B","1,016 B",(133 B)
12M 2016,1.30,439.94,1.30,439.94,364 B,734 B,"1,097 B","1,007 B",72 B
12M 2017,1.20,432.87,1.20,432.87,916 B,454 B,454 B,"1,342 B",(562 B)
12M 2018,0.78,264.59,0.78,264.59,714 B,656 B,"1,370 B","1,349 B",(706 B)
12M 2019,0.29,259.13,0.29,259.13,773 B,564 B,"1,337 B","1,322 B",(985 B)
12M 2020,0.70,78.42,0.70,78.42,"1,038 B",76 B,"1,114 B","1,111 B","(1,568 B)"
12M 2021,2.14,27.98,2.14,27.98,"1,027 B",0 B,"1,027 B","1,023 B","(1,724 B)"
12M 2022,2.67,22.43,2.67,22.43,136 B,,136 B,128 B,"(1,767 B)"
12M 2023,1.32,46.32,1.32,46.32,92 B,456 B,548 B,360 B,(42 B)
12M 2024,0.89,65.48,0.89,65.48,31 B,448 B,479 B,230 B,47 B
