Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Tamu Dan Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Lain,(Pembayaran) Penerimaan Dari Aktivitas Operasi Lainnya,Penerimaan (Pembayaran) Aktivitas Operasi Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Kenaikan Piutang Iain-Lain Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan Uang Muka Pembelian Saham,(Kenaikan) Penurunan Uang Muka Pembelian,(Penurunan) Uang Muka Pembelian,Pencairan (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Perolehan Proyek Dalam Penyelesaian,Penerimaan Dari Entitas Asosiasi,(Penempatan) Pencairan Investasi Jangka Pendek,Pencairan (Penambahan) Investasi Jangka Pendek,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Perolehan Aset Real Estat,Penurunan Aset Real Estat,Penerimaan Uang Muka Penjualan Investasi,Penambahan Nilai Investasi,Perolehan Aset Tetap,Penambahan Investasi Pada Entitas Asosiasi,Hasil Penjualan Aset Tetap,Penyertaan Saham,Pembelian Peralatan,Pengembalian Uang Muka Pembelian,Kenaikan Atas Uang Jaminan,Kenaikan (Penurunan) Piutang Dari Pemegang Saham,Kenaikan Asset Tidak Lancar Lainnya,Kenaikan (Penurunan) Piutang Pihak Berelasi,Selisih Transaksi Entitas Sepengendali,Pembelian Tanah,Uang Muka Saham,Hasil Penjualan Aset Dalam Pembangunan,Penerimaan Piutang Beli Efek Dengan Janji Dijual Kembali,Kepentingan Minoritas,Kas Keluar Atas Entitas Anak Yang Dekonsolidasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Jangka Panjang,Hasil Pinjaman Bank,Pembayaran Kepada Pihak Berelasi,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Kenaikan (Penurunan) Utang Kepada Pemegang Saham,(Kenaikan) Penurunan Piutang Pemegang Saham,Kenaikan Piutang Pemegang Saham,Penambahan (Pembayaran) Utang Jangka Panjang,Penurunan (Kenaikan) Utang Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Kenaikan Piutang Lain-Lain Pihak Berelasi,Penerimaan Dari Modal Disetor,Tambahan Modal Disetor - Bersih,(Penurunan) Kenaikan Kepentingan Non-Pengendali,Selisih Transaksi Restukturisasi Entitas Sepengendali,Uang Muka Pemesanan Saham,Penurunan Piutang Pihak Berelasi,Kenaikan Pinjaman Jangka Pendek,Penambahan Modal Saham,Pembayaran Emisi Efek Ekuitas,Penerimaan Dari Pelepasan Penyertaan Saham,Penerimaan Dari Uang Muka Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2009,1680030142.000000,41911730486.000000,-31107953940.000000,40514254.000000,-2243757469.000000,10809087.000000,-219958445.000000,-6711353831.000000,,,1680030142.000000,-139538837867.000000,,-9227536725.000000,,,-105901337217.000000,,,,,,,,,-702385571.000000,,,-13206200000.000000,-4241520491.000000,,,-6259857863.000000,,,,,,,,,,-139538837867.000000,140879766299.000000,375817446776.000000,,,,,-6002900000.000000,,,-267648960000.000000,13714179523.000000,,,25000000000.000000,,,,,,,,,,,140879766299.000000,3020958574.000000,3260392935.000000,,6281351509.000000
12M 2010,15486258567.000000,113665762108.000000,-43641729901.000000,-11955831368.000000,-6837876644.000000,3421054131.000000,-21244202010.000000,-17920917749.000000,,,15486258567.000000,-187670850920.000000,,-4476012755.000000,,-164950750000.000000,-3903583961.000000,,-11107664000.000000,,,,,,,-16984149329.000000,,918199987.000000,,-350426975.000000,6923678250.000000,,6259857863.000000,,,,,,,,,,-187670850920.000000,188849799827.000000,44628760000.000000,,,,,1052823635.000000,,,-58091250000.000000,-12591831675.000000,,,85714250000.000000,126387047867.000000,1750000000.000000,,,,,,,,,188849799827.000000,16665207474.000000,6281351509.000000,,22946558983.000000
12M 2011,59025690547.000000,199624304470.000000,-81917681710.000000,-21172023396.000000,,3772314156.000000,-21914659296.000000,-19366563677.000000,,,59025690547.000000,49118447033.000000,,-852307838.000000,,50270745000.000000,-23604573787.000000,,-19475269000.000000,55000000000.000000,,,,,,-3938293092.000000,,370000000.000000,-8415000000.000000,,,,-236854250.000000,,,,,,,,,,49118447033.000000,-59596763557.000000,228440000000.000000,,,,,15815817640.000000,,,-303903500223.000000,-2810109193.000000,,,,,1861028219.000000,,,,,,,1000000000.000000,,-59596763557.000000,48547374023.000000,22864742733.000000,23279564.000000,71435396320.000000
12M 2012,-93065123556.000000,215488862615.000000,-85015355258.000000,-168822691863.000000,,4271928997.000000,-26755487211.000000,-32232380836.000000,,,-93065123556.000000,-235227264363.000000,,-14148930443.000000,,53245683750.000000,-163290680934.000000,,-94616000000.000000,9975269000.000000,,,,,,-5706605736.000000,,,-20686000000.000000,,,,,,,,,,,,,,-235227264363.000000,291779560376.000000,170306305921.000000,,,,,-13022768546.000000,,,-55519518666.000000,-336497042.000000,,,23888900000.000000,83270590000.000000,83192548709.000000,,,,,,,,,291779560376.000000,-36512827543.000000,71435396320.000000,161328532.000000,35083897309.000000
12M 2013,-11875258621.000000,147257005365.000000,-108108763828.000000,2415639381.000000,,6893407477.000000,-29720864500.000000,-30611682516.000000,,,-11875258621.000000,-172713530752.000000,,-23610317174.000000,,6434321250.000000,-167911476460.000000,,29313221918.000000,,,-5162962202.000000,,,,-11088064675.000000,,95746591.000000,-784000000.000000,,,,,,,,,,,,,,-172713530752.000000,180707846212.000000,238883852373.000000,,,,,3384875525.000000,,,-68317182994.000000,330788295.000000,,,,,6425513013.000000,,,,,,,,,180707846212.000000,-3880943161.000000,35083897309.000000,1841102027.000000,33044056175.000000
12M 2014,77671991248.000000,263946781939.000000,-110887946869.000000,-12333271487.000000,,12539294510.000000,-37061874720.000000,-38530992125.000000,,,77671991248.000000,-216982409079.000000,,-17501159663.000000,,,-161403741644.000000,,-2337221918.000000,,,-15664104387.000000,,,,-9734263286.000000,,46081819.000000,-10388000000.000000,,,,,,,,,,,,,,-216982409079.000000,144382347649.000000,220446971859.000000,,,,,-60369400.000000,,,-94837759387.000000,-176745423.000000,,,,,19010250000.000000,,,,,,,,,144382347649.000000,5071929818.000000,33044056175.000000,90798452.000000,38206784445.000000
12M 2015,-11567107929.000000,217709175735.000000,-171933814236.000000,15976748567.000000,,10367243863.000000,-46739022871.000000,-36947438987.000000,,,-11567107929.000000,-340801284110.000000,,-13893314418.000000,,,-172549268858.000000,,38200000000.000000,,,-19328860227.000000,,,,-36195013138.000000,,3300000.000000,-15973127469.000000,,,,,,,,,-121065000000.000000,,,,,-340801284110.000000,337599966551.000000,390348984993.000000,,,,,-7502931477.000000,,-824128571.000000,-50804734932.000000,1635602599.000000,,,,,6899173939.000000,,,-2152000000.000000,,,,,,337599966551.000000,-14768425488.000000,38206784445.000000,238584997.000000,23676943954.000000
12M 2016,-101363921087.000000,113857897048.000000,-139805703091.000000,25438606130.000000,,8458525030.000000,-63658021693.000000,-45655224511.000000,,,-101363921087.000000,-187575499657.000000,,-5658310058.000000,,,-191528219245.000000,,,,,-24412585529.000000,,,,-9411342388.000000,,1957563.000000,-21242000000.000000,,,,,,,,,-16195000000.000000,80870000000.000000,,,,-187575499657.000000,355398181182.000000,181073285176.000000,,,,,-133399592.000000,,,-58666758318.000000,14359717373.000000,,,,139240881068.000000,31855057535.000000,,,-13521912060.000000,30231000000.000000,30960310000.000000,,,,355398181182.000000,66458760438.000000,23676943954.000000,43043571.000000,90178747963.000000
12M 2017,-37982764711.000000,240912269230.000000,-159268433708.000000,-10687578650.000000,,2736047155.000000,-62648863738.000000,-49026205000.000000,,,-37982764711.000000,-308023493631.000000,,-56025674998.000000,,,-133114718550.000000,,,,,-68444223422.000000,,,,-17542576661.000000,,1051400000.000000,,,,,,,,,,-33947700000.000000,,,,,-308023493631.000000,283861697281.000000,307771926417.000000,,,,,,,,-38840871008.000000,-13371293497.000000,,,,,25705789891.000000,,,6397625137.000000,,,-3801479659.000000,,,283861697281.000000,-62144561061.000000,90178747963.000000,-28532108.000000,28005654794.000000
12M 2018,31648957392.000000,541497245467.000000,-125127911451.000000,-247929788302.000000,,7656521604.000000,-72658531600.000000,-71788578326.000000,,,31648957392.000000,-345904750791.000000,,-20936903279.000000,,,-89296393330.000000,,,108341688468.000000,,-17555587958.000000,,,,-158063274740.000000,,6200000.000000,,,,,,,,,,-179205479952.000000,,10805000000.000000,,,-345904750791.000000,306269504222.000000,38935679231.000000,,,,,,10300727697.000000,,-101368429455.000000,-4068609204.000000,,,,,300741257600.000000,,57300000000.000000,4428878353.000000,,,,,,306269504222.000000,-7986289177.000000,28005654794.000000,106153380.000000,20125518997.000000
