Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.22,709.40,0.22,709.40,4 B,0 B,4 B,(94 B),231 B
12M 2009,0.53,739.28,0.53,739.28,4 B,1 B,5 B,(81 B),240 B
12M 2010,0.82,788.58,0.82,788.58,4 B,1 B,5 B,(76 B),253 B
12M 2011,0.60,837.42,0.60,837.42,4 B,1 B,5 B,(59 B),274 B
12M 2012,0.54,901.58,0.54,901.58,8 B,1 B,9 B,(51 B),294 B
12M 2013,0.53,882.66,0.53,882.66,9 B,1 B,10 B,(45 B),262 B
12M 2014,0.39,897.04,0.39,897.04,15 B,3 B,17 B,(19 B),272 B
12M 2015,0.24,880.87,0.24,880.87,30 B,1 B,31 B,(5 B),278 B
12M 2016,0.24,862.33,0.24,862.33,38 B,0 B,38 B,14 B,279 B
12M 2017,0.24,856.74,0.24,856.74,54 B,0 B,54 B,31 B,277 B
12M 2018,0.21,859.64,0.21,859.64,55 B,1 B,56 B,40 B,259 B
12M 2019,0.18,861.19,0.18,861.19,55 B,0 B,55 B,45 B,270 B
12M 2020,0.21,799.94,0.21,799.94,81 B,0 B,81 B,69 B,237 B
12M 2021,0.34,801.75,0.34,801.75,87 B,1 B,88 B,80 B,244 B
12M 2022,0.80,961.12,0.80,961.12,111 B,30 B,140 B,(37 B),351 B
12M 2023,0.39,938.88,0.39,938.88,111 B,27 B,139 B,16 B,345 B
12M 2024,0.23,1340.15,0.23,1340.15,117 B,17 B,133 B,14 B,335 B
