Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya",Pembayaran Untuk:,Pajak,Beban Bunga,Penerimaan Dari Penghasilan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Investasi,Hasil Penjualan Properti Investasi,Penerimaan Dari Pencairan Obligasi,Hasil Penjualan Aset Tetap,Investasi Pada Surat Berharga,Penambahan Aset Dalam Penyelesaian,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Pihak Berelasi,Leasing,Pembayaran Dividen Kas,Sewa Pembiayaan,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,30430824332.000000,287752440734.000000,-257251467380.000000,,-3233266772.000000,-1058570825.000000,4221688575.000000,30430824332.000000,-16860615889.000000,,,,552486365.000000,-5983541214.000000,,-11429561040.000000,-16860615889.000000,-3264371654.000000,,-230981716.000000,,,,,-2225600000.000000,-810713188.000000,2923250.000000,-3264371654.000000,10305836789.000000,87984431568.000000,,98290268357.000000
12M 2009,2437835047.000000,323994255025.000000,-313842999259.000000,,-10726558726.000000,-1042804327.000000,4055942334.000000,2437835047.000000,-10085456325.000000,,,,1188236363.000000,-1007933214.000000,,-10265759474.000000,-10085456325.000000,-4693874675.000000,,-176860181.000000,,,,,-5572560000.000000,1035062331.000000,20483175.000000,-4693874675.000000,-12341495953.000000,98290268357.000000,,85948772404.000000
12M 2010,4613811149.000000,357624860355.000000,-344903958265.000000,,-9864949808.000000,-825988342.000000,2583847209.000000,4613811149.000000,-5097678074.000000,,,,359825391.000000,2959376250.000000,-225000000.000000,-8191879715.000000,-5097678074.000000,-4073393220.000000,233997558.000000,,,,,,-4202960000.000000,-104430778.000000,,-4073393220.000000,-4980008965.000000,85948772404.000000,,80968763439.000000
12M 2011,1143065750.000000,382752511490.000000,-374696510724.000000,,-8048924331.000000,-775812926.000000,1911802241.000000,1143065750.000000,-13402448843.000000,,,,249472727.000000,1964636608.000000,-7988932558.000000,-7627625620.000000,-13402448843.000000,-4998858475.000000,-303929880.000000,188551405.000000,,,,,-4883480000.000000,,,-4998858475.000000,-17258241568.000000,80968763439.000000,,63710521871.000000
12M 2012,14959132280.000000,425428620123.000000,-404362322021.000000,,-9317484462.000000,1125164969.000000,2085153671.000000,14959132280.000000,-15992186401.000000,,,,103000000.000000,,,-16095186401.000000,-15992186401.000000,-3403997384.000000,2352911.000000,3560608338.000000,,,,,-6966958633.000000,,,-3403997384.000000,-4437051505.000000,63710521871.000000,2537788959.000000,61811259325.000000
12M 2013,8221522955.000000,404194343838.000000,-394217597038.000000,,-1865429719.000000,-1558774630.000000,1668980504.000000,8221522955.000000,-12264781452.000000,1519030335.000000,,,649193300.000000,,,-14433005087.000000,-12264781452.000000,-5847096802.000000,266760158.000000,958843040.000000,,,,,-7072700000.000000,,,-5847096802.000000,-9890355299.000000,59560929387.000000,5660502260.000000,55331076348.000000
12M 2014,-22679473943.000000,373145751535.000000,-389892585736.000000,,-4236355478.000000,-2688038171.000000,991753907.000000,-22679473943.000000,-3536486022.000000,-298500000.000000,,2463640680.000000,490000000.000000,,,-6191626702.000000,-3536486022.000000,7015668598.000000,17331900607.000000,-10316232009.000000,,,,,,,,7015668598.000000,-19200291367.000000,55331076348.000000,-92271088.000000,36038513893.000000
12M 2015,-8272888090.000000,412481972313.000000,-419288438068.000000,,1516357016.000000,-3665411293.000000,682631942.000000,-8272888090.000000,-4959793260.000000,,-1500000.000000,,268728854.000000,,,-5227022114.000000,-4959793260.000000,13521401852.000000,15290080304.000000,,-1768678452.000000,,,,,,,13521401852.000000,288720502.000000,36038513893.000000,-54047555.000000,36273186840.000000
12M 2016,-16529433188.000000,356870994252.000000,-366786985986.000000,,-2530966353.000000,-4747208360.000000,664733259.000000,-16529433188.000000,-2670973878.000000,,,,218181818.000000,,,-2889155696.000000,-2670973878.000000,7225562750.000000,8834314688.000000,,-1608751938.000000,,,,,,,7225562750.000000,-11974844316.000000,36273186840.000000,78364437.000000,24376706961.000000
12M 2017,-10355155394.000000,350497207758.000000,-356245311949.000000,,393581523.000000,-5568603458.000000,567970732.000000,-10355155394.000000,-6629199651.000000,,,,207900000.000000,,,-6837099651.000000,-6629199651.000000,15479677150.000000,16889045065.000000,,-1409367915.000000,,,,,,,15479677150.000000,-1504677895.000000,24376706961.000000,-18485120.000000,22853543946.000000
12M 2018,-5750378923.000000,319335904366.000000,-314979501892.000000,,-4243478276.000000,-6507057142.000000,643754021.000000,-5750378923.000000,-3368239335.000000,,,,299272728.000000,,,-3667512063.000000,-3368239335.000000,2314247446.000000,1174440642.000000,,-92593920.000000,,,1232400724.000000,,,,2314247446.000000,-6804370812.000000,22853543946.000000,-46056111.000000,16003117023.000000
