Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,8 B,(1 B),8 B,1056.17
12M 2022,13 B,(80 B),(67 B),-8883.99
12M 2023,25 B,(49 B),(24 B),-461.04
12M 2024,14 B,(28 B),(15 B),-5.36
