Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,129361182080.000000,-108199806584.000000,21161375496.000000,,9757287856.000000,-2361386028.000000,21759487.000000,-2354438667.000000,-28706848.000000,-2361386028.000000,7395901828.000000,-1534958875.000000,-2101853998.000000,566895123.000000,-1534958875.000000,5860942953.000000,,5860942953.000000,-173484568.000000,5687458385.000000,5860942953.000000,5835450996.000000,25491957.000000,5860942953.000000,5687458385.000000,5685075164.000000,2383221.000000,5687458385.000000
12M 2022,190546066092.000000,-153030569889.000000,37515496203.000000,,20723468529.000000,760535542.000000,8621127.000000,-3074713067.000000,3826627482.000000,760535542.000000,21484004071.000000,-4476440880.000000,-4719523136.000000,243082256.000000,-4476440880.000000,17007563191.000000,,17007563191.000000,-5840998.000000,17001722193.000000,17007563191.000000,17007563191.000000,,17007563191.000000,17001722193.000000,17001722193.000000,,17001722193.000000
12M 2023,238107032605.000000,-189924575256.000000,48182457349.000000,,24047763343.000000,-3474649419.000000,57967303.000000,-10318342975.000000,6785726253.000000,-3474649419.000000,20573113924.000000,-4584504804.000000,-4905245400.000000,320740596.000000,-4584504804.000000,15988609120.000000,,15988609120.000000,-7503999.000000,15981105121.000000,15988609120.000000,15988609120.000000,,15988609120.000000,15981105121.000000,15981105121.000000,,15981105121.000000
12M 2024,267376847096.000000,-208844636313.000000,58532210783.000000,,31262822451.000000,-712542706.000000,222003495.000000,-10230003106.000000,9295456905.000000,-712542706.000000,30550279745.000000,-7307840202.000000,-7228018600.000000,-79821602.000000,-7307840202.000000,23242439543.000000,,23242439543.000000,2176084222.000000,25418523765.000000,23242439543.000000,23242439543.000000,,23242439543.000000,25418523765.000000,25418523765.000000,,25418523765.000000
