Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,3212675379.000000,17829951179.000000,16360325966.000000,1469625213.000000,17829951179.000000,16751854577.000000,,16751854577.000000,16751854577.000000,12301381422.000000,2915976875.000000,53011839432.000000,,2026815936.000000,22857995649.000000,,1228085710.000000,26112897295.000000,79124736727.000000,,,31986413012.000000,2589696662.000000,,14690569046.000000,,14690569046.000000,,624999993.000000,,624999993.000000,,4283988081.000000,,9190442369.000000,606716861.000000,9797159230.000000,31986413012.000000,18082831796.000000,,11625440434.000000,753987233.000000,12379427667.000000,5703404129.000000,18082831796.000000,50069244808.000000,,7500000000.000000,,21555491919.000000,,21555491919.000000,21555491919.000000,,29055491919.000000,79124736727.000000,7500000.000000
12M 2022,,,2236199385.000000,28103982397.000000,27037490281.000000,1066492116.000000,28103982397.000000,14989974052.000000,,14989974052.000000,14989974052.000000,19947950999.000000,5563336940.000000,70841443773.000000,,2271545653.000000,99852616966.000000,,12795136339.000000,114919298958.000000,185760742731.000000,,,60088417748.000000,9956904449.000000,,18938846024.000000,3568996558.000000,22507842582.000000,,124999989.000000,10945924556.000000,11070924545.000000,179662500.000000,8160027130.000000,,4997332819.000000,3215723723.000000,8213056542.000000,60088417748.000000,79615110871.000000,,69085047301.000000,4337657467.000000,73422704768.000000,6192406103.000000,79615110871.000000,139703528619.000000,,7500000000.000000,,38557214112.000000,,38557214112.000000,38557214112.000000,,46057214112.000000,185760742731.000000,7500000.000000
12M 2023,,,687958043.000000,25646391794.000000,25067143236.000000,579248558.000000,25646391794.000000,10672841787.000000,926103457.000000,9746738330.000000,10672841787.000000,25550658183.000000,967755430.000000,63525605237.000000,,2594402762.000000,143749742689.000000,,11507277226.000000,157851422677.000000,221377027914.000000,,,54061607398.000000,8649263464.000000,,22070379116.000000,695770380.000000,22766149496.000000,,1567288978.000000,,1567288978.000000,332038426.000000,4739584784.000000,,13224900399.000000,2782381851.000000,16007282250.000000,54061607398.000000,103777101283.000000,,94688515364.000000,1745507764.000000,96434023128.000000,7343078155.000000,103777101283.000000,157838708681.000000,,51000000000.000000,,12538319233.000000,100000000.000000,12438319233.000000,12538319233.000000,,63538319233.000000,221377027914.000000,51000000.000000
12M 2024,,,55180413252.000000,30563326968.000000,30437994343.000000,125332625.000000,30563326968.000000,7854587344.000000,6578269658.000000,1276317686.000000,7854587344.000000,30803745551.000000,3000000000.000000,127402073115.000000,,1900813815.000000,161161255200.000000,119075000.000000,10407062291.000000,173588206306.000000,300990279421.000000,,,48958450243.000000,9511353444.000000,,11921111497.000000,,11921111497.000000,,496650000.000000,,496650000.000000,470643491.000000,7315033537.000000,,17476218868.000000,1767439406.000000,19243658274.000000,48958450243.000000,95696201513.000000,,89211583503.000000,614313143.000000,89825896646.000000,5870304867.000000,95696201513.000000,144654651756.000000,,68000000000.000000,50378784667.000000,37956842998.000000,100000000.000000,37856842998.000000,37956842998.000000,,156335627665.000000,300990279421.000000,2720000000.000000
