Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Penerimaan Dari Aktivitas Operasional Lain,Pembayaran Untuk Aktivitas Operasional Lain,Penerimaan Dari Pendapatan Keuangan,Pembayaran Beban Keuangan,Pembayaran Kas Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Perolehan Aset Tetap,Pembayaran Deposit Pinjaman,Perolehan Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Panjang,Penerimaan Dari Pihak Berelasi,Penerimaan Penawaran Umum Perdana Saham,Tambahan Setoran Modal,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Bagian Pokok Liabilitas Sewa,Pembayaran Untuk Pihak Berelasi,Biaya Emisi Saham,Pembayaran Dari Pinjaman Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Bank Entitas Anak Yang Tidak Dikonsolidasi Lagi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,8489277786.000000,126873141019.000000,-93050973648.000000,-16118565020.000000,,-6571197506.000000,21759487.000000,-2354438667.000000,-310447879.000000,8489277786.000000,-1068002045.000000,-568002045.000000,,,-500000000.000000,-1068002045.000000,-8361576355.000000,6558837995.000000,,,,,,-2288919757.000000,-11251854577.000000,,-1379640016.000000,-8361576355.000000,-940300614.000000,1139013548.000000,3013962445.000000,3212675379.000000
12M 2022,13486138077.000000,179648629040.000000,-128745355731.000000,-25337796266.000000,,-8833893665.000000,8621127.000000,-2837963067.000000,-416103361.000000,13486138077.000000,-81342738238.000000,-80116070555.000000,,-1226667683.000000,,-81342738238.000000,66880124167.000000,73984462996.000000,12207805077.000000,,,7367207787.000000,,-5932842264.000000,,,-20746509429.000000,66880124167.000000,-976475994.000000,,3212675379.000000,2236199385.000000
12M 2023,25476800472.000000,240247762948.000000,-162745855659.000000,-35346574941.000000,1969938956.000000,-181000000.000000,57967303.000000,-10165967049.000000,-8359471086.000000,25476800472.000000,-48989764655.000000,-48989764655.000000,,,,-48989764655.000000,21964722841.000000,79729683111.000000,24487500000.000000,,1500000000.000000,,-1307640985.000000,-4878776080.000000,-31667395737.000000,,-45898647468.000000,21964722841.000000,-1548241342.000000,,2236199385.000000,687958043.000000
12M 2024,13897853114.000000,261999988194.000000,-183328439115.000000,-41592823853.000000,-8064630548.000000,,222003495.000000,-9897964680.000000,-5440280379.000000,13897853114.000000,-31609131294.000000,-28479231294.000000,-3000000000.000000,,-129900000.000000,-31609131294.000000,72203733389.000000,20303538323.000000,8141899200.000000,,71400000000.000000,862089980.000000,,-3134427066.000000,,-3840215333.000000,-21529151715.000000,72203733389.000000,54492455209.000000,,687958043.000000,55180413252.000000
