Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2021,,,,,,,,,,,,,6.15,,1.66
12M 2022,43.99,38.46,44.36,38.09,8.3,,9.49,,3.11,,1.44,,17.72,,1.18
12M 2023,41.2,43.72,43.5,41.42,8.86,,8.35,,1.95,,1.17,,25.16,,1.18
12M 2024,38.37,49.25,30.31,57.31,9.51,8.19,7.41,7.16,1.75,1.63,1.02,0.89,3.41,3.41,2.6
