Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,31 B,(17 B),13 B,132361.25
12M 2012,55 B,(15 B),40 B,39.73
12M 2013,75 B,(98 B),(23 B),-19.25
12M 2014,73 B,(52 B),22 B,18.24
12M 2015,98 B,(142 B),(44 B),-37.38
12M 2016,124 B,(297 B),(173 B),-146.42
12M 2017,66 B,(78 B),(12 B),-2.06
12M 2018,31 B,(490 B),(458 B),-77.69
12M 2019,188 B,(301 B),(113 B),-19.15
12M 2020,25 B,(7 B),18 B,3.04
12M 2021,254 B,(139 B),115 B,6.70
12M 2022,161 B,(166 B),(5 B),-0.28
12M 2023,136 B,(457 B),(321 B),-18.72
12M 2024,263 B,(264 B),(0 B),-0.03
