Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pemegang Saham,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pemegang Saham,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,8807694077.000000,,17111367445.000000,17111367445.000000,,,17111367445.000000,4330086412.000000,,4330086412.000000,4330086412.000000,8475605454.000000,4239500975.000000,42964254363.000000,,257319315481.000000,2069376365.000000,,,502226293.000000,259890918139.000000,302855172502.000000,,,145353072862.000000,,18663644045.000000,,18663644045.000000,5493596493.000000,,6941966011.000000,4664742955.000000,,29178749999.000000,74664472760.000000,,,103843222759.000000,,5745900599.000000,145353072862.000000,161548015553.000000,,,,,,149780250007.000000,,,,149780250007.000000,11767765546.000000,161548015553.000000,306901088415.000000,,100000000000.000000,,-69694466913.000000,,-69694466913.000000,-69694466913.000000,-337500.000000,-34351111500.000000,-4045915913.000000,302855172502.000000,100000.000000
12M 2012,,,5685231480.000000,,20883357666.000000,20883357666.000000,,,20883357666.000000,729218143.000000,,729218143.000000,729218143.000000,8032673021.000000,2549210833.000000,37879691143.000000,,245029668031.000000,5708707688.000000,,,2160977296.000000,252899353015.000000,290779044158.000000,,,133508541569.000000,,20037708865.000000,,20037708865.000000,2952181918.000000,10757985816.000000,4931896434.000000,5226562429.000000,,29827500000.000000,50022093630.000000,,,79849593630.000000,,9752612477.000000,133508541569.000000,138047119252.000000,,,,,,119952750008.000000,,,,119952750008.000000,18094369244.000000,138047119252.000000,271555660821.000000,,100000000000.000000,,-46425173491.000000,,-46425173491.000000,-46425173491.000000,-331672.000000,-34351111500.000000,19223383337.000000,290779044158.000000,1000000000.000000
12M 2013,,,15292049185.000000,,15885353916.000000,15885353916.000000,,,15885353916.000000,1020342365.000000,,1020342365.000000,1020342365.000000,7841429286.000000,3074213050.000000,43113387802.000000,,315102234468.000000,11377847368.000000,,,8061410336.000000,334541492172.000000,377654879974.000000,,,119206074503.000000,,23124924620.000000,,23124924620.000000,5861819478.000000,47466862342.000000,3991713896.000000,8165579177.000000,,25460000000.000000,944680599.000000,,,26404680599.000000,,4190494391.000000,119206074503.000000,125438129374.000000,,,,,,101840000000.000000,,,,101840000000.000000,23598129374.000000,125438129374.000000,244644203877.000000,,118000000000.000000,14785453298.000000,223364568.000000,,223364568.000000,223364568.000000,1858231.000000,,133010676097.000000,377654879974.000000,1180000000.000000
12M 2014,,,38918427958.000000,,25054718509.000000,25054718509.000000,,,25054718509.000000,862392155.000000,,862392155.000000,862392155.000000,7540922782.000000,44910025600.000000,117286487004.000000,,332014432381.000000,13497812859.000000,,,3861731056.000000,349373976296.000000,466660463300.000000,,,82212290155.000000,,31851425451.000000,,31851425451.000000,20867585592.000000,,3669914684.000000,11827698430.000000,,11507000000.000000,944680599.000000,284006899.000000,,12735687498.000000,,1259978500.000000,82212290155.000000,193369249426.000000,,,,,,164663662977.000000,,476351142.000000,,165140014119.000000,28229235307.000000,193369249426.000000,275581539581.000000,,118000000000.000000,14785453298.000000,58291388016.000000,,58291388016.000000,58291388016.000000,2082405.000000,,191078923719.000000,466660463300.000000,1180000000.000000
12M 2015,,,122260528834.000000,,52670926878.000000,52670926878.000000,,,52670926878.000000,1390098379.000000,,1390098379.000000,1390098379.000000,10236257321.000000,58829442948.000000,245387254360.000000,,922942934053.000000,7049641361.000000,,,27840164143.000000,957832739557.000000,1203219993917.000000,,,117718682317.000000,,31568581693.000000,,31568581693.000000,8323650198.000000,,7747814291.000000,17729157994.000000,,46486385900.000000,944680599.000000,212505008.000000,,47643571507.000000,,4705906634.000000,117718682317.000000,344321325222.000000,,,,,,314223111868.000000,,134336572.000000,,314357448440.000000,29963876782.000000,344321325222.000000,462040007539.000000,,118000000000.000000,14785453298.000000,109683245042.000000,200000000.000000,109483245042.000000,109683245042.000000,7602668.000000,498703685370.000000,741179986378.000000,1203219993917.000000,1180000000.000000
12M 2016,,,46117473857.000000,,48941190269.000000,48941190269.000000,,,48941190269.000000,1666676802.000000,,1666676802.000000,1666676802.000000,15615485862.000000,7992144999.000000,120332971789.000000,,1315737962836.000000,8805053912.000000,,,7030809579.000000,1331573826327.000000,1451906798116.000000,,,131539666255.000000,,54366243049.000000,,54366243049.000000,14330446009.000000,,16424239453.000000,22140351849.000000,,22916646571.000000,,441909078.000000,,23358555649.000000,,919830246.000000,131539666255.000000,469394403714.000000,,,,437407014.000000,,434596132651.000000,944680599.000000,390519450.000000,,435931332700.000000,33025664000.000000,469394403714.000000,600934069969.000000,,118000000000.000000,15492043298.000000,119368880900.000000,300000000.000000,119068880900.000000,119368880900.000000,8420912.000000,598103383037.000000,850972728147.000000,1451906798116.000000,1180000000.000000
12M 2017,,,64341353038.000000,,110777098212.000000,110777098212.000000,,,110777098212.000000,1342251571.000000,,1342251571.000000,1342251571.000000,19136834037.000000,8025623212.000000,203623160070.000000,,1503004686132.000000,,,,8106920028.000000,1511111606160.000000,1714734766230.000000,,,165073722961.000000,,49575189199.000000,,49575189199.000000,10707874298.000000,30372470446.000000,13305821034.000000,17819732826.000000,,37681660363.000000,,3920247428.000000,,41601907791.000000,,1690727367.000000,165073722961.000000,507377083601.000000,,,,20233865308.000000,,426289472283.000000,944680599.000000,13821099411.000000,,441055252293.000000,46087966000.000000,507377083601.000000,672450806562.000000,,118000000000.000000,15492043298.000000,185159986903.000000,400000000.000000,184759986903.000000,185159986903.000000,11465614.000000,723620463853.000000,1042283959668.000000,1714734766230.000000,5900000000.000000
12M 2018,,,102860526801.000000,,195284845320.000000,195284845320.000000,,,195284845320.000000,4836469472.000000,,4836469472.000000,4836469472.000000,29663885766.000000,94552715226.000000,427198442585.000000,,2087039958655.000000,5133148790.000000,,,9660350053.000000,2101833457498.000000,2529031900083.000000,,,121409441562.000000,,46902918677.000000,,46902918677.000000,3798904620.000000,33636672001.000000,10274630693.000000,13582467373.000000,,7097193640.000000,,5264345052.000000,,12361538692.000000,,852309506.000000,121409441562.000000,1081531816035.000000,,,,55119610294.000000,,966156236844.000000,944680599.000000,12022157298.000000,,979123074741.000000,47289131000.000000,1081531816035.000000,1202941257597.000000,,118000000000.000000,15492043298.000000,240041060458.000000,500000000.000000,239541060458.000000,240041060458.000000,13011719.000000,952544527011.000000,1326090642486.000000,2529031900083.000000,5900000000.000000
12M 2019,,,22702166408.000000,,70997349900.000000,70997349900.000000,,,70997349900.000000,487377466.000000,,487377466.000000,487377466.000000,13412754021.000000,8748891118.000000,116348538913.000000,,2060361376000.000000,32995118337.000000,,,23189428473.000000,2116545922810.000000,2232894461723.000000,,,225981133797.000000,,90913859357.000000,,90913859357.000000,19609100030.000000,66000000000.000000,4829762752.000000,19036378019.000000,,10675831264.000000,,8486125111.000000,,19161956375.000000,,6430077264.000000,225981133797.000000,1029410382091.000000,,,,,,961530956030.000000,944680599.000000,17628338462.000000,,980103975091.000000,49306407000.000000,1029410382091.000000,1255391515888.000000,,118000000000.000000,15492043298.000000,130938265347.000000,600000000.000000,130338265347.000000,130938265347.000000,10501097.000000,713062136093.000000,977502945835.000000,2232894461723.000000,5900000000.000000
12M 2020,,,26174777788.000000,,87900581068.000000,87900581068.000000,,,87900581068.000000,432982318.000000,,432982318.000000,432982318.000000,12681187737.000000,4157450283.000000,131346979194.000000,,1727249279500.000000,23601013259.000000,,,7393852403.000000,1758244145162.000000,1889591124356.000000,,,293281885383.000000,,76924786481.000000,,76924786481.000000,16931186245.000000,60000000000.000000,51328688707.000000,66504439807.000000,,,,7168708178.000000,93233589.000000,7261941767.000000,,14330842376.000000,293281885383.000000,1050485725890.000000,,3056045262.000000,3056045262.000000,23508951579.000000,,969799154150.000000,,12687174570.000000,53566329.000000,982539895049.000000,41380834000.000000,1050485725890.000000,1343767611273.000000,,118000000000.000000,15492043298.000000,-256426283429.000000,600000000.000000,-257026283429.000000,-256426283429.000000,8011219.000000,668749741995.000000,545823513083.000000,1889591124356.000000,5900000000.000000
