Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,-0.00,-40455.78,-0.00,-40455.78,104 B,150 B,254 B,245 B,(102 B)
12M 2012,0.00,19.22,0.00,19.22,91 B,120 B,211 B,205 B,(96 B)
12M 2013,16.38,112.72,16.38,112.72,74 B,102 B,176 B,160 B,(76 B)
12M 2014,12.94,161.93,12.94,161.93,13 B,165 B,178 B,139 B,35 B
12M 2015,3.11,628.11,3.11,628.11,48 B,314 B,362 B,240 B,128 B
12M 2016,2.87,721.16,2.87,721.16,23 B,436 B,459 B,413 B,(11 B)
12M 2017,2.38,176.66,2.38,176.66,72 B,441 B,513 B,449 B,39 B
12M 2018,1.84,224.76,1.84,224.76,46 B,979 B,"1,025 B",922 B,306 B
12M 2019,1.10,165.68,1.10,165.68,85 B,980 B,"1,065 B","1,043 B",(110 B)
12M 2020,2.32,92.51,2.32,92.51,67 B,982 B,"1,050 B","1,023 B",(162 B)
12M 2021,1.65,223.99,1.87,197.76,23 B,20 B,43 B,(582 B),528 B
12M 2022,1.42,211.50,1.62,185.27,94 B,647 B,741 B,427 B,195 B
12M 2023,1.48,212.16,1.69,185.94,280 B,681 B,962 B,834 B,(69 B)
12M 2024,1.20,220.47,1.36,194.27,374 B,595 B,969 B,822 B,(172 B)
