Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Pajak Kini,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,241573163510.000000,-138276093258.000000,103297070252.000000,-67188414600.000000,-4445783555.000000,-62742631045.000000,-67188414600.000000,36108655652.000000,-29105560103.000000,-36816000.000000,-30716029730.000000,,52271563.000000,,1595014064.000000,-29105560103.000000,7003095549.000000,-19191456656.000000,-11981640906.000000,-7209815750.000000,,-19191456656.000000,-12188361107.000000,,,,-12188361107.000000,-12188361107.000000,-12188023607.000000,-337500.000000,-12188361107.000000,-12188361107.000000,-12188023607.000000,-337500.000000,-12188361107.000000
12M 2012,270468256130.000000,-147853541453.000000,122614714677.000000,-73595627057.000000,-3907463626.000000,-69688163431.000000,-73595627057.000000,49019087620.000000,-20989617943.000000,3265077.000000,-20393461001.000000,,61184462.000000,,-660606481.000000,-20989617943.000000,28029469677.000000,-4760170427.000000,3639331323.000000,-8399501750.000000,,-4760170427.000000,23269299250.000000,,,,23269299250.000000,23269299250.000000,23269293422.000000,5828.000000,23269299250.000000,23269299250.000000,23269293422.000000,5828.000000,23269299250.000000
12M 2013,336510610535.000000,-172221831429.000000,164288779106.000000,-91739707278.000000,-5193662038.000000,-86546045240.000000,-91739707278.000000,72549071828.000000,-21629139296.000000,-55101627.000000,-21420677016.000000,,19000000.000000,,-172360653.000000,-21629139296.000000,50919932532.000000,-4271204570.000000,5669139680.000000,-9940344250.000000,,-4271204570.000000,46648727962.000000,,,,46648727962.000000,46648727962.000000,46648538059.000000,189903.000000,46648727962.000000,46648727962.000000,46648538059.000000,189903.000000,46648727962.000000
12M 2014,414414878128.000000,-210566669182.000000,203848208946.000000,-113174128196.000000,-8371962326.000000,-104802165870.000000,-113174128196.000000,90674080750.000000,-25136601367.000000,-2209759979.000000,-23444408068.000000,,107740823.000000,,409825857.000000,-25136601367.000000,65537479383.000000,-7469231761.000000,2119965489.000000,-9589197250.000000,,-7469231761.000000,58068247622.000000,,,,58068247622.000000,58068247622.000000,58068023448.000000,224174.000000,58068247622.000000,58068247622.000000,58068023448.000000,224174.000000,58068247622.000000
12M 2015,515094720932.000000,-261380048523.000000,253714672409.000000,-135858882676.000000,-9026552241.000000,-126832330435.000000,-135858882676.000000,117855789733.000000,-49592008613.000000,-22752810234.000000,-22497613295.000000,,-219945455.000000,,-4121639629.000000,-49592008613.000000,68263781120.000000,-11658601820.000000,-11658601820.000000,,,-11658601820.000000,56605179300.000000,500871714509.000000,500871714509.000000,500871714509.000000,557476893809.000000,56605179300.000000,56605341698.000000,-162398.000000,56605179300.000000,557476893809.000000,557473415731.000000,3478078.000000,557476893809.000000
12M 2016,635020760619.000000,-339256161486.000000,295764599133.000000,-179213078623.000000,-11237324633.000000,-167975753990.000000,-179213078623.000000,116551520510.000000,-89338644556.000000,3871446598.000000,-43235236211.000000,,-308687083.000000,,-49666167860.000000,-89338644556.000000,27212875954.000000,-12417538616.000000,-12417538616.000000,,,-12417538616.000000,14795337338.000000,102550814431.000000,102550814431.000000,102550814431.000000,117346151769.000000,14795337338.000000,14795162646.000000,174692.000000,14795337338.000000,117346151769.000000,117345333525.000000,818244.000000,117346151769.000000
12M 2017,775567241680.000000,-418927956473.000000,356639285207.000000,-199655463913.000000,-13297220044.000000,-186358243869.000000,-199655463913.000000,156983821294.000000,-60375789537.000000,-6078044.000000,-53309454270.000000,,-629064173.000000,,-6431193050.000000,-60375789537.000000,96608031757.000000,-24592896448.000000,-24592896448.000000,,,-24592896448.000000,72015135309.000000,122561595609.000000,122561595609.000000,122561595609.000000,194576730918.000000,72015135309.000000,72014785065.000000,350244.000000,72015135309.000000,194576730918.000000,194573688835.000000,3042083.000000,194576730918.000000
12M 2018,952082106918.000000,-527029408951.000000,425052697967.000000,-249413314936.000000,-17902302418.000000,-231511012518.000000,-249413314936.000000,175639383031.000000,-93940481614.000000,,-72761518744.000000,,-91552734.000000,,-21087410136.000000,-93940481614.000000,81698901417.000000,-22815674708.000000,,-22815674708.000000,,-22815674708.000000,58883226709.000000,234946315019.000000,234946315019.000000,234946315019.000000,293829541728.000000,58883226709.000000,58883002032.000000,224677.000000,58883226709.000000,293829541728.000000,293827995694.000000,1546034.000000,293829541728.000000
12M 2019,529319793872.000000,-316838306101.000000,212481487771.000000,-207070844912.000000,-11769827511.000000,-195301017401.000000,-207070844912.000000,5410642859.000000,-145681558983.000000,,-111467631007.000000,,-40702977.000000,,-34173224999.000000,-145681558983.000000,-140270916124.000000,25885449064.000000,,25885449064.000000,,25885449064.000000,-114385467060.000000,-234242170791.000000,-234242170791.000000,-234242170791.000000,-348627637851.000000,-114385467060.000000,-114384783432.000000,-683628.000000,-114385467060.000000,-348627637851.000000,-348625126830.000000,-2511021.000000,-348627637851.000000
12M 2020,507616889306.000000,-275577804323.000000,232039084983.000000,-228583866446.000000,-12139900300.000000,-216443966146.000000,-228583866446.000000,3455218537.000000,-378437669829.000000,,-109727024901.000000,,-1479704188.000000,,-267230940740.000000,-378437669829.000000,-374982451292.000000,-74484754232.000000,,-74484754232.000000,,-74484754232.000000,-449467205524.000000,19671797957.000000,19671797957.000000,19671797957.000000,-429795407567.000000,-449467205524.000000,-449464350436.000000,-2855088.000000,-449467205524.000000,-429795407567.000000,-429792932072.000000,-2475495.000000,-429795407567.000000
12M 2021,1271584061675.000000,-729018194346.000000,542565867329.000000,-357396191533.000000,-7372628532.000000,-350023563001.000000,-357396191533.000000,185169675796.000000,-36962123026.000000,,-41094202319.000000,12719471384.000000,-13037865187.000000,,4450473096.000000,-36962123026.000000,148207552770.000000,-11750352028.000000,,-156458856.000000,-11593893172.000000,-11750352028.000000,148051093914.000000,17416539174.000000,17416539174.000000,17416539174.000000,153873739916.000000,136457200742.000000,138553853328.000000,-2096652586.000000,136457200742.000000,153873739916.000000,153161185185.000000,712554731.000000,153873739916.000000
