Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Lainnya Dari Pihak Ketiga,Penerimaan Dari Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga Dan Provisi,Pembayaran Pajak,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Investasi,Akuisisi Kepemilikan Saham Di Entitas Anak Dikurangi Kas Dan Setara Kas Yang Diperoleh,Penerimaan Penjualan Aset Tetap,Pembayaran Pengambilalihan Saham Saham Pihak Nonpengendali,Perolehan Aset Takberwujud,Realisasi Deposito Berjangka,Penerimaan Dividen Kas,Pelepasan Investasi Pada Aset Keuangan,Penempatan Deposito Berjangka,Investasi Pada Entitas Asosiasi,Pembayaran Uang Muka Pembelian Tanah,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Panjang,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Dari Penerbitan Saham,Pembayaran Utang Jangka Panjang,Penerimaan Dari (Pembayaran Kepada) Pemegang Saham,Penerimaan Utang Lain-Lain - Pihak Ketiga,Penerimaan Setoran Modal Entitas Anak Dari Pihak Nonpengendali,Pembayaran Utang Lain-Lain - Pihak Ketiga,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Premi Lindung Nilai Dimuka,Penerimaan Uang Muka Setoran Modal,Pembayaran Utang Sewa,Penambahan Saham,Pembayaran Dividen Kas Kepada Pemegang Saham Nonpengendali Entitas Anak,Tambahan Modal Disetor,Pembayaran Dividen,Beban Emisi Saham,Penempatan Dana Dalam Pembatasan,Pencairan Dana Dalam Pembatasan,Pencairan (Penempatan) Dana Yang Dalam Penempatan,Pembayaran Instrumen Keuangan Derivatif,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,30638093882.000000,241416307977.000000,,,100405215.000000,-30840802707.000000,-1689541001.000000,-52798090680.000000,-125550184922.000000,30638093882.000000,-17161322377.000000,-17401968406.000000,,,240646029.000000,,,,,,,,,,-17161322377.000000,-14070475983.000000,,,-27772961755.000000,,,,,,,,57892500000.000000,-44190014228.000000,,,,,,,,,,,,,,-14070475983.000000,-593704478.000000,9401398555.000000,,8807694077.000000
12M 2012,55044972771.000000,266696265910.000000,,,90288138.000000,-20060360461.000000,-11000970864.000000,-59038439461.000000,-121641810491.000000,55044972771.000000,-15104292056.000000,-15318132294.000000,,,213840238.000000,,,,,,,,,,-15104292056.000000,-43063143312.000000,,,-18420764182.000000,,,,,,,,30797951900.000000,-55440331030.000000,,,,,,,,,,,,,,-43063143312.000000,-3122462597.000000,8807694077.000000,,5685231480.000000
12M 2013,74802025128.000000,341508614284.000000,,,1083644489.000000,-21446901005.000000,-9643312945.000000,-72114492518.000000,-164585527177.000000,74802025128.000000,-97482985708.000000,-97517226993.000000,,,34241285.000000,,,,,,,,,,-97482985708.000000,32287778285.000000,163300000000.000000,,-149071373482.000000,,,,,,,,109307317940.000000,-158384730971.000000,,,,,18000000000.000000,,54000000000.000000,,-4863435202.000000,,,,,32287778285.000000,9606817705.000000,5685231480.000000,,15292049185.000000
12M 2014,73186932825.000000,405245513535.000000,,,310079677.000000,-23875757935.000000,-10442189680.000000,-80419490262.000000,-217631222510.000000,73186932825.000000,-50592998454.000000,-51665771181.000000,,,1072772727.000000,,,,,,,,,,-50592998454.000000,1032444402.000000,253040000000.000000,,-251874631652.000000,,,,,,,,80709076826.000000,-80709076826.000000,-132923946.000000,,,,,,,,,,,,,1032444402.000000,23626378773.000000,15292049185.000000,,38918427958.000000
12M 2015,97529578906.000000,487478512564.000000,,,269256264.000000,-22231846424.000000,-2448021184.000000,-95351301115.000000,-270187021199.000000,97529578906.000000,-141631092413.000000,-130550254258.000000,,,10054545.000000,,,,,,,,-11090892700.000000,,-141631092413.000000,127443614383.000000,170774517482.000000,,-12907450000.000000,,,,,,,,,,-413516462.000000,,,,,,,-8260000000.000000,,,,-14724876640.000000,-7025059997.000000,127443614383.000000,83342100876.000000,38918427958.000000,,122260528834.000000
12M 2016,123850340188.000000,638750497229.000000,,,638384323.000000,-43900613600.000000,-23525917114.000000,-124391895291.000000,-323720115359.000000,123850340188.000000,-295886305386.000000,-296624970721.000000,,,738665335.000000,,,,,,,,,,-295886305386.000000,95892910221.000000,473715654175.000000,,-376912372722.000000,,,,,,,,,,-382713052.000000,-3574375000.000000,,,,,50000000.000000,-8260000000.000000,,,,11256716820.000000,,95892910221.000000,-76143054977.000000,122260528834.000000,,46117473857.000000
12M 2017,66255296191.000000,713731333737.000000,,,501710397.000000,-53811164667.000000,-33724224503.000000,-142999618816.000000,-417442739957.000000,66255296191.000000,-77971149091.000000,-78414149091.000000,,,443000000.000000,,,,,,,,,,-77971149091.000000,29939732081.000000,60372470446.000000,,-23541646576.000000,,,,,,,,,,-2351091789.000000,,,,,,,-3540000000.000000,,,,-1000000000.000000,,29939732081.000000,18223879181.000000,46117473857.000000,,64341353038.000000
12M 2018,31312617382.000000,867574359809.000000,,,1754628241.000000,-74374338584.000000,-36056625533.000000,-176557871579.000000,-551027534972.000000,31312617382.000000,-489662026166.000000,-411319973081.000000,,,,,,,,,,,,-78342053085.000000,-489662026166.000000,496868582547.000000,1009890102485.000000,,-497343603092.000000,,,,,,,,,,-4094486821.000000,,,,,,,-10030000000.000000,,,,-1553430025.000000,,496868582547.000000,38519173763.000000,64341353038.000000,,102860526801.000000
12M 2019,188400529811.000000,653607289293.000000,,,590558596.000000,-111810476004.000000,-28498929667.000000,-187413240735.000000,-138074671672.000000,188400529811.000000,-301322687109.000000,-369363959838.000000,,,41272729.000000,,,,,,,,,68000000000.000000,-301322687109.000000,32763796905.000000,209628190015.000000,,-178972468395.000000,,,,,,,,,,-7175598771.000000,,,,,,,,,,,9283674056.000000,,32763796905.000000,-80158360393.000000,102860526801.000000,,22702166408.000000
12M 2020,24689011922.000000,486024164377.000000,2376709355.000000,,341736346.000000,-71205939886.000000,-58055186.000000,-168109230948.000000,-224680372136.000000,24689011922.000000,-5994540132.000000,-5644724685.000000,,,735518182.000000,,,,,,,,,-1085333629.000000,-5994540132.000000,-15221860410.000000,,,-9000000000.000000,,,,,9727000000.000000,,-6000000000.000000,,,-6259130574.000000,,,,,,,,,,,-3689729836.000000,,-15221860410.000000,3472611380.000000,22702166408.000000,,26174777788.000000
