Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,181243083.000000,,,,,492271838.000000,2500000.000000,489771838.000000,492271838.000000,553270467.000000,867248138.000000,2094033526.000000,,1301577280.000000,13547866.000000,12600000.000000,1327725146.000000,3421758672.000000,,,409547519.000000,,,,,,27700000.000000,134032500.000000,161732500.000000,145394184.000000,102420835.000000,,409547519.000000,69268069.000000,69268069.000000,69268069.000000,478815588.000000,,1500000000.000000,,-83056916.000000,,,-83056916.000000,,1526000000.000000,2942943084.000000,3421758672.000000,1500.000000
12M 2022,,,77280819.000000,,,,,2560400000.000000,5400000.000000,2555000000.000000,2560400000.000000,675940503.000000,38333334.000000,3351954656.000000,,3819414642.000000,21499949.000000,12600000.000000,3853514591.000000,7205469247.000000,,,697000633.000000,528132663.000000,,,528132663.000000,,,,,145867970.000000,23000000.000000,,697000633.000000,112191890.000000,112191890.000000,112191890.000000,809192523.000000,,6500000000.000000,,-103723276.000000,,,-103723276.000000,,,6396276724.000000,7205469247.000000,6500.000000
12M 2023,,,25941652172.000000,1171134037.000000,1171134037.000000,,1171134037.000000,,,,,1368839049.000000,38333334.000000,28519958592.000000,,26211224040.000000,36836949.000000,5455822312.000000,31703883301.000000,60223841893.000000,,,1163189111.000000,723759150.000000,,,723759150.000000,,,,,190422511.000000,150000000.000000,99007450.000000,1163189111.000000,167440677.000000,167440677.000000,167440677.000000,1330629788.000000,,17500000000.000000,41333927560.000000,59283545.000000,,,59283545.000000,1000.000000,,58893212105.000000,60223841893.000000,1750000000.000000
12M 2024,,,8214776884.000000,,,,,,,,,410047405.000000,2594605291.000000,11219429580.000000,,33502711799.000000,970552182.000000,11919245634.000000,46392509615.000000,57611939195.000000,,,990563000.000000,898388000.000000,,,898388000.000000,,,,,2250000.000000,89925000.000000,,990563000.000000,1390459564.000000,1390459564.000000,1390459564.000000,2381022564.000000,,17500400720.000000,41337734400.000000,-3607219489.000000,,,-3607219489.000000,1000.000000,,55230916631.000000,57611939195.000000,1750040072.000000
