Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Karyawan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,5952012053.000000,-4269739648.000000,1682272405.000000,-1556190350.000000,,,-1556190350.000000,,-1556190350.000000,126082055.000000,-922800.000000,,,-922800.000000,-922800.000000,125159255.000000,-38668433.000000,-42182580.000000,3514147.000000,,-38668433.000000,86490822.000000,-4688986.000000,-4688986.000000,-4688986.000000,81801836.000000,86490822.000000,86490822.000000,,86490822.000000,81801836.000000,81801836.000000,,81801836.000000
12M 2022,3989577000.000000,-3398786221.000000,590790779.000000,-547763114.000000,,,-547763114.000000,,-547763114.000000,43027665.000000,-644624.000000,,,-644624.000000,-644624.000000,42383041.000000,-58914828.000000,-67612490.000000,8697662.000000,,-58914828.000000,-16531787.000000,-4134573.000000,-4134573.000000,-4134573.000000,-20666360.000000,-16531787.000000,-16531787.000000,,-16531787.000000,-20666360.000000,-20666360.000000,,-20666360.000000
12M 2023,8348193858.000000,-5790119678.000000,2558074180.000000,-2327013615.000000,,,-2327013615.000000,,-2327013615.000000,231060565.000000,30388670.000000,93535551.000000,-4816916.000000,-58329965.000000,30388670.000000,261449235.000000,-94454953.000000,-108667285.000000,14212332.000000,,-94454953.000000,166994282.000000,-3987461.000000,-3987461.000000,-3987461.000000,163006821.000000,166994282.000000,166993282.000000,1000.000000,166994282.000000,163006821.000000,163005821.000000,1000.000000,163006821.000000
12M 2024,3132558298.000000,-5227029203.000000,-2094470905.000000,-2487305197.000000,,,-2487305197.000000,,-2487305197.000000,-4581776102.000000,-26391441.000000,,-19881441.000000,-6510000.000000,-26391441.000000,-4608167543.000000,935464074.000000,,935464074.000000,,935464074.000000,-3672703469.000000,6200435.000000,6200435.000000,6200435.000000,-3666503034.000000,-3672703469.000000,-3672703469.000000,,-3672703469.000000,-3666503034.000000,-3666503034.000000,,-3666503034.000000
