Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Beban Operasional,Pembayaran (Penerimaan) Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penambahan Piutang Lain-Lain Pihak Berelasi,Penambahan Uang Muka Aset,Perolehan Aset Tetap,Penambahan Jaminan,Perolehan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Melalui Ipo,Penambahan Setoran Modal,Tambahan Modal Disetor Lainnya,Penambahan Modal Saham Melalui Pelaksanaan Warran I,Penerimaan Dari Utang Lain-Lain Pihak Berelasi,Pembayaran Untuk Utang Lain-Lain Pihak Berelasi,Pembayaran Biaya Emisi,Pembayaran Liabilitas Sewa,Penerimaan Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-243152399.000000,5952012053.000000,-4391352750.000000,-1031180000.000000,-772631702.000000,,,-243152399.000000,-307115980.000000,,,,-299515980.000000,-7600000.000000,,-307115980.000000,307830500.000000,,,,,-552169500.000000,860000000.000000,,,,307830500.000000,-242437879.000000,423680962.000000,181243083.000000
12M 2022,1496314308.000000,3989577000.000000,-1473550797.000000,-642289881.000000,-350622978.000000,-26799036.000000,,1496314308.000000,-5402315910.000000,,-2555000000.000000,,-2847315910.000000,,,-5402315910.000000,3802039338.000000,,3474000000.000000,,,328039338.000000,,,,,3802039338.000000,-103962264.000000,181243083.000000,77280819.000000
12M 2023,-1146274523.000000,7177059821.000000,-5154378059.000000,-1402238672.000000,-1656922543.000000,-109795070.000000,,-1146274523.000000,-25323281684.000000,130000000.000000,,-2150000000.000000,-23178337183.000000,-24944501.000000,-100000000.000000,-25323281684.000000,52333927560.000000,50000000000.000000,6000000000.000000,,,,,-3666072440.000000,,,52333927560.000000,25864371353.000000,77280819.000000,25941652172.000000
12M 2024,-3683087733.000000,4303692335.000000,-4902580528.000000,-1656855192.000000,-1318677063.000000,-108667285.000000,,-3683087733.000000,-13948987665.000000,,,-5169593000.000000,-8471394665.000000,-8000000.000000,-300000000.000000,-13948987665.000000,-94799890.000000,,,3806840.000000,400720.000000,,,,-99007450.000000,,-94799890.000000,-17726875288.000000,25941652172.000000,8214776884.000000
