Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Pos Luar Biasa,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5278215000000.000000,-4367388000000.000000,910827000000.000000,-458959000000.000000,-164888000000.000000,-294071000000.000000,-458959000000.000000,451868000000.000000,319948000000.000000,38292000000.000000,-26502000000.000000,-23059000000.000000,283214000000.000000,48003000000.000000,319948000000.000000,771816000000.000000,-161888000000.000000,609928000000.000000,-45000000000.000000,1097000000.000000,,566025000000.000000,,,,566025000000.000000,564928000000.000000,609928000000.000000,-45000000000.000000,564928000000.000000,,,,
12M 2009,5265798000000.000000,-4317181000000.000000,948617000000.000000,-528626000000.000000,-172420000000.000000,-356206000000.000000,-528626000000.000000,419991000000.000000,527010000000.000000,45466000000.000000,-49701000000.000000,-14931000000.000000,509774000000.000000,36402000000.000000,527010000000.000000,947001000000.000000,-137046000000.000000,809955000000.000000,-41690000000.000000,,,768265000000.000000,,,,768265000000.000000,768265000000.000000,809955000000.000000,-41690000000.000000,768265000000.000000,,,,
12M 2010,6255109000000.000000,-5102483000000.000000,1152626000000.000000,-579511000000.000000,-215941000000.000000,-363570000000.000000,-579511000000.000000,573115000000.000000,821146000000.000000,29126000000.000000,-98000000.000000,-27954000000.000000,761161000000.000000,58911000000.000000,821146000000.000000,1394261000000.000000,-168956000000.000000,1225305000000.000000,-84126000000.000000,,,1141179000000.000000,,,,1141179000000.000000,1141179000000.000000,1225305000000.000000,-84126000000.000000,1141179000000.000000,,,,
12M 2011,7363659000000.000000,-6126058000000.000000,1237601000000.000000,-718053000000.000000,-294835000000.000000,-423218000000.000000,-718053000000.000000,519548000000.000000,735535000000.000000,41056000000.000000,,-55549000000.000000,693786000000.000000,56242000000.000000,735535000000.000000,1255083000000.000000,-153500000000.000000,1101583000000.000000,,,,1101583000000.000000,4066000000.000000,4066000000.000000,4066000000.000000,1105649000000.000000,1101583000000.000000,1006716000000.000000,94867000000.000000,1101583000000.000000,1105649000000.000000,1010782000000.000000,94867000000.000000,1105649000000.000000
12M 2012,8277485000000.000000,-6921210000000.000000,1356275000000.000000,-880741000000.000000,-387493000000.000000,-493248000000.000000,-880741000000.000000,475534000000.000000,787834000000.000000,29406000000.000000,,-99586000000.000000,784392000000.000000,73622000000.000000,787834000000.000000,1263368000000.000000,-127454000000.000000,1135914000000.000000,,,,1135914000000.000000,-59483000000.000000,-59483000000.000000,-59483000000.000000,1076431000000.000000,1135914000000.000000,1053246000000.000000,82668000000.000000,1135914000000.000000,1076431000000.000000,997743000000.000000,78688000000.000000,1076431000000.000000
12M 2013,10701988000000.000000,-8989568000000.000000,1712420000000.000000,-1040621000000.000000,-439446000000.000000,-601175000000.000000,-1040621000000.000000,671799000000.000000,596805000000.000000,96869000000.000000,,-87265000000.000000,600202000000.000000,-13001000000.000000,596805000000.000000,1268604000000.000000,-210589000000.000000,1058015000000.000000,,,,1058015000000.000000,41694000000.000000,41694000000.000000,41694000000.000000,1099709000000.000000,1058015000000.000000,1006262000000.000000,51753000000.000000,1058015000000.000000,1099709000000.000000,1046506000000.000000,53203000000.000000,1099709000000.000000
12M 2014,12255427000000.000000,-10500112000000.000000,1755315000000.000000,-1291307000000.000000,-564878000000.000000,-726429000000.000000,-1291307000000.000000,464008000000.000000,644047000000.000000,109226000000.000000,,-97384000000.000000,491001000000.000000,141204000000.000000,644047000000.000000,1108055000000.000000,-151646000000.000000,956409000000.000000,,,,956409000000.000000,193765000000.000000,193765000000.000000,193765000000.000000,1150174000000.000000,956409000000.000000,871659000000.000000,84750000000.000000,956409000000.000000,1150174000000.000000,1067480000000.000000,82694000000.000000,1150174000000.000000
12M 2015,11723787000000.000000,-9993047000000.000000,1730740000000.000000,-1354658000000.000000,-639730000000.000000,-714928000000.000000,-1354658000000.000000,376082000000.000000,57514000000.000000,79300000000.000000,,-173063000000.000000,31499000000.000000,119778000000.000000,57514000000.000000,433596000000.000000,-110895000000.000000,322701000000.000000,,,,322701000000.000000,-43466000000.000000,-43466000000.000000,-43466000000.000000,279235000000.000000,322701000000.000000,318567000000.000000,4134000000.000000,322701000000.000000,279235000000.000000,276827000000.000000,2408000000.000000,279235000000.000000
12M 2016,12806867000000.000000,-10954051000000.000000,1852816000000.000000,-1405476000000.000000,-665770000000.000000,-739706000000.000000,-1405476000000.000000,447340000000.000000,201567000000.000000,68218000000.000000,,-124222000000.000000,229774000000.000000,27797000000.000000,201567000000.000000,648907000000.000000,-165486000000.000000,483421000000.000000,,,,483421000000.000000,38635000000.000000,38635000000.000000,38635000000.000000,522056000000.000000,483421000000.000000,418203000000.000000,65218000000.000000,483421000000.000000,522056000000.000000,455076000000.000000,66980000000.000000,522056000000.000000
12M 2017,13549857000000.000000,-11793778000000.000000,1756079000000.000000,-1409628000000.000000,-675593000000.000000,-734035000000.000000,-1409628000000.000000,346451000000.000000,365485000000.000000,69418000000.000000,,-76449000000.000000,335410000000.000000,37106000000.000000,365485000000.000000,711936000000.000000,-164155000000.000000,547781000000.000000,,,,547781000000.000000,-94902000000.000000,-94902000000.000000,-94902000000.000000,452879000000.000000,547781000000.000000,551406000000.000000,-3625000000.000000,547781000000.000000,452879000000.000000,464727000000.000000,-11848000000.000000,452879000000.000000
