Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan Dan Lainnya,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Dari Aktivitas Operasi Lainnya,Penerimaan Bunga,Pengembalian Pajak,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Kas,Penerimaan Dari Aset Yang Dimiliki Untuk Dijual,Penerimaan Dari Pembayaran Wesel Tagih Pihak Berelasi,Hasil Penjualan Investasi Jangka Panjang Lainnya,Penerimaan Dari Penjualan Aset Tetap,"Piutang Yang Diterima Dari/(Diberikan Kepada) Pihak Berelasi, Bersih",Pinjaman Jangka Pendek -Pihak Berelasi,Penerimaan Bunga Dari Wesel Tagih,Penerimaan/Penurunan/Kenaikan Piutang Dari Likuidasi Entitas Anak,Perolehan Investasi Jangka Panjang Lain-Lain,Penambahan Aset Tidak Berwujud,Penerimaan Dari Penjualan Aset Tidak Berwujud,Wesel Tagih Yang Diberikan Kepada Pihak Berelasi,Akuisisi Entitas Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Piutang Lain-Lain Dari Pihak Berelasi,Pembayaran Piutang Lain-Lain Kepada Pihak Berelasi,Perolehan Aset Tetap,Uang Muka Investasi,Investasi Pada Entitas Asosiasi Dan Ventura Bersama,Imbalan Kas Bersih Untuk Kombinasi Bisnis,"Akuisisi Entitas Anak, Setelah Dikurangi Arus Kas Yang Diperoleh",Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Terbatas I Tahun 2013,Kenaikan Modal Ditempatkan,Penerimaan Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,"(Pembayaran)/Penerimaan Utang Pihak Berelasi, Bersih",Pembayaran Biaya Emisi Efek,Pembayaran Biaya Keuangan,Pembayaran Pinjaman Jangka Panjang,Pembayaran Dividen Kepada Pemegang Saham Minoritas Anak Perusahaan,Pembayaran Dividen,Kepada Non Pengendali,Kepada Pemilik Entitas Induk,Total Pembayaran Dividen,Akuisisi Kepentingan Pada Entitas Anak - Kepentingan Non Pengendali,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,467869000000.000000,5445196000000.000000,-4818028000000.000000,,30686000000.000000,11254000000.000000,-23875000000.000000,-177364000000.000000,467869000000.000000,-32402000000.000000,102178000000.000000,,,,56753000000.000000,-1076000000.000000,,,,,-1158000000.000000,,,-3111000000.000000,,,,-185988000000.000000,,,,,-32402000000.000000,-303701000000.000000,,,485682000000.000000,,-7165000000.000000,,,-34231000000.000000,,-251205000000.000000,,,-251205000000.000000,,,-496782000000.000000,-303701000000.000000,180976000000.000000,367564000000.000000,-22882000000.000000,525658000000.000000
12M 2009,566015000000.000000,5136267000000.000000,-4406794000000.000000,,36307000000.000000,529000000.000000,-15146000000.000000,-185148000000.000000,566015000000.000000,-34323000000.000000,97303000000.000000,,,,1816000000.000000,1440000000.000000,,,-13660000000.000000,,-2689000000.000000,,,-1053000000.000000,,,,-117480000000.000000,,,,,-34323000000.000000,-300776000000.000000,,,339061000000.000000,39883000000.000000,-57000000.000000,,,-81628000000.000000,,-235866000000.000000,,,-235866000000.000000,,,-362169000000.000000,-300776000000.000000,260646000000.000000,525658000000.000000,-12368000000.000000,773936000000.000000
12M 2010,374748000000.000000,6187133000000.000000,-5704104000000.000000,76826000000.000000,23727000000.000000,22857000000.000000,-26812000000.000000,-204879000000.000000,374748000000.000000,-206592000000.000000,223250000000.000000,,,,2074000000.000000,-2184000000.000000,,,,,-6325000000.000000,,,,,,,-423407000000.000000,,,,,-206592000000.000000,-450444000000.000000,,,757404000000.000000,,-249000000.000000,,,-59065000000.000000,,-506130000000.000000,,,-506130000000.000000,,,-642404000000.000000,-450444000000.000000,-282288000000.000000,773936000000.000000,-6084000000.000000,485564000000.000000
12M 2011,258576000000.000000,7190590000000.000000,-6816989000000.000000,40483000000.000000,37273000000.000000,42107000000.000000,,-234888000000.000000,258576000000.000000,-450800000000.000000,441016000000.000000,,,,2715000000.000000,,,,11890000000.000000,,-68549000000.000000,,,-64405000000.000000,,,,-773467000000.000000,,,,,-450800000000.000000,73119000000.000000,,,3520828000000.000000,195899000000.000000,,,-50394000000.000000,-59398000000.000000,,-488202000000.000000,,,-488202000000.000000,,,-3045614000000.000000,73119000000.000000,-119105000000.000000,485564000000.000000,-1060000000.000000,365399000000.000000
12M 2012,537785000000.000000,8154284000000.000000,-7481928000000.000000,16567000000.000000,25970000000.000000,30977000000.000000,,-208085000000.000000,537785000000.000000,-596964000000.000000,367021000000.000000,,,33017000000.000000,2555000000.000000,,,325000000.000000,883000000.000000,-1125000000.000000,-20540000000.000000,,-9000000000.000000,-234182000000.000000,,,,-735918000000.000000,,,,,-596964000000.000000,336794000000.000000,,,3196750000000.000000,400200000000.000000,,,-96479000000.000000,-125431000000.000000,,-314226000000.000000,,,-314226000000.000000,,,-2724020000000.000000,336794000000.000000,277615000000.000000,365399000000.000000,8736000000.000000,651750000000.000000
12M 2013,551756000000.000000,10361824000000.000000,-9694228000000.000000,32282000000.000000,80069000000.000000,22539000000.000000,,-250730000000.000000,551756000000.000000,-765309000000.000000,413212000000.000000,,23000000000.000000,,83710000000.000000,,,1109000000.000000,,,-17540000000.000000,,-33000000000.000000,-257300000000.000000,,,,-647731000000.000000,,,,-330769000000.000000,-765309000000.000000,1021854000000.000000,2988235000000.000000,,1017494000000.000000,114557000000.000000,,-22807000000.000000,-85464000000.000000,-405174000000.000000,,-544987000000.000000,,,-544987000000.000000,,,-2040000000000.000000,1021854000000.000000,808301000000.000000,634650000000.000000,29371000000.000000,1472322000000.000000
12M 2014,264565000000.000000,12027977000000.000000,-11680292000000.000000,62830000000.000000,94115000000.000000,47292000000.000000,,-287357000000.000000,264565000000.000000,-1083844000000.000000,284785000000.000000,,,,90076000000.000000,,,1686000000.000000,,,-35283000000.000000,,,-455867000000.000000,,,,-969241000000.000000,,,,,-1083844000000.000000,610996000000.000000,,,1670045000000.000000,,,,-85661000000.000000,-158853000000.000000,,-439535000000.000000,,,-439535000000.000000,,,-375000000000.000000,610996000000.000000,-208283000000.000000,1472322000000.000000,935000000.000000,1264974000000.000000
12M 2015,866768000000.000000,11977548000000.000000,-11030747000000.000000,39258000000.000000,66782000000.000000,20171000000.000000,,-206244000000.000000,866768000000.000000,-632880000000.000000,229574000000.000000,,26000000000.000000,,46609000000.000000,,,2202000000.000000,,,-54002000000.000000,,-22000000000.000000,-123420000000.000000,,,,-737843000000.000000,,,,,-632880000000.000000,-534087000000.000000,,,4094955000000.000000,200000000000.000000,,,-169429000000.000000,-113995000000.000000,,,-19926000000.000000,-278899000000.000000,-298825000000.000000,,,-4246793000000.000000,-534087000000.000000,-300199000000.000000,1264974000000.000000,-16499000000.000000,948276000000.000000
12M 2016,1059369000000.000000,12696990000000.000000,-11617369000000.000000,11189000000.000000,58499000000.000000,90593000000.000000,,-180533000000.000000,1059369000000.000000,-451525000000.000000,180759000000.000000,,,,17164000000.000000,,,3222000000.000000,,,-37212000000.000000,,-22500000000.000000,-149060000000.000000,,,,-443898000000.000000,,,,,-451525000000.000000,-651883000000.000000,,,2637767000000.000000,349125000000.000000,,,-108843000000.000000,-115179000000.000000,,,-3611000000.000000,-125313000000.000000,-128924000000.000000,,,-3285829000000.000000,-651883000000.000000,-44039000000.000000,948276000000.000000,10398000000.000000,914635000000.000000
12M 2017,394229000000.000000,13394331000000.000000,-12856659000000.000000,33859000000.000000,58179000000.000000,54306000000.000000,,-289787000000.000000,394229000000.000000,-28285000000.000000,476542000000.000000,,,,27195000000.000000,,,5669000000.000000,,,-19393000000.000000,,-125190000000.000000,,,,,-393108000000.000000,,,,,-28285000000.000000,-589870000000.000000,,,2063694000000.000000,,,,-79225000000.000000,-80000000000.000000,,,-42391000000.000000,-187899000000.000000,-230290000000.000000,,,-2264049000000.000000,-589870000000.000000,-223926000000.000000,914635000000.000000,-10793000000.000000,679916000000.000000
