Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,112482957188.000000,-88505118358.000000,23977838830.000000,-14049869476.000000,-5183627175.000000,-8866242301.000000,,-14049869476.000000,9927969354.000000,121793299.000000,-1133501909.000000,1254279895.000000,,1015313.000000,121793299.000000,10049762653.000000,-2812073928.000000,-2812073928.000000,-2812073928.000000,-1875667398.000000,5362021327.000000,-18554984.000000,5343466343.000000,5362021327.000000,5324755862.000000,37265465.000000,5362021327.000000,5343466343.000000,5305875083.000000,37591260.000000,5343466343.000000
12M 2020,92792423483.000000,-50175911732.000000,42616511751.000000,-19379626838.000000,-12868484342.000000,-6511142496.000000,,-19379626838.000000,23236884913.000000,-10441691761.000000,-11269363508.000000,1277225706.000000,,-449553959.000000,-10441691761.000000,12795193152.000000,-2353473891.000000,-2353473891.000000,-2353473891.000000,723796037.000000,11165515298.000000,32171331.000000,11197686629.000000,11165515298.000000,11164429795.000000,1085503.000000,11165515298.000000,11197686629.000000,11196515686.000000,1170943.000000,11197686629.000000
12M 2021,80469806499.000000,-54821897853.000000,25647908646.000000,-9143016192.000000,-6780007683.000000,-2363008509.000000,,-9143016192.000000,16504892454.000000,-9500733965.000000,-11483204023.000000,747976229.000000,,1234493829.000000,-9500733965.000000,7004158489.000000,-1916793459.000000,-1916793459.000000,-1916793459.000000,,5087365030.000000,89573578.000000,5176938608.000000,5087365030.000000,5086778715.000000,586315.000000,5087365030.000000,5176938608.000000,5168638411.000000,8300197.000000,5176938608.000000
12M 2022,30007170203.000000,-11421285657.000000,18585884546.000000,-10105228999.000000,-8474200619.000000,-1521879580.000000,-109148800.000000,-10105228999.000000,8480655547.000000,-6840271326.000000,-7095831028.000000,103779190.000000,,151780512.000000,-6840271326.000000,1640384221.000000,-750179255.000000,-750179255.000000,-750179255.000000,,890204966.000000,321131879.000000,1211336845.000000,890204966.000000,889850089.000000,354877.000000,890204966.000000,1211336845.000000,1266729512.000000,-55392667.000000,1211336845.000000
12M 2023,23589866267.000000,-7176959880.000000,16412906387.000000,-8196949310.000000,-6326083687.000000,-1870865623.000000,,-8196949310.000000,8215957077.000000,-6374279094.000000,-6939240121.000000,26358894.000000,,538602133.000000,-6374279094.000000,1841677983.000000,-589746657.000000,-589746657.000000,-589746657.000000,,1251931326.000000,42821034.000000,1294752360.000000,1251931326.000000,1250393910.000000,1537416.000000,1251931326.000000,1294752361.000000,1305558094.000000,-10805733.000000,1294752361.000000
