Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Tanah Untuk Dikembangkan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,6221081225.000000,64900571.000000,,64900571.000000,64900571.000000,247531948379.000000,46013099524.000000,299831029699.000000,,14444568067.000000,2288463592.000000,,,,,,,84598614217.000000,101331645876.000000,401162675575.000000,,,323022625413.000000,,25144548146.000000,25144548146.000000,,,1597917354.000000,1597917354.000000,3884830964.000000,291720381.000000,17935000000.000000,274168608568.000000,323022625413.000000,42739450621.000000,,,,,,35853719822.000000,35853719822.000000,6024256532.000000,861474267.000000,42739450621.000000,365762076034.000000,,100600000000.000000,-20605939793.000000,-45039317304.000000,,,-45039317304.000000,445856638.000000,,35400599541.000000,401162675575.000000,5030000000.000000
12M 2020,,,22608031288.000000,8859455577.000000,8655497520.000000,203958057.000000,8859455577.000000,189626661837.000000,101555567625.000000,322649716327.000000,,13679314922.000000,1806802124.000000,242700000000.000000,242700000000.000000,,242700000000.000000,6320323525.000000,,,264506440571.000000,587156156898.000000,,,205320026873.000000,29018887237.000000,,29018887237.000000,,14565088111.000000,10809542198.000000,25374630309.000000,650318775.000000,827001024.000000,32000000000.000000,117449189528.000000,205320026873.000000,43995183030.000000,,,,,,42810000000.000000,42810000000.000000,,1185183030.000000,43995183030.000000,249315209903.000000,,143540000000.000000,155403361841.000000,38441297809.000000,532475586.000000,37908822223.000000,38441297809.000000,456287345.000000,,337840946995.000000,587156156898.000000,7177000000.000000
12M 2021,,,67592972739.000000,10181127545.000000,8163635194.000000,2017492351.000000,10181127545.000000,162443487542.000000,333221967464.000000,573439555290.000000,,12914061777.000000,1517276626.000000,,,,,43362491935.000000,,,57793830338.000000,631233385628.000000,,,215090754047.000000,30249129688.000000,,30249129688.000000,,747733042.000000,32011034774.000000,32758767816.000000,771405741.000000,1267972852.000000,34688886704.000000,115354591246.000000,215090754047.000000,72835745978.000000,,,,,,71387300500.000000,71387300500.000000,,1448445478.000000,72835745978.000000,287926500025.000000,,143540007640.000000,154685723750.000000,44327566671.000000,532475586.000000,43795091085.000000,44327566671.000000,753587542.000000,,343306885603.000000,631233385628.000000,7177000000.000000
12M 2022,,,6874385712.000000,18945046233.000000,18945046233.000000,,18945046233.000000,159596765004.000000,390138494879.000000,575554691828.000000,,12148808632.000000,986040787.000000,,,,,71735979057.000000,,,84870828476.000000,660425520304.000000,,,252024807919.000000,10055720593.000000,,10055720593.000000,,645487011.000000,34030233374.000000,34675720385.000000,132945217.000000,,27175761126.000000,179984660598.000000,252024807919.000000,63855558417.000000,,,,,,62231531596.000000,62231531596.000000,,1624026821.000000,63855558417.000000,315880366336.000000,,143540007640.000000,154712655270.000000,45594296183.000000,532475586.000000,45061820597.000000,45594296183.000000,698194875.000000,,344545153968.000000,660425520304.000000,7177000000.000000
12M 2023,,,5691427129.000000,3603243076.000000,3603243076.000000,,3603243076.000000,136006898737.000000,1835226050.000000,147136794992.000000,,11383555487.000000,675727161.000000,1902699508.000000,1299199508.000000,603500000.000000,1902699508.000000,81549333390.000000,,404926289600.000000,500437605146.000000,647574400138.000000,,,243541510037.000000,,4402751319.000000,4402751319.000000,,,,,9585936.000000,,46334075234.000000,192795097548.000000,243541510037.000000,53129306931.000000,,,,,,52086703277.000000,52086703277.000000,,1042603654.000000,53129306931.000000,296670816968.000000,,148630616000.000000,154685723750.000000,46899854276.000000,532475586.000000,46367378690.000000,46899854276.000000,687389144.000000,,350903583170.000000,647574400138.000000,7177000000.000000
