Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Kontraktor,Pembayaran Kepada Karyawan,Pembayaran Kas Untuk Operasi Lainnya,Penerimaan Kas Untuk Operasi Lainnya,Pembayaran Kas Untuk Pajak Final,Penerimaan Kas Dari Penghasilan Keuangan,Pembayaran Kas Untuk Beban Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Lain-Lain Pihak Berelasi,Kenaikan Untuk Piutang Lain-Lain Pihak Berelasi,Piutang Lain-Lain Pihak Ketiga Jangka Panjang,Penambahan Tanah Untuk Dikembangkan,Perolehan Aset Tetap,Akuisisi Entitas Anak Dari Entitas Sepengendali,Pembayaran Uang Muka Pembelian Tanah,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Kenaikan Piutang Lain-Lain Pihak Berelasi,Penurunan Piutang Lain-Lain Pihak Berelasi,Penurunan Utang Lain-Lain Pihak Berelasi,Penurunan Piutang Lain-Lain Pihak Ketiga,Penurunan Utang Lain-Lain Pihak Ketiga,Kenaikan Utang Lain-Lain Jangka Panjang,Kenaikan Piutang Lain-Lain Jangka Panjang,Penurunan Piutang Lain-Lain Jangka Panjang,Kenaikan (Penurunan) Utang Kepada Pihak Berelasi,Penerimaan Setoran Modal Dari Pelaksanaan Waran,Penerimaan Setoran Modal,Penerimaan Setoran Modal Entitas Anak,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Dari Utang Kepada Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,23613701301.000000,124962469169.000000,-83399207234.000000,-3352880774.000000,-11905383918.000000,,-2812073928.000000,1254279895.000000,-1133501909.000000,,23613701301.000000,-93664877313.000000,,,,,-1271887252.000000,-7794375844.000000,-84598614217.000000,,-93664877313.000000,68655865417.000000,,,-29714564037.000000,,,,,,,,-317676069.000000,,86600000000.000000,,49300000000.000000,-37211894477.000000,,,68655865417.000000,-1395310595.000000,9213111830.000000,7817801235.000000
12M 2020,-13018815006.000000,183401698795.000000,-160884723834.000000,-3252002254.000000,-19938176020.000000,,-2353473891.000000,1277225706.000000,-11269363508.000000,,-13018815006.000000,-6657508365.000000,,,,-6320323525.000000,-87184850.000000,-249999990.000000,,,-6657508365.000000,34466553424.000000,,-3661295253.000000,-52562003876.000000,,,,,,-157851385783.000000,,8229677980.000000,,218994000000.000000,,53000000000.000000,-31682439644.000000,,,34466553424.000000,14790230053.000000,7817801235.000000,22608031288.000000
12M 2021,25929146056.000000,69787057553.000000,-26423029906.000000,-2003599645.000000,-4013754521.000000,,-1916793459.000000,1982470057.000000,-11483204023.000000,,25929146056.000000,165872314287.000000,,,242700000000.000000,-30487685713.000000,-340000000.000000,,-46000000000.000000,,165872314287.000000,-146816518892.000000,,,-11871632747.000000,,-14106355069.000000,,,,-180657631496.000000,,28263913216.000000,,,289000000.000000,55500000000.000000,-24233812796.000000,,,-146816518892.000000,44984941451.000000,22608031288.000000,67592972739.000000
12M 2022,42969392211.000000,88720043405.000000,-31614694752.000000,-2004204082.000000,-12708443943.000000,,,576691583.000000,,,42969392211.000000,-28398086274.000000,,,,-28398086274.000000,,,,,-28398086274.000000,-75289892964.000000,,,,,-102246031.000000,,,,-58545683971.000000,,,,,26931520.000000,,-16668894482.000000,,,-75289892964.000000,-60718587027.000000,67592972739.000000,6874385712.000000
12M 2023,-5473516398.000000,51757995886.000000,-12829929155.000000,1808360000.000000,-39338852678.000000,,-589746657.000000,151283912.000000,-6432627706.000000,,-5473516398.000000,-9813536334.000000,,,,-9813536334.000000,,,,,-9813536334.000000,14104094149.000000,,,,,,,,,,,,,5090608360.000000,,15000000000.000000,-5986514211.000000,,,14104094149.000000,-1182958583.000000,6874385712.000000,5691427129.000000
