Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Penerimaan Penghasilan Bunga, Bersih",Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pembayaran Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pemeliharaan Tanaman Perkebunan Belum Menghasilkan,Penerimaan Dari Pelepasan Aset Kebun,Penambahan Piutang Pihak Berelasi,Penerimaan Piutang Jangka Panjang,Penambahan Aset Biologis,Penambahan Aset Hewan,Penambahan Tanaman Perkebunan,Penambahan Perkebunan Plasma,Perolehan Hak Atas Tanah,Pembayaran Tambahan Untuk Akusisi Anak Perusahaan,Penerimaan Dari Pelepasan Entitas Anak,Penambahan Investasi Pada Pengendalian Bersama,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Penerimaan Dari Penawaran Umum Terbatas,Pembayaran Dividen Kas,Pembayaran Pinjaman Bank,Pembayaran Dividen Kas Kepada Pemegang Saham Non-Pengendali,Penerimaan Piutang Dari Pihak Hubungan Istimewa,Pembayaran Atas Akuisisi Saham Pihak Nonpengendali,Pembayaran Dividen Kas Kepada Pemegang Saham Minoritas,Penerimaan Dividen Kas Dari Ventura Bersama,Pembayaran Beban Keuangan,Pembayaran Biaya Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,2087429000000.000000,8155293000000.000000,101398000000.000000,-4658440000000.000000,-1285307000000.000000,-225515000000.000000,2087429000000.000000,-741123000000.000000,-547675000000.000000,-661912000000.000000,550970000000.000000,,,,,,-69821000000.000000,,-12685000000.000000,,,-741123000000.000000,-1576961000000.000000,,,-1535297000000.000000,-5000000000.000000,,9513000000.000000,,-45977000000.000000,,-200000000.000000,,-1576961000000.000000,-230655000000.000000,85559000000.000000,1012772000000.000000,867676000000.000000
12M 2009,1984894000000.000000,7411848000000.000000,47827000000.000000,-4052588000000.000000,-1034898000000.000000,-387295000000.000000,1984894000000.000000,-1293490000000.000000,-520988000000.000000,-756526000000.000000,,,,,,,-6476000000.000000,,-9500000000.000000,,,-1293490000000.000000,-666117000000.000000,132375000000.000000,,-590452000000.000000,-132198000000.000000,,,,-49079000000.000000,,-26763000000.000000,,-666117000000.000000,25287000000.000000,-104414000000.000000,867676000000.000000,788549000000.000000
12M 2010,2946657000000.000000,8999345000000.000000,29284000000.000000,-4911353000000.000000,-782951000000.000000,-387668000000.000000,2946657000000.000000,-1390878000000.000000,-685609000000.000000,-791507000000.000000,,,,,,-58991000000.000000,,,,145229000000.000000,,-1390878000000.000000,-1083520000000.000000,,,-1031290000000.000000,,,,,-41553000000.000000,,-10677000000.000000,,-1083520000000.000000,472259000000.000000,-20027000000.000000,788549000000.000000,1240781000000.000000
12M 2011,3162475000000.000000,10945042000000.000000,68965000000.000000,-6680451000000.000000,-810114000000.000000,-360967000000.000000,3162475000000.000000,-2026977000000.000000,-1086293000000.000000,,,,,,,-800771000000.000000,-81385000000.000000,-64141000000.000000,,5613000000.000000,,-2026977000000.000000,-1537968000000.000000,,,-1480146000000.000000,,-52028000000.000000,,,,,,-5794000000.000000,-1537968000000.000000,-402470000000.000000,-121000000.000000,1240781000000.000000,838190000000.000000
12M 2012,2609511000000.000000,11599252000000.000000,16315000000.000000,-7343681000000.000000,-1166646000000.000000,-495729000000.000000,2609511000000.000000,-2630545000000.000000,-1775489000000.000000,,,,,,,-824417000000.000000,-30639000000.000000,,,,,-2630545000000.000000,-593915000000.000000,960640000000.000000,,-1456422000000.000000,,-57762000000.000000,,,,,,-40371000000.000000,-593915000000.000000,-614949000000.000000,4528000000.000000,838190000000.000000,227769000000.000000
12M 2013,3156531000000.000000,12647946000000.000000,10388000000.000000,-7776496000000.000000,-1070115000000.000000,-655192000000.000000,3156531000000.000000,-2869835000000.000000,-2171006000000.000000,,,,,,,-685019000000.000000,-5428000000.000000,,,,-8382000000.000000,-2869835000000.000000,178607000000.000000,1551655000000.000000,,-968359000000.000000,-264860000000.000000,-65334000000.000000,,,,,,-74495000000.000000,178607000000.000000,465303000000.000000,16018000000.000000,227769000000.000000,709090000000.000000
12M 2014,3022020000000.000000,16084254000000.000000,18649000000.000000,-11460160000000.000000,-985348000000.000000,-635375000000.000000,3022020000000.000000,-3586952000000.000000,-2306915000000.000000,,,,,,,-971311000000.000000,,,-308726000000.000000,,,-3586952000000.000000,448912000000.000000,2126881000000.000000,,-943165000000.000000,-570618000000.000000,-71746000000.000000,,,,,,-92440000000.000000,448912000000.000000,-116020000000.000000,18111000000.000000,709090000000.000000,611181000000.000000
12M 2015,1027773000000.000000,13177433000000.000000,23983000000.000000,-10177262000000.000000,-1153162000000.000000,-843219000000.000000,1027773000000.000000,-3119463000000.000000,-1612088000000.000000,,,,,,,-974246000000.000000,,-458129000000.000000,,,-75000000000.000000,-3119463000000.000000,1771196000000.000000,4723275000000.000000,,-743196000000.000000,-2013341000000.000000,-81114000000.000000,,,,,,-114428000000.000000,1771196000000.000000,-320494000000.000000,3754000000.000000,611181000000.000000,294441000000.000000
12M 2016,2511823000000.000000,13756286000000.000000,22740000000.000000,-10021060000000.000000,-797543000000.000000,-448600000000.000000,2511823000000.000000,-2395413000000.000000,-1533609000000.000000,,,,,,-45497000000.000000,-751206000000.000000,,-65101000000.000000,,,,-2395413000000.000000,116463000000.000000,1285340000000.000000,3970363000000.000000,-190527000000.000000,-4735648000000.000000,-64911000000.000000,,,,,,-148154000000.000000,116463000000.000000,232873000000.000000,4269000000.000000,294441000000.000000,531583000000.000000
12M 2017,2841822000000.000000,17018349000000.000000,24442000000.000000,-12744315000000.000000,-933423000000.000000,-523231000000.000000,2841822000000.000000,-1753504000000.000000,-1038890000000.000000,,,,,,-90819000000.000000,-623795000000.000000,,,,,,-1753504000000.000000,-1361618000000.000000,5020750000000.000000,,-996896000000.000000,-5176759000000.000000,-76070000000.000000,,-48000000000.000000,,,,-84643000000.000000,-1361618000000.000000,-273300000000.000000,4009000000.000000,531583000000.000000,262292000000.000000
