Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,8161217000000.000000,-4357818000000.000000,3803399000000.000000,-426055000000.000000,-161273000000.000000,-264782000000.000000,-426055000000.000000,3377344000000.000000,572091000000.000000,-179000000.000000,,78310000000.000000,129424000000.000000,364536000000.000000,572091000000.000000,3949435000000.000000,-1233917000000.000000,2715518000000.000000,-84499000000.000000,2631019000000.000000,,,,,2631019000000.000000,2715518000000.000000,-84499000000.000000,2631019000000.000000,,,,
12M 2009,7424283000000.000000,-4322498000000.000000,3101785000000.000000,-491567000000.000000,-173305000000.000000,-318262000000.000000,-491567000000.000000,2610218000000.000000,-109792000000.000000,-30617000000.000000,,-111154000000.000000,58024000000.000000,-26045000000.000000,-109792000000.000000,2500426000000.000000,-770778000000.000000,1729648000000.000000,-68999000000.000000,1660649000000.000000,,,,,1660649000000.000000,1729648000000.000000,-68999000000.000000,1660649000000.000000,,,,
12M 2010,8843721000000.000000,-5234372000000.000000,3609349000000.000000,-610638000000.000000,-206527000000.000000,-404111000000.000000,-610638000000.000000,2998711000000.000000,-34671000000.000000,-8258000000.000000,,-27964000000.000000,39263000000.000000,-37712000000.000000,-34671000000.000000,2964040000000.000000,-860388000000.000000,2103652000000.000000,-86872000000.000000,2016780000000.000000,,,,,2016780000000.000000,2103652000000.000000,-86872000000.000000,2016780000000.000000,,,,
12M 2011,10772582000000.000000,-6837674000000.000000,3934908000000.000000,-739247000000.000000,-291269000000.000000,-447978000000.000000,-739247000000.000000,3195661000000.000000,137271000000.000000,-5806000000.000000,,433000000.000000,93433000000.000000,49211000000.000000,137271000000.000000,3332932000000.000000,-834367000000.000000,,,2498565000000.000000,,,,2498565000000.000000,2498565000000.000000,2405564000000.000000,93001000000.000000,2498565000000.000000,2498565000000.000000,2405564000000.000000,93001000000.000000,2498565000000.000000
12M 2012,11564319000000.000000,-7206837000000.000000,4357482000000.000000,-903753000000.000000,-381451000000.000000,-522302000000.000000,-903753000000.000000,3453729000000.000000,71164000000.000000,-29196000000.000000,,-826000000.000000,22016000000.000000,79170000000.000000,71164000000.000000,3524893000000.000000,-1004627000000.000000,,,2520266000000.000000,-66612000000.000000,-66612000000.000000,-66612000000.000000,2453654000000.000000,2520266000000.000000,2410259000000.000000,110007000000.000000,2520266000000.000000,2453654000000.000000,2346203000000.000000,107451000000.000000,2453654000000.000000
12M 2013,12674999000000.000000,-8593064000000.000000,4081935000000.000000,-1077389000000.000000,-586042000000.000000,-491347000000.000000,-1077389000000.000000,3004546000000.000000,-399475000000.000000,-443782000000.000000,,-72414000000.000000,18028000000.000000,98693000000.000000,-399475000000.000000,2605071000000.000000,-701983000000.000000,,,1903088000000.000000,33162000000.000000,33162000000.000000,33162000000.000000,1936250000000.000000,1903088000000.000000,1801397000000.000000,101691000000.000000,1903088000000.000000,1936250000000.000000,1833891000000.000000,102359000000.000000,1936250000000.000000
12M 2014,16305831000000.000000,-11354037000000.000000,4951794000000.000000,-1229434000000.000000,-546886000000.000000,-682548000000.000000,-1229434000000.000000,3722360000000.000000,-32370000000.000000,-96080000000.000000,20831000000.000000,-126680000000.000000,23016000000.000000,146543000000.000000,-32370000000.000000,3689990000000.000000,-1068715000000.000000,,,2621275000000.000000,-36630000000.000000,-36630000000.000000,-36630000000.000000,2584645000000.000000,2621275000000.000000,2503695000000.000000,117580000000.000000,2621275000000.000000,2584645000000.000000,2468076000000.000000,116569000000.000000,2584645000000.000000
12M 2015,13059216000000.000000,-9977118000000.000000,3082098000000.000000,-1228945000000.000000,-537533000000.000000,-691412000000.000000,-1228945000000.000000,1853153000000.000000,-677640000000.000000,-125509000000.000000,5002000000.000000,-580368000000.000000,27776000000.000000,-4541000000.000000,-677640000000.000000,1175513000000.000000,-479829000000.000000,,,695684000000.000000,-6281000000.000000,-6281000000.000000,-6281000000.000000,689403000000.000000,695684000000.000000,619107000000.000000,76577000000.000000,695684000000.000000,689403000000.000000,612292000000.000000,77111000000.000000,689403000000.000000
12M 2016,14121374000000.000000,-10445360000000.000000,3676014000000.000000,-1017406000000.000000,-340780000000.000000,-676626000000.000000,-1017406000000.000000,2658608000000.000000,-449830000000.000000,-144873000000.000000,-12528000000.000000,200613000000.000000,25588000000.000000,-518630000000.000000,-449830000000.000000,2208778000000.000000,-94479000000.000000,,,2114299000000.000000,65488000000.000000,65488000000.000000,65488000000.000000,2179787000000.000000,2114299000000.000000,2006973000000.000000,107326000000.000000,2114299000000.000000,2179787000000.000000,2070649000000.000000,109138000000.000000,2179787000000.000000
12M 2017,17305688000000.000000,-13160438000000.000000,4145250000000.000000,-1094351000000.000000,-337933000000.000000,-756418000000.000000,-1094351000000.000000,3050899000000.000000,-112394000000.000000,-132446000000.000000,-83652000000.000000,4912000000.000000,24005000000.000000,74787000000.000000,-112394000000.000000,2938505000000.000000,-824876000000.000000,,,2113629000000.000000,-49614000000.000000,-49614000000.000000,-49614000000.000000,2064015000000.000000,2113629000000.000000,2010332000000.000000,103297000000.000000,2113629000000.000000,2064015000000.000000,1961092000000.000000,102923000000.000000,2064015000000.000000
