Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.48,3274.34,3.54,3227.37,,,,(868 B),959 B
12M 2009,6.70,3953.89,6.77,3914.80,,,,(789 B),775 B
12M 2010,6.66,4579.59,6.71,4545.73,,,,"(1,241 B)",989 B
12M 2011,4.89,5168.85,4.92,5133.32,,,,(838 B),446 B
12M 2012,4.00,5733.74,4.03,5698.21,972 B,,972 B,744 B,(820 B)
12M 2013,4.65,6283.30,4.68,6247.77,"2,152 B",571 B,"2,723 B","2,014 B","(2,068 B)"
12M 2014,3.89,7251.59,3.91,7216.06,"2,299 B","2,128 B","4,427 B","3,816 B","(1,707 B)"
12M 2015,2.58,7166.12,2.59,7130.59,"2,025 B","5,708 B","7,733 B","7,438 B",(708 B)
12M 2016,1.88,8902.89,1.89,8873.82,"1,985 B","2,116 B","4,101 B","3,569 B",109 B
12M 2017,1.40,9386.43,1.41,9357.36,600 B,"3,369 B","3,969 B","3,707 B","1,936 B"
12M 2018,1.20,9866.34,1.20,9837.27,"1,125 B","3,606 B","4,731 B","4,682 B","1,424 B"
12M 2019,1.51,9622.94,1.52,9593.87,150 B,"5,535 B","5,685 B","5,302 B","2,905 B"
12M 2020,1.26,9743.13,1.27,9714.06,,"5,624 B","5,624 B","4,645 B","4,145 B"
12M 2021,0.89,10713.00,0.89,10683.93,"3,564 B","2,132 B","5,696 B","1,800 B","3,454 B"
12M 2022,0.71,11266.26,0.71,11237.19,5 B,"4,049 B","4,054 B","2,434 B","5,338 B"
12M 2023,0.61,11438.76,0.62,11409.69,"2,315 B","1,690 B","4,005 B","1,916 B","3,236 B"
12M 2024,0.53,11763.94,0.53,11734.87,"1,690 B","1,500 B","3,190 B",(46 B),"5,196 B"
