Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,110911001227.000000,-78533801082.000000,32377200145.000000,-15337477895.000000,-1879452250.000000,-13458025645.000000,,-15337477895.000000,17039722250.000000,-2749141120.000000,-3259890361.000000,1451188475.000000,-294855161.000000,,-645584073.000000,-2749141120.000000,14290581130.000000,-3568825128.000000,-4637657600.000000,1068832472.000000,,-3568825128.000000,10721756002.000000,,10721756002.000000,,,,,,10721756002.000000,10721756002.000000,,10721756002.000000,,,,,
12M 2009,143609421801.000000,-118216202109.000000,25393219692.000000,-20082298731.000000,-8806954883.000000,-11275343848.000000,,-20082298731.000000,5310920961.000000,-3223650491.000000,-3612309163.000000,296906318.000000,1484000.000000,,90268354.000000,-3223650491.000000,2087270470.000000,-523724211.000000,-404409237.000000,-119314974.000000,,-523724211.000000,1563546259.000000,-4185595.000000,1559360664.000000,,,,,,1559360664.000000,1563546259.000000,-4185595.000000,1559360664.000000,,,,,
12M 2010,144361452874.000000,-113905948658.000000,30455504216.000000,-26205713816.000000,-14674646210.000000,-11531067606.000000,,-26205713816.000000,4249790400.000000,-1310931769.000000,-1607767959.000000,13496047.000000,15287661.000000,,268052482.000000,-1310931769.000000,2938858631.000000,-1231133295.000000,-915512500.000000,-315620795.000000,,-1231133295.000000,1707725336.000000,-18906837.000000,1688818499.000000,,,,,,1688818499.000000,1707725336.000000,-18906837.000000,1688818499.000000,,,,,
12M 2011,102458374249.000000,-78247969789.000000,24210404460.000000,-31034787422.000000,-11110466837.000000,-20153515259.000000,229194674.000000,-31034787422.000000,-6824382962.000000,-2574314552.000000,-2697899364.000000,8458706.000000,115126106.000000,,,-2574314552.000000,-9398697514.000000,2006852899.000000,-148299000.000000,2155151899.000000,,2006852899.000000,-7391844615.000000,,-7391844615.000000,,,,,-7391844615.000000,-7391844615.000000,-7392419632.000000,575017.000000,-7391844615.000000,-7391844615.000000,-7392419632.000000,575017.000000,,-7391844615.000000
12M 2012,31871477604.000000,-45835727360.000000,-13964249756.000000,-10669987776.000000,-1482252900.000000,-9187734876.000000,,-10669987776.000000,-24634237532.000000,-122093503.000000,-155201576.000000,2192555.000000,843976.000000,,30071542.000000,-122093503.000000,-24756331035.000000,4184934758.000000,-285208250.000000,4470143008.000000,,4184934758.000000,-20571396277.000000,,-20571396277.000000,,,,,-20571396277.000000,-20571396277.000000,-20578555007.000000,7158730.000000,-20571396277.000000,-20571396277.000000,-20578555007.000000,7158730.000000,,-20571396277.000000
12M 2013,11803937466.000000,-46155072931.000000,-34351135465.000000,-11812793826.000000,-2549875891.000000,-9262917935.000000,,-11812793826.000000,-46163929291.000000,-144319011.000000,-855370.000000,28973816.000000,5218609.000000,-116289259.000000,-61366807.000000,-144319011.000000,-46308248302.000000,9740366117.000000,,9740366117.000000,,9740366117.000000,-36567882185.000000,,-36567882185.000000,17429390.000000,34858779.000000,-17429389.000000,17429390.000000,-36550452795.000000,-36567882185.000000,-36567882185.000000,,-36567882185.000000,-36550452795.000000,-36532182656.000000,-840749.000000,-17429390.000000,-36550452795.000000
12M 2014,7367640365.000000,-4250664145.000000,3116976220.000000,-10232518076.000000,-2633356300.000000,-7601846076.000000,2684300.000000,-10232518076.000000,-7115541856.000000,-37068221.000000,-37068221.000000,,,,,-37068221.000000,-7152610077.000000,-15946481552.000000,,,,-15946481552.000000,-23099091629.000000,,-23099091629.000000,-17429389.000000,,-17429389.000000,-17429389.000000,-23116521018.000000,-23099091629.000000,-23099091629.000000,,-23099091629.000000,-23116521019.000000,-23113089515.000000,-3431504.000000,,-23116521019.000000
12M 2015,7154576929.000000,-4766358242.000000,2388218687.000000,-10602553757.000000,-2307937148.000000,-8296036878.000000,1420269.000000,-10602553757.000000,-8214335070.000000,-91513515.000000,-91513515.000000,,,,,-91513515.000000,-8305848585.000000,131117485.000000,,,,131117485.000000,-8174731100.000000,,-8174731100.000000,-89745821.000000,,-89745821.000000,-89745821.000000,-8264476921.000000,-8174731100.000000,-8171671513.000000,-3059587.000000,-8174731100.000000,-8264476921.000000,-8261417334.000000,-3059587.000000,,-8264476921.000000
12M 2016,478905970.000000,-95796120.000000,383109850.000000,-7448445238.000000,-45950400.000000,-7399115224.000000,-3379614.000000,-7448445238.000000,-7065335388.000000,,,,,,,,-7065335388.000000,-76069146.000000,,,,-76069146.000000,-7141404534.000000,,-7141404534.000000,921781146.000000,,921781146.000000,921781146.000000,-6219623388.000000,-7141404534.000000,-7139349375.000000,-2055159.000000,-7141404534.000000,-6219623388.000000,-6217568229.000000,-2055159.000000,,-6219623388.000000
12M 2017,13855133512.000000,-9014690176.000000,4840443336.000000,-14669400266.000000,-1217468800.000000,-13095799443.000000,-356132023.000000,-14669400266.000000,-9828956930.000000,,,,,,,,-9828956930.000000,-181137704.000000,,,,-181137704.000000,-10010094634.000000,,-10010094634.000000,-10631416.000000,,-10631416.000000,-10631416.000000,-10020726050.000000,-10010094634.000000,-10007472083.000000,-2622551.000000,-10010094634.000000,-10020726050.000000,-10018103499.000000,-2622551.000000,,-10020726050.000000
12M 2018,3934382336.000000,-2557348518.000000,1377033818.000000,-5080656104.000000,-118458475.000000,-4936276271.000000,-25921358.000000,-5080656104.000000,-3703622286.000000,,,,,,,,-3703622286.000000,867257693.000000,,,,867257693.000000,-2836364593.000000,,-2836364593.000000,-162158169.000000,,,-162158169.000000,-2998522762.000000,-2836364593.000000,-2834336623.000000,-2027970.000000,-2836364593.000000,-2998522762.000000,-2996494792.000000,-2027970.000000,,-2998522762.000000
12M 2019,261990000.000000,-146567933.000000,115422067.000000,-2647868897.000000,,-2647868897.000000,,-2647868897.000000,-2532446830.000000,,,,,,,,-2532446830.000000,,,,,,-2532446830.000000,,-2532446830.000000,,,,,-2532446830.000000,-2532446830.000000,-2532446830.000000,,-2532446830.000000,-2532446830.000000,-2532446830.000000,,,-2532446830.000000
12M 2020,6175945533.000000,-4928878979.000000,1247066554.000000,-6976810462.000000,,-6311507751.000000,-665302711.000000,-6976810462.000000,-5729743908.000000,,,,,,,,-5729743908.000000,146511227.000000,,146511227.000000,,146511227.000000,-5583232681.000000,,-5583232681.000000,,,,,-5583232681.000000,-5583232681.000000,-5491628716.000000,-91603965.000000,-5583232681.000000,-5583232681.000000,-5491628716.000000,-91603965.000000,,-5583232681.000000
