Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Adjustment,Pembayaran Beban Usaha,Pembayaran Beban (Biaya) Bunga,Pembayaran Pajak Penghasilan Dan Pajak Pertambahan Nilai,Penerimaan (Pembayaran) Piutang Usaha,Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan (Pembayaran) Aset Lain - Lain,Penerimaan (Pembayaran) Hutang Lain-Lain,Penghasilan Bunga,Penerimaan (Pembayaran) Lainnya,Beban Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Sewa,Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Bank,Pembayaran Pada Pihak Berelasi,Pembayaran Sewa,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Hutang Pembiayaan Kendaraan,Selisih Transaksi Entitas Sepengendali,Investasi,Penerimaan Dari Penawaran Umum Saham,Biaya Emisi Efek Ekuitas,Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-94088995329.000000,95528765449.000000,-170417867876.000000,-3200253332.000000,,-15093258032.000000,-3030753345.000000,-4173679336.000000,,-6190700.000000,2823390200.000000,,1451188475.000000,2029663168.000000,,,-94088995329.000000,-27558177750.000000,61372800.000000,-27619550550.000000,,,-27558177750.000000,132097807661.000000,19699522318.000000,,,-675351885.000000,445237228.000000,,,120000000000.000000,-7371600000.000000,,132097807661.000000,10450634582.000000,649308215.000000,11099942797.000000
12M 2009,21044979444.000000,143387915605.000000,-97412459286.000000,-3618946070.000000,,-18496827773.000000,-3612309163.000000,-4258301912.000000,,-74835000.000000,650000000.000000,,296906318.000000,4183836725.000000,,,21044979444.000000,-12833080938.000000,,-12833080938.000000,,,-12833080938.000000,-18339387903.000000,-17532296626.000000,,,-564012958.000000,-243078319.000000,,,,,,-18339387903.000000,-10127489397.000000,11099942797.000000,972453400.000000
12M 2010,415684578.000000,166754677884.000000,-131873907829.000000,-3038882200.000000,,-18550963020.000000,-1607767959.000000,-6913947535.000000,,-4650360953.000000,,,13496047.000000,283340143.000000,,,415684578.000000,-661162000.000000,,-661162000.000000,,,-661162000.000000,1548386500.000000,3360720291.000000,,,-1566162181.000000,-246171610.000000,,,,,,1548386500.000000,1302909078.000000,972453400.000000,2275362478.000000
12M 2011,12061606770.000000,109980987275.000000,-79628119789.000000,-3208185983.000000,,-13582041873.000000,-2697899364.000000,-3506647829.000000,,4710360953.000000,,,8458706.000000,-15305326.000000,,,12061606770.000000,436600000.000000,500000000.000000,-63400000.000000,,,436600000.000000,-14685051368.000000,-14402341051.000000,,,-255406450.000000,-27303867.000000,,,,,,-14685051368.000000,-2186844598.000000,2275362478.000000,88517880.000000
12M 2012,6681592093.000000,47121412599.000000,-10524478141.000000,-3418738493.000000,,-12431436547.000000,-155201576.000000,-305658499.000000,,-13737452102.000000,,,2192555.000000,30915518.000000,,100036779.000000,6681592093.000000,,,,,,,3957113130.000000,,4243168354.000000,,-286055224.000000,,,,,,,3957113130.000000,10638705223.000000,88517880.000000,10727223103.000000
12M 2013,4129638193.000000,13520831321.000000,-9454355815.000000,2921138640.000000,,-12254126703.000000,,-47414627.000000,,9468173648.000000,,,855370.000000,-25463641.000000,,,4129638193.000000,,,,,,,,,,,,,,,,,,,4129638193.000000,10727223103.000000,14856861296.000000
12M 2014,-5797158331.000000,22692022820.000000,-16385190427.000000,-3106903000.000000,,-8165510942.000000,,-64129096.000000,,-770059933.000000,,,2684300.000000,-72053.000000,,,-5797158331.000000,,,,,,,,,,,,,,,,,,,-5797158331.000000,14856861296.000000,9059702965.000000
12M 2015,328092576.000000,17214858756.000000,-2135129936.000000,-3854234330.000000,,-11596243027.000000,,61212376.000000,,1059798140.000000,,-335580717.000000,1420269.000000,-88008955.000000,,,328092576.000000,,,,,,,,,,,,,,,,,,,328092576.000000,9059702965.000000,9387795541.000000
12M 2016,-1758521838.000000,4932428879.000000,53417460.000000,-3232536040.000000,,-5049756492.000000,,-3607030.000000,,1544659009.000000,,,,-3127624.000000,,,-1758521838.000000,,,,,,,,,,,,,,,,,,,-1758521838.000000,9387795541.000000,7629273703.000000
12M 2017,2176892141.000000,11698586765.000000,-76369450.000000,-3372377500.000000,,-4851164334.000000,,-26110397.000000,,-1223762262.000000,,,2117308.000000,25972011.000000,,,2176892141.000000,,,,,,,,,,,,,,,,,,,2176892141.000000,7629273703.000000,9806165844.000000
