Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.01,199.18,3.01,199.18,29 B,9 B,38 B,27 B,192 B
12M 2009,0.57,200.48,0.57,200.48,12 B,8 B,20 B,19 B,185 B
12M 2010,0.32,200.17,0.32,200.17,16 B,6 B,22 B,19 B,187 B
12M 2011,0.32,194.01,0.32,194.01,0 B,8 B,8 B,8 B,183 B
12M 2012,0.49,176.86,0.49,176.86,0 B,7 B,8 B,(3 B),161 B
12M 2013,0.77,146.40,0.77,146.40,,7 B,7 B,(7 B),118 B
12M 2014,0.44,127.14,0.44,127.14,,7 B,7 B,(2 B),114 B
12M 2015,0.42,120.13,0.42,120.13,,7 B,7 B,(2 B),108 B
12M 2016,0.43,114.95,0.43,114.95,,7 B,7 B,(0 B),104 B
12M 2017,0.47,106.60,0.47,106.60,,4 B,4 B,(6 B),93 B
12M 2018,0.48,104.37,0.48,104.37,,4 B,4 B,(8 B),92 B
12M 2019,0.49,102.28,0.49,102.28,,3 B,3 B,(10 B),91 B
12M 2020,0.56,89.55,0.56,89.55,,2 B,2 B,(3 B),69 B
