Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,11099942797.000000,69155864424.000000,69155864424.000000,,69155864424.000000,45165000.000000,,,45165000.000000,141324826765.000000,,10528253453.000000,232154052439.000000,,1305681993.000000,54925328352.000000,650000000.000000,56881010345.000000,289035062784.000000,,,39774913529.000000,28573917386.000000,891563918.000000,,8821186948.000000,896928452.000000,,564012958.000000,27303867.000000,,591316825.000000,,,39774913529.000000,10243624440.000000,,8826747056.000000,489249929.000000,,9315996985.000000,927627455.000000,10243624440.000000,50018537969.000000,,120000000000.000000,82628400000.000000,36388124815.000000,36388124815.000000,36388124815.000000,,,239016524815.000000,,289035062784.000000,1200000000.000000
12M 2009,,,972453400.000000,71792346091.000000,71792346091.000000,,71792346091.000000,120000000.000000,,,120000000.000000,120107985042.000000,,12384652459.000000,205377436992.000000,,1186367019.000000,64012968688.000000,,65199335707.000000,270576772699.000000,,,20132839051.000000,11041620760.000000,670057723.000000,,4753125335.000000,3024883056.000000,,429854399.000000,213297778.000000,,643152177.000000,,,20132839051.000000,9858362574.000000,,8396892657.000000,60177699.000000,,8457070356.000000,1401292218.000000,9858362574.000000,29991201625.000000,,120000000000.000000,82628400000.000000,37947485479.000000,37947485479.000000,37947485479.000000,9685595.000000,,240585571074.000000,,270576772699.000000,1200000000.000000
12M 2010,,,2275362478.000000,101017809993.000000,95424531993.000000,5593278000.000000,101017809993.000000,4770360953.000000,,,4770360953.000000,138591797214.000000,,16513334119.000000,263168664757.000000,,870746224.000000,60631802660.000000,,61502548884.000000,324671213641.000000,,,76552827178.000000,14402341051.000000,6764762534.000000,,814690300.000000,1684304333.000000,,1240736181.000000,27303867.000000,,1268040048.000000,,51618688912.000000,76552827178.000000,7885090053.000000,,6019848694.000000,,,6019848694.000000,1865241359.000000,7885090053.000000,84437917231.000000,,120000000000.000000,82628400000.000000,37576303978.000000,37576303978.000000,37576303978.000000,28592432.000000,,240233296410.000000,,324671213641.000000,1200000000.000000
12M 2011,,,88517880.000000,40139558478.000000,36751695433.000000,3387863045.000000,40139558478.000000,60000000.000000,,,60000000.000000,133011030348.000000,,13777152907.000000,187076259613.000000,,3025898123.000000,56563126651.000000,,59589024774.000000,246665284387.000000,,,3893117784.000000,,3362473836.000000,,81786253.000000,,,286055224.000000,,,286055224.000000,,162802471.000000,3893117784.000000,9930714808.000000,,7731817908.000000,,,7731817908.000000,2198896900.000000,9930714808.000000,13823832592.000000,,120000000000.000000,82628400000.000000,30183884346.000000,30183884346.000000,30183884346.000000,29167449.000000,,232841451795.000000,,246665284387.000000,1200000000.000000
12M 2012,,,10727223103.000000,29132791837.000000,21501760438.000000,7631031399.000000,29132791837.000000,13797452102.000000,,,13797452102.000000,108898461511.000000,,686050064.000000,163241978617.000000,,7496041132.000000,53150178831.000000,,60646219963.000000,223888198580.000000,,,2396604090.000000,,1061154217.000000,,61336004.000000,518452988.000000,,307886330.000000,,,307886330.000000,,447774551.000000,2396604090.000000,9221538970.000000,,7389271915.000000,,,7389271915.000000,1832267055.000000,9221538970.000000,11618143060.000000,,120000000000.000000,82628400000.000000,9605329339.000000,9605329339.000000,9605329339.000000,36326179.000000,,212270055518.000000,,223888198578.000000,1200000000.000000
12M 2013,,,14856861296.000000,29375052173.000000,15152797599.000000,14222254574.000000,29375052173.000000,4329278453.000000,,,4329278453.000000,67617917000.000000,,2109137253.000000,118288246175.000000,,17242217046.000000,50402927594.000000,,67645144640.000000,185933390815.000000,,,748074307.000000,,315393273.000000,,13921380.000000,,,,,,,,418759654.000000,748074307.000000,9465713785.000000,,7389271915.000000,,,7389271915.000000,2076441870.000000,9465713785.000000,10213788092.000000,,120000000000.000000,82628400000.000000,-26944282707.000000,-26944282707.000000,-26944282707.000000,35485430.000000,,175719602723.000000,,185933390815.000000,1200000000.000000
12M 2014,,,9059702965.000000,20023738524.000000,15669438179.000000,4354300345.000000,20023738524.000000,5099338386.000000,,,5099338386.000000,79613419045.000000,,182112993.000000,113978311913.000000,,1289925697.000000,47781463019.000000,,49071388716.000000,163049700629.000000,,,478280410.000000,,176369036.000000,,73560876.000000,4489600.000000,,,,,,,223860898.000000,478280410.000000,9968338515.000000,,7389271915.000000,,,7389271915.000000,2579066600.000000,9968338515.000000,10446618925.000000,,120000000000.000000,82628400000.000000,-50057372222.000000,-50057372222.000000,-50057372222.000000,32053926.000000,,152603081704.000000,,163049700629.000000,1200000000.000000
12M 2015,,,9387795541.000000,17131530516.000000,12107903743.000000,5023626773.000000,17131530516.000000,5519725373.000000,,,5519725373.000000,76805821703.000000,,180302952.000000,109025176085.000000,,1331852035.000000,45186408068.000000,,46518260103.000000,155543436188.000000,,,677057859.000000,,,,12348500.000000,301118074.000000,,,,,,,363591285.000000,677057859.000000,10682029934.000000,,7389271915.000000,,,7389271915.000000,3292758019.000000,10682029934.000000,11359087793.000000,,120000000000.000000,82628400000.000000,-58581307513.000000,-58581307513.000000,-58581307513.000000,28994339.000000,108261569.000000,144184348395.000000,,155543436188.000000,1200000000.000000
12M 2016,,,7629273703.000000,15068125591.000000,10138432984.000000,4929692607.000000,15068125591.000000,5234343917.000000,,,5234343917.000000,76732725583.000000,,187528966.000000,104851997760.000000,,948522507.000000,42677815993.000000,,43626338500.000000,148478336260.000000,,,503063915.000000,,76369450.000000,,15955530.000000,145000000.000000,,,,,,,265738935.000000,503063915.000000,10010547338.000000,,7389271915.000000,,,7389271915.000000,2621275423.000000,10010547338.000000,10513611253.000000,,120000000000.000000,82628400000.000000,-65720656888.000000,-65720656888.000000,-65720656888.000000,26939180.000000,1030042715.000000,137964725007.000000,,148478336260.000000,1200000000.000000
12M 2017,,,9806165844.000000,8602280510.000000,8602280510.000000,,8602280510.000000,10801295438.000000,,,10801295438.000000,64469245407.000000,,143559238.000000,93822546437.000000,,763840997.000000,40175786418.000000,,40939627415.000000,134762173852.000000,,,482515135.000000,,,,182047062.000000,300468073.000000,,,,,,,,482515135.000000,6335659761.000000,,4227691994.000000,,,4227691994.000000,2107967767.000000,6335659761.000000,6818174896.000000,,120000000000.000000,82628400000.000000,-75728128971.000000,-75728128971.000000,-75728128971.000000,24316629.000000,1019411298.000000,127943998956.000000,,134762173852.000000,1200000000.000000
