Period,Total Pendapatan,Komisi Dari Transaksi Perantara Pedagang Efek,Jasa Kegiatan Manager Investasi,Pendapatan Bunga,Keuntungan Atas Perdagangan Efek,Jasa Penjaminan Emisi Dan Penjualan Efek,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Penjualan,Beban Pemasaran,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,342279790000.000000,128784538000.000000,63490053000.000000,91206589000.000000,42394883000.000000,15072235000.000000,1331492000.000000,342279790000.000000,-188195765000.000000,-130652947000.000000,-14555515000.000000,,-6453597000.000000,-36533706000.000000,-188195765000.000000,154084025000.000000,-30749574000.000000,12204245000.000000,,12204245000.000000,611400000.000000,221130000.000000,,-37789161000.000000,-5997188000.000000,-30749574000.000000,123334451000.000000,-27615478000.000000,95718973000.000000,,,95718973000.000000,95718973000.000000,,95718973000.000000,,,,
12M 2008,288878328000.000000,101846395000.000000,62172944000.000000,101938887000.000000,-11772601000.000000,32767709000.000000,1924994000.000000,288878328000.000000,-193351656000.000000,-104672050000.000000,-18105793000.000000,,-7885506000.000000,-62688307000.000000,-193351656000.000000,95526672000.000000,-50020516000.000000,18292700000.000000,,18292700000.000000,236881000.000000,3485806000.000000,,-71419328000.000000,-616575000.000000,-50020516000.000000,45506156000.000000,-14223192000.000000,31282964000.000000,,,31282964000.000000,31282964000.000000,,31282964000.000000,,,,
12M 2009,188511220000.000000,87098656000.000000,45995722000.000000,33389722000.000000,5721699000.000000,14082332000.000000,2223089000.000000,188511220000.000000,-150609369000.000000,-82040547000.000000,-7778510000.000000,,-7422805000.000000,-53367507000.000000,-150609369000.000000,37901851000.000000,-11651460000.000000,19063569000.000000,,19063569000.000000,198933000.000000,-1311912000.000000,,-28971391000.000000,-630659000.000000,-11651460000.000000,26250391000.000000,-5063398000.000000,21186993000.000000,,,21186993000.000000,21186993000.000000,,21186993000.000000,,,,
12M 2010,171652603000.000000,73720362000.000000,52450264000.000000,28979801000.000000,8446058000.000000,5664233000.000000,2391885000.000000,171652603000.000000,-152669296000.000000,-89330453000.000000,-9818478000.000000,,-9828845000.000000,-43691520000.000000,-152669296000.000000,18983307000.000000,1600765000.000000,17332490000.000000,,17332490000.000000,-24949000.000000,113941000.000000,,-16179377000.000000,358660000.000000,1600765000.000000,20584072000.000000,-4577040000.000000,16007032000.000000,,,16007032000.000000,16007032000.000000,,16007032000.000000,,,,
12M 2011,162009039000.000000,51977908000.000000,60638584000.000000,28939542000.000000,4328573000.000000,11022199000.000000,5102233000.000000,162009039000.000000,-160256738000.000000,-91991028000.000000,-14628178000.000000,,-13314084000.000000,-40323448000.000000,-160256738000.000000,1752301000.000000,7381629000.000000,14009374000.000000,,14009374000.000000,506944000.000000,149560000.000000,,-7603778000.000000,319529000.000000,7381629000.000000,9133930000.000000,-3102304000.000000,6031626000.000000,-892311000.000000,5139315000.000000,6031626000.000000,6019813000.000000,11813000.000000,6031626000.000000,5139315000.000000,5127502000.000000,11813000.000000,5139315000.000000
12M 2012,146393899000.000000,32862617000.000000,86153088000.000000,16367732000.000000,4117700000.000000,5860090000.000000,1032672000.000000,146393899000.000000,-173593294000.000000,-102545655000.000000,-19169086000.000000,,-13497688000.000000,-38380865000.000000,-173593294000.000000,-27199395000.000000,-102144512000.000000,5314005000.000000,,5314005000.000000,1029813000.000000,282493000.000000,-103622031000.000000,-5027872000.000000,-120920000.000000,-102144512000.000000,-129343907000.000000,2740889000.000000,-126603018000.000000,-1608204000.000000,-128211222000.000000,-126603018000.000000,-126626121000.000000,23103000.000000,-126603018000.000000,-128211222000.000000,-128234325000.000000,23103000.000000,-128211222000.000000
12M 2013,188468389000.000000,42183204000.000000,93503187000.000000,25129055000.000000,18711512000.000000,5967333000.000000,2974098000.000000,188468389000.000000,-185739809000.000000,-110237430000.000000,-17122179000.000000,,-12966896000.000000,-45413304000.000000,-185739809000.000000,2728580000.000000,4106420000.000000,10825486000.000000,,10825486000.000000,29131000.000000,2645325000.000000,,-8468935000.000000,-924587000.000000,4106420000.000000,6835000000.000000,-3126806000.000000,3708194000.000000,-439950000.000000,3268244000.000000,3708194000.000000,3688006000.000000,20188000.000000,3708194000.000000,3268244000.000000,3248056000.000000,20188000.000000,3268244000.000000
12M 2014,260720871000.000000,55354174000.000000,102180896000.000000,65622003000.000000,22443232000.000000,9503571000.000000,5616995000.000000,260720871000.000000,-218152389000.000000,-130951066000.000000,-24484052000.000000,,-14300963000.000000,-48416308000.000000,-218152389000.000000,42568482000.000000,-3725931000.000000,12882455000.000000,,12882455000.000000,47764000.000000,1901977000.000000,,-16900033000.000000,-1658094000.000000,-3725931000.000000,38842551000.000000,-11780457000.000000,27062094000.000000,,27062094000.000000,27062094000.000000,27039103000.000000,22991000.000000,27062094000.000000,27062094000.000000,27039103000.000000,22991000.000000,27062094000.000000
12M 2015,323112444000.000000,60057154000.000000,137406370000.000000,90081911000.000000,12482764000.000000,13931786000.000000,9152459000.000000,323112444000.000000,-260402537000.000000,-150491436000.000000,-37030441000.000000,,-19626274000.000000,-53254386000.000000,-260402537000.000000,62709907000.000000,-12320287000.000000,16790170000.000000,,16790170000.000000,164457000.000000,5537004000.000000,,-33143820000.000000,-1668098000.000000,-12320287000.000000,50389620000.000000,-17159367000.000000,33230253000.000000,9154388000.000000,42384641000.000000,33230253000.000000,33199466000.000000,30787000.000000,33230253000.000000,42384641000.000000,42352443000.000000,32198000.000000,42384641000.000000
12M 2016,394833941000.000000,104253214000.000000,129006391000.000000,101117267000.000000,30581296000.000000,23170174000.000000,6705599000.000000,394833941000.000000,-295692244000.000000,-181736988000.000000,-33293788000.000000,,-22663902000.000000,-57997566000.000000,-295692244000.000000,99141697000.000000,-32406762000.000000,13831119000.000000,,13831119000.000000,-19670000.000000,-1642253000.000000,,-43865484000.000000,-710474000.000000,-32406762000.000000,66734935000.000000,-20212951000.000000,46521984000.000000,-83821000.000000,46438163000.000000,46521984000.000000,46486686000.000000,35298000.000000,46521984000.000000,46438163000.000000,46403002000.000000,35161000.000000,46438163000.000000
