Period,Aset,Kas Dan Setara Kas,Deposito Pada Lembaga Kliring Dan Penjaminan,Portofolio Efek,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Piutang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Piutang Nasabah,Others,Total Piutang Nasabah,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Utang Nasabah,Utang Pajak,Utang Surat Promes,Obligasi Subordinasi,Utang Lain-Lain,Beban Akrual,Surat Berharga Jangka Menengah,Utang Obligasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,148281934000.000000,4841540000.000000,113579809000.000000,84947213000.000000,,77619995000.000000,8735495000.000000,68884500000.000000,77619995000.000000,,77619995000.000000,,7915312000.000000,5560168000.000000,13475480000.000000,16053862000.000000,13028463000.000000,,1205439319000.000000,1677267615000.000000,,,170000000000.000000,16291585000.000000,387779898000.000000,9871247000.000000,377908651000.000000,387779898000.000000,34277225000.000000,,,6307605000.000000,30264152000.000000,,339438136000.000000,250491757000.000000,1234850358000.000000,,182750000000.000000,644975000.000000,279829097000.000000,3100000000.000000,276729097000.000000,279829097000.000000,,-20806815000.000000,442417257000.000000,1677267615000.000000,3655000000.000000
12M 2008,,377882942000.000000,4911073000.000000,405243621000.000000,21224308000.000000,,14871775000.000000,2562223000.000000,12309552000.000000,14871775000.000000,,14871775000.000000,,,6919062000.000000,6919062000.000000,8260343000.000000,25294268000.000000,,103508757000.000000,968116149000.000000,,,,251191000.000000,180188943000.000000,10383837000.000000,169805106000.000000,180188943000.000000,12116183000.000000,95183719000.000000,,10192417000.000000,13235265000.000000,,240576378000.000000,34575512000.000000,586319608000.000000,,182750000000.000000,644975000.000000,269660461000.000000,3600000000.000000,266060461000.000000,269660461000.000000,,-71258895000.000000,381796541000.000000,968116149000.000000,3655000000.000000
12M 2009,,146042020000.000000,14983975000.000000,271693355000.000000,47188571000.000000,,75355482000.000000,9429632000.000000,65925850000.000000,75355482000.000000,,75355482000.000000,,,3767750000.000000,3767750000.000000,8104670000.000000,23106942000.000000,,348139116000.000000,938381881000.000000,,,84990946000.000000,3286631000.000000,248178352000.000000,8968194000.000000,239210158000.000000,248178352000.000000,5230295000.000000,27148646000.000000,,8702362000.000000,10172133000.000000,,149794836000.000000,38809800000.000000,576314001000.000000,,182750000000.000000,644975000.000000,280484554000.000000,3800000000.000000,276684554000.000000,280484554000.000000,,-101811649000.000000,362067880000.000000,938381881000.000000,3655000000.000000
12M 2010,,166462285000.000000,91310504000.000000,150853409000.000000,41397107000.000000,,106643319000.000000,4158842000.000000,102484477000.000000,106643319000.000000,,106643319000.000000,1991058000.000000,,,1991058000.000000,9003383000.000000,21312391000.000000,,269314360000.000000,858287816000.000000,,,139462500000.000000,,265029905000.000000,12164000.000000,265017741000.000000,265029905000.000000,5819113000.000000,18943008000.000000,,8417369000.000000,12331511000.000000,,,40905087000.000000,490908493000.000000,,182750000000.000000,9643948000.000000,197845785000.000000,3850000000.000000,193995785000.000000,197845785000.000000,,-22860410000.000000,367379323000.000000,858287816000.000000,3655000000.000000
12M 2011,,235999221000.000000,25146064000.000000,189405194000.000000,51106078000.000000,,114416974000.000000,,114416974000.000000,114416974000.000000,,114416974000.000000,1059277000.000000,,,1059277000.000000,13574107000.000000,23511257000.000000,4227027000.000000,25129915000.000000,683575114000.000000,,,,3295750000.000000,264135965000.000000,51720704000.000000,212415261000.000000,264135965000.000000,6541226000.000000,,,6759662000.000000,9760810000.000000,,,23992363000.000000,314485776000.000000,,182750000000.000000,9643948000.000000,192714577000.000000,-3821721000.000000,196536298000.000000,192714577000.000000,36813000.000000,-16056000000.000000,369089338000.000000,683575114000.000000,3655000000.000000
12M 2012,,179202907000.000000,,78407435000.000000,30676268000.000000,,126841432000.000000,44205038000.000000,82636394000.000000,126841432000.000000,,126841432000.000000,547423000.000000,,,547423000.000000,27772206000.000000,20362044000.000000,3786412000.000000,24261306000.000000,491857433000.000000,,,39766667000.000000,47680510000.000000,48680589000.000000,13418067000.000000,35262522000.000000,48680589000.000000,7805718000.000000,,56859600000.000000,5747559000.000000,10336806000.000000,,,34112499000.000000,250989948000.000000,,182750000000.000000,9643948000.000000,64480252000.000000,-5404925000.000000,69885177000.000000,64480252000.000000,49285000.000000,-16056000000.000000,240867485000.000000,491857433000.000000,3655000000.000000
12M 2013,,114085035000.000000,,176278830000.000000,85999600000.000000,,184579455000.000000,,184579455000.000000,184579455000.000000,,184579455000.000000,17156926000.000000,,,17156926000.000000,37095403000.000000,20878531000.000000,4493117000.000000,32234717000.000000,672801614000.000000,,,,10874078000.000000,44488394000.000000,16295264000.000000,28193130000.000000,44488394000.000000,4982040000.000000,,,2272341000.000000,15966630000.000000,,,61538796000.000000,140122279000.000000,,355465000000.000000,109416554000.000000,67728308000.000000,3900000000.000000,63828308000.000000,67728308000.000000,69473000.000000,,532679335000.000000,672801614000.000000,7109300000.000000
12M 2014,,149175604000.000000,,111548163000.000000,40350863000.000000,,200074871000.000000,,200074871000.000000,200074871000.000000,,200074871000.000000,1644298000.000000,,,1644298000.000000,38026684000.000000,19605277000.000000,3688414000.000000,333929707000.000000,898043881000.000000,,,190000000000.000000,20697557000.000000,56365771000.000000,810303000.000000,55555468000.000000,56365771000.000000,9916429000.000000,,,3625953000.000000,27689614000.000000,,,48669230000.000000,356964554000.000000,,355465000000.000000,109416554000.000000,94767411000.000000,3900000000.000000,90867411000.000000,94767411000.000000,92464000.000000,-18662102000.000000,541079327000.000000,898043881000.000000,7109300000.000000
12M 2015,,151150129000.000000,,199775591000.000000,111600301000.000000,,403547162000.000000,,403547162000.000000,403547162000.000000,,403547162000.000000,10279621000.000000,,,10279621000.000000,30198937000.000000,18236549000.000000,3981762000.000000,363239779000.000000,1292009831000.000000,,,325000000000.000000,,230508571000.000000,2184054000.000000,228324517000.000000,230508571000.000000,12345613000.000000,,,5722450000.000000,31491842000.000000,,,93569797000.000000,698638273000.000000,,355465000000.000000,109416554000.000000,127416217000.000000,3925000000.000000,123491217000.000000,127416217000.000000,97680000.000000,976107000.000000,593371558000.000000,1292009831000.000000,7109300000.000000
12M 2016,,270774822000.000000,,127415760000.000000,20646138000.000000,,765326695000.000000,14648000.000000,765312047000.000000,765326695000.000000,-3651087000.000000,761675608000.000000,27821933000.000000,,,27821933000.000000,27959985000.000000,14045657000.000000,3200363000.000000,316690482000.000000,1570230748000.000000,,,277000000000.000000,190811496000.000000,255251761000.000000,,255251761000.000000,255251761000.000000,24086046000.000000,,,13391888000.000000,46086007000.000000,,,123818829000.000000,930446027000.000000,,355465000000.000000,109416554000.000000,173902903000.000000,3950000000.000000,169952903000.000000,173902903000.000000,107841000.000000,892423000.000000,639784721000.000000,1570230748000.000000,7109300000.000000
12M 2017,,399406623000.000000,,155393270000.000000,126406554000.000000,,1938342915000.000000,,1938342915000.000000,1938342915000.000000,-3651087000.000000,1934691828000.000000,7346912000.000000,,,7346912000.000000,24588000000.000000,15966295000.000000,20584716000.000000,499032356000.000000,3183416554000.000000,,,437000000000.000000,92518576000.000000,1580958587000.000000,18984491000.000000,1561974096000.000000,1580958587000.000000,27247657000.000000,,,16681553000.000000,43593168000.000000,,,288737448000.000000,2486736989000.000000,,355465000000.000000,109416554000.000000,228064269000.000000,4075000000.000000,223989269000.000000,228064269000.000000,146708000.000000,3587034000.000000,696679565000.000000,3183416554000.000000,7109300000.000000
12M 2018,,247794848000.000000,,307646666000.000000,243753932000.000000,,813244968000.000000,,813244968000.000000,813244968000.000000,-3651087000.000000,809593881000.000000,15001607000.000000,,,15001607000.000000,20802885000.000000,12036147000.000000,17809091000.000000,997577781000.000000,2672016838000.000000,,,305000000000.000000,,1086437990000.000000,,1086437990000.000000,1086437990000.000000,14811863000.000000,,,14269346000.000000,49863815000.000000,249546394000.000000,,159816109000.000000,1879745517000.000000,,355465000000.000000,123828834000.000000,287767745000.000000,5175000000.000000,282592745000.000000,287767745000.000000,189682000.000000,25020060000.000000,792271321000.000000,2672016838000.000000,7109300000.000000
12M 2019,,347859945000.000000,,344348013000.000000,25288664000.000000,,1695292851000.000000,809350000.000000,1694483501000.000000,1695292851000.000000,-3651087000.000000,1691641764000.000000,12436017000.000000,,,12436017000.000000,18896716000.000000,9392519000.000000,13788191000.000000,586904771000.000000,3050556600000.000000,,,255000000000.000000,71292055000.000000,1387631760000.000000,,1387631760000.000000,1387631760000.000000,13377544000.000000,,,4878588000.000000,48662855000.000000,249729423000.000000,,162563842000.000000,2193136067000.000000,,355465000000.000000,123828834000.000000,352598134000.000000,6275000000.000000,346323134000.000000,352598134000.000000,230733000.000000,25297832000.000000,857420533000.000000,3050556600000.000000,7109300000.000000
12M 2020,,421047949000.000000,,273833120000.000000,67944379000.000000,,1357884485000.000000,,1357884485000.000000,1357884485000.000000,-5447261000.000000,1352437224000.000000,44613597000.000000,,,44613597000.000000,39094057000.000000,52675284000.000000,11519548000.000000,413223435000.000000,2676388593000.000000,,,250000000000.000000,,1112113082000.000000,56041000.000000,1112057041000.000000,1112113082000.000000,21728112000.000000,,,8577212000.000000,37651311000.000000,249932122000.000000,,174043271000.000000,1854045110000.000000,,355465000000.000000,123828834000.000000,319243731000.000000,7375000000.000000,311868731000.000000,319243731000.000000,242514000.000000,23563404000.000000,822343483000.000000,2676388593000.000000,7109300000.000000
12M 2021,,444235404000.000000,,296664683000.000000,150215858000.000000,,363447085000.000000,,363447085000.000000,363447085000.000000,-4993972000.000000,358453113000.000000,38585882000.000000,,,38585882000.000000,44548154000.000000,49683574000.000000,26009287000.000000,411445885000.000000,1819841840000.000000,,,200000000000.000000,14498238000.000000,238821619000.000000,2419589000.000000,236402030000.000000,238821619000.000000,21067365000.000000,,,19395354000.000000,60232917000.000000,122012976000.000000,,266641900000.000000,942670369000.000000,,355465000000.000000,123828834000.000000,371136626000.000000,8475000000.000000,362661626000.000000,371136626000.000000,243531000.000000,26497480000.000000,877171471000.000000,1819841840000.000000,7109300000.000000
12M 2022,,604343048000.000000,,374742638000.000000,,,445740218000.000000,,445740218000.000000,445740218000.000000,,445740218000.000000,4126831000.000000,,,4126831000.000000,36004476000.000000,9942646000.000000,22521760000.000000,612411927000.000000,2109833544000.000000,,,635000000000.000000,8290912000.000000,129742617000.000000,189856000.000000,129552761000.000000,129742617000.000000,8293953000.000000,,,15939840000.000000,63694487000.000000,122221627000.000000,,70876189000.000000,1054059625000.000000,,355465000000.000000,123828834000.000000,548637582000.000000,9575000000.000000,539062582000.000000,548637582000.000000,237057000.000000,27605446000.000000,1055773919000.000000,2109833544000.000000,7109300000.000000
12M 2023,,200021445000.000000,,512352217000.000000,,,830140997000.000000,,830140997000.000000,830140997000.000000,,830140997000.000000,10988365000.000000,,,10988365000.000000,32953483000.000000,9994579000.000000,25932961000.000000,1250862444000.000000,2873246491000.000000,,,300000000000.000000,9418889000.000000,641197723000.000000,5047996000.000000,636149727000.000000,641197723000.000000,17190402000.000000,,,10855112000.000000,76143960000.000000,529173843000.000000,,71429492000.000000,1655409421000.000000,,355465000000.000000,123828834000.000000,711100185000.000000,10575000000.000000,700525185000.000000,711100185000.000000,209585000.000000,27233466000.000000,1217837070000.000000,2873246491000.000000,7109300000.000000
12M 2024,,396045083000.000000,,354082997000.000000,,,675163994000.000000,,675163994000.000000,675163994000.000000,,675163994000.000000,14604167000.000000,,,14604167000.000000,37441588000.000000,13646965000.000000,23312046000.000000,2026805409000.000000,3541102249000.000000,,,770000000000.000000,68122855000.000000,319289289000.000000,12717066000.000000,306572223000.000000,319289289000.000000,37290839000.000000,,,8976758000.000000,94141185000.000000,695188715000.000000,,68090135000.000000,2061099776000.000000,,355465000000.000000,123828834000.000000,970943877000.000000,11625000000.000000,959318877000.000000,970943877000.000000,223660000.000000,29541102000.000000,1480002473000.000000,3541102249000.000000,7109300000.000000
