Period,Arus Kas Dari Aktivitas Operasi,(Pembelian) Penjualan Aset Keuangan Pada Nilai Wajar Melalui Laba Rugi Dan Tersedia Untuk Dijual - Bersih / Portofolio Efek,Penerimaan Komisi Perantara Perdagangan Efek,Penerimaan Jasa Penasehat Investasi Penjamin Emisi Dan Penjualan Dan Manajger Investasi,Penerimaan Bunga,Pengembalian Pajak,Penerimaan (Pembayaran) Kepada Perusahaan Efek - Bersih,(Pembayaran Kepada) Penerimaan Dari Lembaga Kliring Dan Penjaminan - Bersih,Pembayaran Pajak Penghasilan,Penerimaan Dari Nasabah Marjin - Bersih,Penerimaan Dari (Pembayaran Kepada) Nasabah - Bersih,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Atas Efek Diperdagangkan,Penjualan Reverse Repo . Bersih,Pembelian Repo,Penerimaan Dari Piutang Reverse Repo,Pemberian Piutang Reverse Repo,Tagihan Derivatif,Pemberian Piutang Jangka Pendek,Penerimaan (Pembayaran) Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pemberian Pinjaman Jangka Pendek,Setoran Modal Kepentingan Non-Pengendali Entitas Anak,Pencairan Deposito Berjangka/Jamianan Kepada Lembaga Kliring Dan Penjaminan,Penerimaan Pelunasan Pinjaman Dari Pihak Ketiga,Penerimaan Pelunasan Pinjaman Surat Utang Jangka Pendek,Penerimaan Bunga,Penjualan Aset Keuangan Tersedia Untuk Dijual - Neto,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tidak Berwujud,Penjualan (Pembelian) Portofolio Efek,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penempatan Deposito Berjangka/Jamianan Kepada Lembaga Kliring Dan Penjaminan,Pembelian Portofolio Efek - Bersih,Pemberian Pinjaman Kepada Pihak Ketiga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Dari Surat Berharga Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Penerimaan Surat Utang Jangka Pendek,Pembayaran Pinjaman Subordinasi,Penerbitan Surat Utang Jangka Pendek,Likuidasi Modal Kepentingan Non-Pengendali,Penerimaan Dari Pelaksanaan Opsi Saham,Pembayaran Dividen,Pembayaran Bunga,Pelunasan Surat Utang Jangka Pendek,Pelunasan Utang Obligasi,Hasil Penerbitan Hutang Obligasi,Biaya Penerbitan Obligasi,Pembayaran Liabilitas Sewa,Pembayaran Repo,Penerimaan Dari Repo,Pembayaran Utang Bank,Penerimaan Modal Ditempatkan Dan Disetor,Penambahan Agio Saham,Penerimaan Hasil Penjualan Treasury Stock,Penerimaan Hasil Penawaran Umum Terbatas,Setoran Modal Kepentingan Non-Pengendali Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2007,-266130274000.000000,-264118705000.000000,128784538000.000000,75901148000.000000,92443799000.000000,,857514000.000000,-53606895000.000000,-11373247000.000000,-449085649000.000000,176032266000.000000,-150504310000.000000,,,52683878000.000000,134459290000.000000,,,,153000000.000000,,1243099000.000000,-266130274000.000000,24772094000.000000,,,115560150000.000000,,,11627249000.000000,,611394000.000000,,,,-6026699000.000000,,-97000000000.000000,,,24772094000.000000,221947264000.000000,65611564000.000000,,,,,130541023000.000000,,,-34543000000.000000,-23267861000.000000,-213950000000.000000,,300000000000.000000,-2444462000.000000,,,,,,,,,,221947264000.000000,-19410916000.000000,167692850000.000000,148281934000.000000
12M 2008,522919593000.000000,-78883414000.000000,101846395000.000000,101773343000.000000,101404526000.000000,,151168000.000000,47431319000.000000,-44699684000.000000,760946864000.000000,-145431023000.000000,,,-204935236000.000000,14905393000.000000,-134459290000.000000,,,,,,2869232000.000000,522919593000.000000,-3014668000.000000,,,691140000.000000,,,14571883000.000000,,247983000.000000,,,,-17834534000.000000,,-691140000.000000,,,-3014668000.000000,-290303917000.000000,,,,,,302875420000.000000,,,-41451600000.000000,-58477737000.000000,-223250000000.000000,-100000000000.000000,,,,,,-170000000000.000000,,,,,,-290303917000.000000,229601008000.000000,148281934000.000000,377882942000.000000
12M 2009,-115867376000.000000,18381421000.000000,87098656000.000000,60278072000.000000,35613292000.000000,,-151168000.000000,-22684158000.000000,-5690844000.000000,-165454036000.000000,5514662000.000000,,,-129616095000.000000,5464948000.000000,,,,,,,-4622126000.000000,-115867376000.000000,-58102000.000000,,,26049500000.000000,,,15140374000.000000,,472620000.000000,,,,-5671096000.000000,,-36049500000.000000,,,-58102000.000000,-115915444000.000000,84990946000.000000,,,,,25640440000.000000,,,-10362900000.000000,-27383930000.000000,-97450000000.000000,-91350000000.000000,,,,,,,,,,,,-115915444000.000000,-231840922000.000000,377882942000.000000,146042020000.000000
12M 2010,210450829000.000000,200034236000.000000,73720362000.000000,60342067000.000000,32415131000.000000,20049691000.000000,3534363000.000000,-898962000.000000,-5202352000.000000,-16856331000.000000,-15871349000.000000,,,-141288628000.000000,,,,,,,,472601000.000000,210450829000.000000,-63435548000.000000,,,123357231000.000000,,,13076199000.000000,,33182000.000000,-2801423000.000000,,,-4700737000.000000,,-192400000000.000000,,,-63435548000.000000,-126595016000.000000,1109462500000.000000,,,,,17444116000.000000,,,-3456324000.000000,-17004362000.000000,-28050000000.000000,-150000000000.000000,,,,,,-1054990946000.000000,,,,,,-126595016000.000000,20420265000.000000,146042020000.000000,166462285000.000000
12M 2011,175609402000.000000,-21363936000.000000,51977908000.000000,70233760000.000000,28920783000.000000,4411530000.000000,-3527992000.000000,-2818700000.000000,-6306157000.000000,,209159696000.000000,,,-155962326000.000000,,,,,,,,884836000.000000,175609402000.000000,64328174000.000000,,25000000.000000,128329133000.000000,,,14005137000.000000,,1803090000.000000,-1380100000.000000,,,-10105759000.000000,-2589112000.000000,-65759215000.000000,,,64328174000.000000,-170400640000.000000,753500000000.000000,,,,,22154519000.000000,,,-3454285000.000000,-6000874000.000000,-43100000000.000000,,,,,,,-893500000000.000000,,,,,,-170400640000.000000,69536936000.000000,166462285000.000000,235999221000.000000
12M 2012,-174356469000.000000,9885225000.000000,32862298000.000000,92652443000.000000,16284006000.000000,,-77620000.000000,64631627000.000000,-9821767000.000000,,-228209460000.000000,-61377705000.000000,-91683088000.000000,,,,,,,,,497572000.000000,-174356469000.000000,24125551000.000000,,,25223777000.000000,,,5827632000.000000,,1271908000.000000,,-599327000.000000,,-5936022000.000000,-1584917000.000000,-77500000.000000,,,24125551000.000000,93434604000.000000,734000000000.000000,,,,58110000000.000000,,,,-10631000.000000,-4664765000.000000,,,,,,,,-694000000000.000000,,,,,,93434604000.000000,-56796314000.000000,235999221000.000000,179202907000.000000
12M 2013,-236014748000.000000,-79724884000.000000,42194472000.000000,104693390000.000000,24507659000.000000,961744000.000000,22406870000.000000,-92129766000.000000,-15778144000.000000,,-61930217000.000000,-81925112000.000000,-100862832000.000000,,,,,,,,,1572072000.000000,-236014748000.000000,-12192167000.000000,-14700000000.000000,,,,,10899236000.000000,565000000.000000,29130000.000000,-1051928000.000000,,,-7588039000.000000,-345566000.000000,,,,-12192167000.000000,183089043000.000000,239000000000.000000,,,,-58020000000.000000,,,,,-7434563000.000000,,,,,,,,-279000000000.000000,172715000000.000000,99772606000.000000,16056000000.000000,,,183089043000.000000,-65117872000.000000,179202907000.000000,114085035000.000000
12M 2014,-140288871000.000000,87173900000.000000,55354175000.000000,105130369000.000000,60145098000.000000,340902000.000000,-23050446000.000000,55472217000.000000,-13012239000.000000,,-3618040000.000000,-66382392000.000000,-115931350000.000000,,,,,132475000000.000000,-414475000000.000000,,,88935000.000000,-140288871000.000000,13155257000.000000,-10000000000.000000,,,,25000000000.000000,5243965000.000000,,62364000.000000,-204000000.000000,,,-6249862000.000000,-697210000.000000,,,,13155257000.000000,162224183000.000000,2268000000000.000000,,,,,5560801000.000000,,,,-9113715000.000000,-5560801000.000000,,,,,,,-2078000000000.000000,,,-18662102000.000000,,,162224183000.000000,35090569000.000000,114085035000.000000,149175604000.000000
12M 2015,-150671912000.000000,-75744664000.000000,60057154000.000000,166084237000.000000,90883253000.000000,196670000.000000,729676000.000000,-92436101000.000000,-3188028000.000000,,-29329489000.000000,-89057791000.000000,-144165854000.000000,,,,,259550000000.000000,-295000000000.000000,,,749025000.000000,-150671912000.000000,-18788862000.000000,-7000000000.000000,,,,,6287539000.000000,,194500000.000000,-2215492000.000000,-11181744000.000000,,-4207472000.000000,-666193000.000000,,,,-18788862000.000000,171435299000.000000,2216000000000.000000,,,,,251000010000.000000,,,-30000000.000000,-33134701000.000000,-181400010000.000000,,,,,,,-2081000000000.000000,,,,,,171435299000.000000,1974525000.000000,149175604000.000000,151150129000.000000
12M 2016,195537198000.000000,102941128000.000000,104253214000.000000,159687252000.000000,99566072000.000000,647933000.000000,56530000.000000,281628508000.000000,-8921311000.000000,,-331329406000.000000,-100757203000.000000,-167531472000.000000,,,,,587707868000.000000,-532988762000.000000,,,576847000.000000,195537198000.000000,-6543059000.000000,,,,,,7973416000.000000,,8818000.000000,,-11683653000.000000,,-2036540000.000000,-805100000.000000,,,,-6543059000.000000,-69369446000.000000,2742200000000.000000,,,,,199050000000.000000,,,-25000000.000000,-43844446000.000000,-176550000000.000000,,,,,,,-2790200000000.000000,,,,,,-69369446000.000000,119624693000.000000,151150129000.000000,270774822000.000000
