Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha Dan Karyawan,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Penerimaan Dari Pendapatan Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Untuk Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Penjualan Properti Investasi,Penambahan Properti Investasi,Perolehan Saham Entitas Anak Tidak Langsung,Perolehan Saham Entitas Anak Langsung,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Modal Disetor,Kenaikan Tambahan Modal Disetor,Kenaikan (Penurunan) Asset Tidak Lancar Lainnya,Biaya Emisi Saham,Penerimaan Utang Sewa Pembiayaan,Penerimaan Utang Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Dari Pelepasan Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-45470219455.000000,110759688693.000000,-27722205116.000000,-52540163420.000000,-46133541714.000000,,146968369.000000,-3175032590.000000,-26805933677.000000,-45470219455.000000,-9892908543.000000,1996082727.000000,,,,,-11888991270.000000,-9892908543.000000,59507151324.000000,104500000000.000000,,219705577.000000,,510164837.000000,73834071242.000000,-543598661.000000,-119013191671.000000,59507151324.000000,4144023326.000000,,11989482389.000000,16133505715.000000
12M 2018,-6258916491.000000,154780899890.000000,-70212665246.000000,-60839812420.000000,-2476512074.000000,,156280539.000000,-3412405311.000000,-24254701869.000000,-6258916491.000000,-20327867278.000000,85430282.000000,,-12272000000.000000,,,-8141297560.000000,-20327867278.000000,43990517794.000000,57840560000.000000,13671440800.000000,-1423893500.000000,-3971873850.000000,,,-287776379.000000,-21837939277.000000,43990517794.000000,17403734025.000000,,16133505715.000000,33537239740.000000
12M 2019,21765555957.000000,160858869964.000000,-48194993707.000000,-64456482310.000000,412529626.000000,,58900676.000000,-6346118828.000000,-20567149464.000000,21765555957.000000,-13185766401.000000,14700000.000000,,-2605975000.000000,-3144000000.000000,-1942000000.000000,-5508491401.000000,-13185766401.000000,-24356920983.000000,12117689000.000000,5210606270.000000,-19383881156.000000,,,,-42437175.000000,-22258897922.000000,-24356920983.000000,-15777131427.000000,,33537239740.000000,17760108313.000000
12M 2020,-15525936658.000000,78382272465.000000,-27517658660.000000,-45131809412.000000,-8006403399.000000,,137444366.000000,-2695646013.000000,-10694136005.000000,-15525936658.000000,7955711830.000000,97000000.000000,18350000000.000000,-9080325259.000000,,,-1410962911.000000,7955711830.000000,-2939724732.000000,1715000.000000,737450.000000,3544250468.000000,,,,-241127445.000000,-6245300205.000000,-2939724732.000000,-10509949560.000000,,17760108313.000000,7250158753.000000
12M 2021,-1765087322.000000,74613454919.000000,-18346934489.000000,-48339891600.000000,-2083888535.000000,,43455894.000000,-1609353665.000000,-6041929846.000000,-1765087322.000000,-1832449157.000000,,,-1435152322.000000,,,-397296835.000000,-1832449157.000000,2071727786.000000,25321000.000000,10888030.000000,21016641294.000000,,,,-140122538.000000,-18841000000.000000,2071727786.000000,-1525808693.000000,-439350699.000000,7250158753.000000,5284999361.000000
12M 2022,512558064.000000,74491344139.000000,-18525044882.000000,-45461057058.000000,-418092542.000000,,26809407.000000,-497146617.000000,-9104254383.000000,512558064.000000,-320125477.000000,285112332.000000,,,,,-605237809.000000,-320125477.000000,-1431254842.000000,,,299864267.000000,,,,-138119108.000000,-1593000001.000000,-1431254842.000000,-1238822255.000000,,5284999361.000000,4046177106.000000
12M 2023,4442123459.000000,67345117998.000000,-12421626876.000000,-44283996809.000000,3349984388.000000,,14785062.000000,-222146775.000000,-9339993529.000000,4442123459.000000,-191717438.000000,108425000.000000,,,,,-300142438.000000,-191717438.000000,-5019676163.000000,,,,,,,77989025.000000,-5097665188.000000,-5019676163.000000,-769270142.000000,,4046177106.000000,3276906964.000000
12M 2024,17118825060.000000,64346556005.000000,-12222613684.000000,-39191695021.000000,7277704156.000000,,30918087.000000,-1297966821.000000,-1824077662.000000,17118825060.000000,-627910128.000000,,,,,,-627910128.000000,-627910128.000000,-15049827372.000000,,,,,,,-143961780.000000,-14905865592.000000,-15049827372.000000,1441087560.000000,,3276906966.000000,4717994526.000000
