Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Karyawan,Beban Penyusutan,Beban Umum Dan Administrasi,Beban Keuangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Bunga,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,10203772222.000000,-2459471799.000000,7744300423.000000,-28234042897.000000,-18904374802.000000,-1074629627.000000,-1582962628.000000,-891320477.000000,-5780755363.000000,-28234042897.000000,-20489742474.000000,9916274271.000000,2949802015.000000,6598576957.000000,367895299.000000,9916274271.000000,-10573468203.000000,,-10573468203.000000,-12068290023.000000,-22641758226.000000,121398121.000000,-22520360105.000000,-22641758226.000000,-22641758109.000000,-117.000000,-22641758226.000000,-22520360105.000000,-22520359988.000000,-117.000000,-22520360105.000000
12M 2017,10640382277.0,-3398635021.0,7241747256.0,-27565010822.0,-17770935987.0,-1159629242.0,-1467886376.0,-1329523453.0,-5837035764.0,-27565010822.0,-20323263566.0,-8030085851.0,2297434673.0,-10315718737.0,-11801787.0,-8030085851.0,-28353349417.0,-2207837522.0,-30561186939.0,-13560951881.0,-44122138820.0,1399260473.0,-42722878347.0,-44122138820.0,-44122138696.0,-124.0,-44122138820.0,-42722878347.0,-42722878226.0,-121.0,-42722878347.0
12M 2018,9765067232.000000,,9765067232.000000,-27018023486.000000,-17391088599.000000,-332254583.000000,-1466976255.000000,-1668954761.000000,-6158749288.000000,-27018023486.000000,-17252956254.000000,-7913359419.000000,1854379361.000000,-10042799979.000000,275061199.000000,-7913359419.000000,-25166315673.000000,1828303.000000,-25164487370.000000,-1617623849.000000,-26782111219.000000,680412697.000000,-26101698522.000000,-26782111219.000000,-26782111177.000000,-42.000000,-26782111219.000000,-26101698522.000000,-26101698481.000000,-41.000000,-26101698522.000000
12M 2019,10578187572.000000,,10578187572.000000,-21771102806.000000,-14467118153.000000,-49681023.000000,-1352693152.000000,-1723022332.000000,-4178588146.000000,-21771102806.000000,-11192915234.000000,10101222814.000000,1677310035.000000,6150013747.000000,2273899032.000000,10101222814.000000,-1091692420.000000,1357787.000000,-1090334633.000000,,-1090334633.000000,78519576.000000,-1011815057.000000,-1090334633.000000,-1090334620.000000,-13.000000,-1090334633.000000,-1011815057.000000,-1011815044.000000,-13.000000,-1011815057.000000
12M 2020,5279536653.000000,,5279536653.000000,-19614712471.000000,-13321412150.000000,-954065629.000000,-1244346818.000000,-1889854295.000000,-2205033579.000000,-19614712471.000000,-14335175818.000000,-3337673200.000000,1075359811.000000,-5012135579.000000,599102568.000000,-3337673200.000000,-17672849018.000000,1245728.000000,-17671603290.000000,,-17671603290.000000,-31889668.000000,-17703492958.000000,-17671603290.000000,-17671603259.000000,-31.000000,-17671603290.000000,-17703492958.000000,-17703492927.000000,-31.000000,-17703492958.000000
12M 2021,,,,-10920319253.000000,-5806295487.000000,-936154319.000000,-954430868.000000,-1848873947.000000,-1374564632.000000,-10920319253.000000,-10920319253.000000,1635427980.000000,337057104.000000,721837528.000000,576533348.000000,1635427980.000000,-9284891273.000000,303234.000000,-9284588039.000000,,-9284588039.000000,55524620.000000,-9229063419.000000,-9284588039.000000,-9284588008.000000,-31.000000,-9284588039.000000,-9229063419.000000,-9229063388.000000,-31.000000,-9229063419.000000
12M 2022,,,,-10444319499.000000,-4647374949.000000,-925425691.000000,-874779512.000000,-1818748113.000000,-2177991234.000000,-10444319499.000000,-10444319499.000000,-21236528193.000000,99919403.000000,-21782251773.000000,445804177.000000,-21236528193.000000,-31680847692.000000,,-31680847692.000000,,-31680847692.000000,9668445.000000,-31671179247.000000,-31680847692.000000,-31680847680.000000,-12.000000,-31680847692.000000,-31671179247.000000,-31671179235.000000,-12.000000,-31671179247.000000
12M 2023,,,,-6159992822.000000,-2454303032.000000,-14956632.000000,-179068769.000000,-2069913138.000000,-1441751251.000000,-6159992822.000000,-6159992822.000000,186768091.000000,172751353.000000,-30335898.000000,44352636.000000,186768091.000000,-5973224731.000000,,-5973224731.000000,,-5973224731.000000,31469580.000000,-5941755151.000000,-5973224731.000000,-5973224723.000000,-8.000000,-5973224731.000000,-5941755151.000000,-5941755143.000000,-8.000000,-5941755151.000000
12M 2024,,,,-6187241875.000000,-2526991617.000000,-7069992.000000,-197231044.000000,-2318719407.000000,-1137229815.000000,-6187241875.000000,-6187241875.000000,-6256870404.000000,149292528.000000,-6411648126.000000,5485194.000000,-6256870404.000000,-12444112279.000000,-11289190.000000,-12455401469.000000,,-12455401469.000000,110519727.000000,-12344881742.000000,-12455401469.000000,-12455401469.000000,,-12455401469.000000,-12344881742.000000,-12344881742.000000,,-12344881742.000000
