Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Usaha,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,12500552640.000000,38000000000.000000,2179297051.000000,92446725.000000,820615318.000000,11549355925.000000,2616847540.000000,18252591393.000000,86011706592.000000,,,955741659.000000,1891545170.000000,667289589.000000,36172759900.000000,,144569142709.000000,184256479027.000000,,54640000000.000000,-378724393.000000,-152506046699.000000,-1343.000000,,-98244772435.000000,86011706592.000000,273200000.000000
12M 2017,,13598492736.000000,33000000000.000000,247216218.000000,146009355.000000,128758204.000000,1305827772.000000,,22742715853.000000,71169020138.000000,,,263387650.000000,2674555709.000000,704308313.000000,51680952000.000000,4735051.000000,156808732197.000000,212136670920.000000,,54640000000.000000,-378724393.000000,-195228924925.000000,184.000000,-1648.000000,-140967650782.000000,71169020138.000000,273200000.000000
12M 2018,,2438102497.000000,,2691455.000000,298464895.000000,8175008.000000,31278472.000000,,66021522026.000000,68800234353.000000,,,,3900860860.000000,74161846.000000,61208576635.000000,,170685984316.000000,235869583657.000000,,54640000000.000000,-378724393.000000,-221330623406.000000,143.000000,-1648.000000,-167069349304.000000,68800234353.000000,273200000.000000
12M 2019,,7583165004.000000,24500000000.000000,,37621912.000000,8175008.000000,131730906.000000,,17600296902.000000,49860989732.000000,,,,5988184860.000000,878479281.000000,59579382099.000000,1548962.000000,151494558891.000000,217942154093.000000,,54640000000.000000,-378724393.000000,-222342438450.000000,130.000000,-1648.000000,-168081164361.000000,49860989732.000000,273200000.000000
12M 2020,,20672750716.000000,,,18724381.000000,8175008.000000,1876610647.000000,,1682220341.000000,24258481093.000000,,,,6613404433.000000,387235108.000000,61445953430.000000,303234.000000,141596242207.000000,210043138412.000000,,54640000000.000000,-378724393.000000,-240045931377.000000,99.000000,-1648.000000,-185784657319.000000,24258481093.000000,273200000.000000
12M 2021,,11053091318.000000,,,38243836.000000,,937369453.000000,,1893345091.000000,13922049698.000000,,,,7952388004.000000,63610532.000000,60809100120.000000,,140110671780.000000,208935770436.000000,,54640000000.000000,-378724393.000000,-249274994765.000000,68.000000,-1648.000000,-195013720738.000000,13922049698.000000,273200000.000000
12M 2022,,2068923130.000000,,,252000000.000000,,37147489.000000,,1203328178.000000,3561398797.000000,,,,10331986014.000000,51860524.000000,67305327161.000000,,152557125083.000000,230246298782.000000,,54640000000.000000,-378724393.000000,-280946174000.000000,56.000000,-1648.000000,-226684899985.000000,3561398797.000000,273200000.000000
12M 2023,,9216362080.000000,,,14072547.000000,,22190857.000000,,1191831117.000000,10444456601.000000,,,,12035182902.000000,60975366.000000,79320316855.000000,,151654636614.000000,243071111737.000000,,54640000000.000000,-378724393.000000,-286887929143.000000,48.000000,-1648.000000,-232626655136.000000,10444456601.000000,273200000.000000
12M 2024,,2040991220.000000,,,1881641.000000,,15120865.000000,,1211854006.000000,3269847732.000000,,,,14093902784.000000,57500099.000000,80727023676.000000,,156550978051.000000,251429404610.000000,,54640000000.000000,-378724393.000000,-299232810885.000000,48.000000,-3188021648.000000,-248159556878.000000,3269847732.000000,273200000.000000
