Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2543913000000.000000,-2149039000000.000000,394874000000.000000,-214487000000.000000,,-9463000000.000000,-205024000000.000000,-214487000000.000000,,-214487000000.000000,180387000000.000000,-6857000000.000000,-30818000000.000000,12472000000.000000,-58987000000.000000,62968000000.000000,15402000000.000000,-7894000000.000000,-6857000000.000000,173530000000.000000,-33503000000.000000,-36692000000.000000,3189000000.000000,,-33503000000.000000,140027000000.000000,-6255000000.000000,133772000000.000000,,,133772000000.000000,140027000000.000000,-6255000000.000000,133772000000.000000,,,,
12M 2009,3662331000000.000000,-3119303000000.000000,543028000000.000000,-266741000000.000000,,-9265000000.000000,-257476000000.000000,-266741000000.000000,,-266741000000.000000,276287000000.000000,392495000000.000000,43063000000.000000,20014000000.000000,-92958000000.000000,39795000000.000000,-1101000000.000000,383682000000.000000,392495000000.000000,668782000000.000000,-199289000000.000000,-203514000000.000000,4225000000.000000,,-199289000000.000000,469493000000.000000,-3260000000.000000,466233000000.000000,,,466233000000.000000,469493000000.000000,-3260000000.000000,466233000000.000000,,,,
12M 2010,4210786000000.000000,-3800911000000.000000,409875000000.000000,-275772000000.000000,,-7367000000.000000,-268405000000.000000,-275772000000.000000,,-275772000000.000000,134103000000.000000,-39927000000.000000,-8295000000.000000,21737000000.000000,-79597000000.000000,3659000000.000000,,22569000000.000000,-39927000000.000000,94176000000.000000,-30172000000.000000,-35644000000.000000,5472000000.000000,,-30172000000.000000,64004000000.000000,-98000000.000000,63906000000.000000,,,63906000000.000000,64004000000.000000,-98000000.000000,63906000000.000000,,,,
12M 2011,4716771000000.000000,-4431445000000.000000,285326000000.000000,-245865000000.000000,,-7545000000.000000,-299879000000.000000,-307424000000.000000,61559000000.000000,-245865000000.000000,39461000000.000000,-65544000000.000000,-7439000000.000000,13585000000.000000,-92748000000.000000,-10226000000.000000,,31284000000.000000,-65544000000.000000,-26083000000.000000,-4032000000.000000,-44897000000.000000,40865000000.000000,,-4032000000.000000,-30115000000.000000,,-30115000000.000000,,-30115000000.000000,-30115000000.000000,-42775000000.000000,12660000000.000000,-30115000000.000000,-30115000000.000000,-42775000000.000000,12660000000.000000,-30115000000.000000
12M 2012,4777083000000.000000,-4225983000000.000000,551100000000.000000,-299029000000.000000,,-9079000000.000000,-289950000000.000000,-299029000000.000000,,-299029000000.000000,252071000000.000000,-41000000000.000000,,11094000000.000000,-88171000000.000000,-24294000000.000000,,60371000000.000000,-41000000000.000000,211071000000.000000,-75474000000.000000,,,,-75474000000.000000,135597000000.000000,,135597000000.000000,,135597000000.000000,135597000000.000000,127920000000.000000,7677000000.000000,135597000000.000000,135597000000.000000,127920000000.000000,7677000000.000000,135597000000.000000
12M 2013,4111973000000.000000,-3465322000000.000000,646651000000.000000,-353582000000.000000,,-3377000000.000000,-350205000000.000000,-353582000000.000000,,-353582000000.000000,293069000000.000000,44131000000.000000,,20168000000.000000,-53932000000.000000,1092000000.000000,,76803000000.000000,44131000000.000000,337200000000.000000,-94595000000.000000,,,,-94595000000.000000,242605000000.000000,,242605000000.000000,,242605000000.000000,242605000000.000000,238060000000.000000,4545000000.000000,242605000000.000000,242605000000.000000,238060000000.000000,4545000000.000000,242605000000.000000
12M 2014,4221172000000.000000,-3461359000000.000000,759813000000.000000,-335017000000.000000,,-3287000000.000000,-331730000000.000000,-335017000000.000000,,-335017000000.000000,424796000000.000000,134905000000.000000,,33928000000.000000,-33853000000.000000,,,134830000000.000000,134905000000.000000,559701000000.000000,-141609000000.000000,,,,-141609000000.000000,418092000000.000000,,418092000000.000000,,418092000000.000000,418092000000.000000,412428000000.000000,5664000000.000000,418092000000.000000,418092000000.000000,412428000000.000000,5664000000.000000,418092000000.000000
12M 2015,3775323000000.000000,-3056513000000.000000,718810000000.000000,-248616000000.000000,,-3719000000.000000,-244897000000.000000,-248616000000.000000,,-248616000000.000000,470194000000.000000,42827000000.000000,,23669000000.000000,-36265000000.000000,,,55423000000.000000,42827000000.000000,513021000000.000000,-133276000000.000000,,-127993000000.000000,-5283000000.000000,-133276000000.000000,379745000000.000000,,379745000000.000000,,375831000000.000000,379745000000.000000,375364000000.000000,4381000000.000000,379745000000.000000,375831000000.000000,371360000000.000000,4471000000.000000,375831000000.000000
12M 2016,3620570000000.000000,-3005985000000.000000,614585000000.000000,-195708000000.000000,,-4116000000.000000,-191592000000.000000,-195708000000.000000,,-195708000000.000000,418877000000.000000,6596000000.000000,,20235000000.000000,-24266000000.000000,,,10627000000.000000,6596000000.000000,425473000000.000000,-109407000000.000000,,-102252000000.000000,-7155000000.000000,-109407000000.000000,316066000000.000000,,316066000000.000000,,318798000000.000000,316066000000.000000,310911000000.000000,5155000000.000000,316066000000.000000,318798000000.000000,313643000000.000000,5155000000.000000,318798000000.000000
12M 2017,4978986000000.000000,-4400484000000.000000,578502000000.000000,-233962000000.000000,,-1451000000.000000,-232511000000.000000,-233962000000.000000,,-233962000000.000000,344540000000.000000,-7731000000.000000,,20395000000.000000,-19852000000.000000,,,-8274000000.000000,-7731000000.000000,336809000000.000000,-86055000000.000000,,-75612000000.000000,-10443000000.000000,-86055000000.000000,250754000000.000000,,250754000000.000000,,238473000000.000000,250754000000.000000,247140000000.000000,3614000000.000000,250754000000.000000,238473000000.000000,234865000000.000000,3608000000.000000,238473000000.000000
