Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Sewa Pembiayaan,Piutang Pihak Berelasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Liabilitas Keuangan Lainnya,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Sukuk,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Wesel Bayar,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,401120000000.000000,,779325000000.000000,381451000000.000000,397874000000.000000,779325000000.000000,29993000000.000000,29993000000.000000,29993000000.000000,74609000000.000000,334435000000.000000,1619482000000.000000,,33923000000.000000,2083000000.000000,28159000000.000000,1213210000000.000000,81190000000.000000,,339769000000.000000,1698334000000.000000,3317816000000.000000,,,1163382000000.000000,,276211000000.000000,25387000000.000000,301598000000.000000,37240000000.000000,351376000000.000000,,103967000000.000000,,103967000000.000000,224823000000.000000,,,88332000000.000000,15901000000.000000,104233000000.000000,40145000000.000000,1163382000000.000000,522342000000.000000,19581000000.000000,,437335000000.000000,,24517000000.000000,461852000000.000000,,,40909000000.000000,522342000000.000000,1685724000000.000000,,729850000000.000000,419958000000.000000,476977000000.000000,21838000000.000000,455139000000.000000,476977000000.000000,18259000000.000000,-12952000000.000000,1632092000000.000000,3317816000000.000000,7298500000.000000
12M 2009,,,1124202000000.000000,75000000000.000000,848743000000.000000,375173000000.000000,473570000000.000000,848743000000.000000,33113000000.000000,33113000000.000000,33113000000.000000,83800000000.000000,383168000000.000000,2548026000000.000000,,38148000000.000000,15509000000.000000,20673000000.000000,1332583000000.000000,80739000000.000000,,174743000000.000000,1662395000000.000000,4210421000000.000000,,,1661190000000.000000,,298216000000.000000,234077000000.000000,532293000000.000000,41655000000.000000,329203000000.000000,,172841000000.000000,,172841000000.000000,360368000000.000000,,,165974000000.000000,14664000000.000000,180638000000.000000,44192000000.000000,1661190000000.000000,624978000000.000000,116083000000.000000,,470352000000.000000,,6402000000.000000,476754000000.000000,,,32141000000.000000,624978000000.000000,2286168000000.000000,,729850000000.000000,419958000000.000000,772480000000.000000,28526000000.000000,743954000000.000000,772480000000.000000,14575000000.000000,-12610000000.000000,1924253000000.000000,4210421000000.000000,7298500000.000000
12M 2010,,,724567000000.000000,8300000000.000000,768130000000.000000,487037000000.000000,281093000000.000000,768130000000.000000,24237000000.000000,24237000000.000000,24237000000.000000,115062000000.000000,400363000000.000000,2040659000000.000000,,43620000000.000000,14776000000.000000,6286000000.000000,1304586000000.000000,82137000000.000000,,186502000000.000000,1637907000000.000000,3678566000000.000000,,,1271960000000.000000,,215267000000.000000,292398000000.000000,507665000000.000000,15458000000.000000,160170000000.000000,,39379000000.000000,,39379000000.000000,278073000000.000000,,,236984000000.000000,6124000000.000000,243108000000.000000,28107000000.000000,1271960000000.000000,456448000000.000000,583000000.000000,,425797000000.000000,,,425797000000.000000,,,30068000000.000000,456448000000.000000,1728408000000.000000,,729850000000.000000,419958000000.000000,800392000000.000000,51838000000.000000,748554000000.000000,800392000000.000000,12869000000.000000,-12911000000.000000,1950158000000.000000,3678566000000.000000,7298500000.000000
12M 2011,,,692652000000.000000,3300000000.000000,1119017000000.000000,669979000000.000000,449038000000.000000,1119017000000.000000,17191000000.000000,17191000000.000000,17191000000.000000,132743000000.000000,501404000000.000000,2466307000000.000000,,44416000000.000000,13954000000.000000,4121000000.000000,1485843000000.000000,81814000000.000000,,128198000000.000000,1758346000000.000000,4224653000000.000000,,,1493672000000.000000,,478591000000.000000,136746000000.000000,615337000000.000000,13236000000.000000,157177000000.000000,,35881000000.000000,,35881000000.000000,400507000000.000000,,,232002000000.000000,,232002000000.000000,39532000000.000000,1493672000000.000000,708261000000.000000,443000000.000000,,247510000000.000000,428662000000.000000,,676172000000.000000,,,31646000000.000000,708261000000.000000,2201933000000.000000,,729850000000.000000,419958000000.000000,828739000000.000000,55033000000.000000,773706000000.000000,828739000000.000000,55655000000.000000,-11482000000.000000,2022720000000.000000,4224653000000.000000,7298500000.000000
12M 2012,,,928199000000.000000,,1118512000000.000000,667848000000.000000,450664000000.000000,1118512000000.000000,,,,92725000000.000000,170920000000.000000,2310356000000.000000,,103045000000.000000,,2920000000.000000,1257235000000.000000,36204000000.000000,7389000000.000000,577408000000.000000,1984201000000.000000,4294557000000.000000,,,1686450000000.000000,,251253000000.000000,117352000000.000000,368605000000.000000,,186771000000.000000,39758000000.000000,,33978000000.000000,33978000000.000000,765476000000.000000,,,247008000000.000000,,247008000000.000000,44854000000.000000,1686450000000.000000,565862000000.000000,151000000.000000,,531464000000.000000,,,531464000000.000000,,,34247000000.000000,565862000000.000000,2252312000000.000000,,729850000000.000000,421768000000.000000,871562000000.000000,55033000000.000000,816529000000.000000,871562000000.000000,24786000000.000000,-5721000000.000000,2042245000000.000000,4294557000000.000000,7298500000.000000
12M 2013,,,1319686000000.000000,,957924000000.000000,319162000000.000000,638762000000.000000,957924000000.000000,,,,102555000000.000000,112054000000.000000,2492219000000.000000,,122700000000.000000,,1285000000.000000,1048948000000.000000,35802000000.000000,14388000000.000000,655622000000.000000,1878745000000.000000,4370964000000.000000,,,1560197000000.000000,,253436000000.000000,52341000000.000000,305777000000.000000,,,140461000000.000000,,62671000000.000000,62671000000.000000,782708000000.000000,,,268580000000.000000,,268580000000.000000,,1560197000000.000000,525653000000.000000,,,495773000000.000000,,,495773000000.000000,,,29880000000.000000,525653000000.000000,2085850000000.000000,,729850000000.000000,431422000000.000000,1096830000000.000000,55033000000.000000,1041797000000.000000,1096830000000.000000,27012000000.000000,,2285114000000.000000,4370964000000.000000,7298500000.000000
12M 2014,,,1060151000000.000000,,930446000000.000000,393882000000.000000,536564000000.000000,930446000000.000000,,,,114830000000.000000,131241000000.000000,2236668000000.000000,,131072000000.000000,,2787000000.000000,1239721000000.000000,53363000000.000000,15187000000.000000,566906000000.000000,2009036000000.000000,4245704000000.000000,,,1378311000000.000000,,232770000000.000000,72376000000.000000,305146000000.000000,,,57467000000.000000,,65939000000.000000,65939000000.000000,762963000000.000000,,,186796000000.000000,,186796000000.000000,,1378311000000.000000,284397000000.000000,,,248868000000.000000,,,248868000000.000000,,,35529000000.000000,284397000000.000000,1662708000000.000000,,729850000000.000000,431422000000.000000,1390228000000.000000,55033000000.000000,1335195000000.000000,1390228000000.000000,31496000000.000000,,2582996000000.000000,4245704000000.000000,7298500000.000000
12M 2015,,,934968000000.000000,,790000000000.000000,268476000000.000000,521524000000.000000,790000000000.000000,,,,127890000000.000000,226461000000.000000,2079319000000.000000,,98390000000.000000,,46000000.000000,1480580000000.000000,52899000000.000000,20352000000.000000,675927000000.000000,2328194000000.000000,4407513000000.000000,,,1448585000000.000000,,199703000000.000000,36234000000.000000,235937000000.000000,,218293000000.000000,55714000000.000000,54400000000.000000,,54400000000.000000,658760000000.000000,,,225481000000.000000,,225481000000.000000,,1448585000000.000000,323742000000.000000,,,295954000000.000000,,,295954000000.000000,,,27788000000.000000,323742000000.000000,1772327000000.000000,,729850000000.000000,431422000000.000000,1500931000000.000000,87558000000.000000,1413373000000.000000,1500931000000.000000,34305000000.000000,-61322000000.000000,2635186000000.000000,4407513000000.000000,7298500000.000000
12M 2016,,,744387000000.000000,,713885000000.000000,211091000000.000000,502794000000.000000,713885000000.000000,,,,130532000000.000000,276312000000.000000,1865116000000.000000,,84516000000.000000,,46000000.000000,1592311000000.000000,52436000000.000000,21699000000.000000,574832000000.000000,2325840000000.000000,4190956000000.000000,,,1254181000000.000000,,185438000000.000000,51645000000.000000,237083000000.000000,,486500000000.000000,41902000000.000000,29942000000.000000,,29942000000.000000,400855000000.000000,,,29331000000.000000,,29331000000.000000,28568000000.000000,1254181000000.000000,59032000000.000000,,,33939000000.000000,,,33939000000.000000,,,25093000000.000000,59032000000.000000,1313213000000.000000,,729850000000.000000,431422000000.000000,1722099000000.000000,106326000000.000000,1615773000000.000000,1722099000000.000000,38292000000.000000,-43920000000.000000,2877743000000.000000,4190956000000.000000,7298500000.000000
12M 2017,,,902563000000.000000,,1258525000000.000000,395378000000.000000,863147000000.000000,1258525000000.000000,,,,96508000000.000000,121869000000.000000,2379465000000.000000,,99976000000.000000,,292000000.000000,1569071000000.000000,52113000000.000000,14091000000.000000,740361000000.000000,2475904000000.000000,4855369000000.000000,,,1757781000000.000000,,194319000000.000000,114002000000.000000,308321000000.000000,,695012000000.000000,45960000000.000000,47501000000.000000,,47501000000.000000,602574000000.000000,,,2256000000.000000,,2256000000.000000,56157000000.000000,1757781000000.000000,45668000000.000000,1014000000.000000,,,,,,,,44654000000.000000,45668000000.000000,1803449000000.000000,,729850000000.000000,435688000000.000000,1938147000000.000000,121872000000.000000,1816275000000.000000,1938147000000.000000,4430000000.000000,-56195000000.000000,3051920000000.000000,4855369000000.000000,7298500000.000000
