Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Kontraktor,Pembayaran Beban Usaha,Pembayaran Kas Kepada Karyawan,Penerimaan Penghasilan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak,Penerimaan Restitusi Pajak,Pembayaran Kepada Pemerintah,Penerimaan (Pembayaran) Atas Aktivitas Operasi Lainnya - Bersih,Penerimaan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Dari Perusahaan Asosiasi,Hasil Dari Penjualan Aset Tetap,Hasil Dari Penjualan Penyertaan Saham,Penerimaan Dari Penjualan Aset Tersedia Untuk Dijual,Pembelian Properti Investasi,Pembelian Aset Jangka Panjang Lainnya,Perolehan Aset Tetap,Pembelian Aset Tetap Untuk Piutang Sewa Pembiayaan,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Uang Muka Aset Dimiliki Untuk Dijual,Penerimaan Hasil Penjualan Saham Treasuri,Penambahan Investasi Jangka Panjang,Penerimaan Dari Penjulan Properti Investasi,Penambahan Aset Tidak Berwujud,Pembelian Barang Konsumsi Tahan Lama,Penambahan Investasi Di Anak Perusahaan,Penyertaan Pada Entitas Pengendalian Bersama,Hasil Dari Pencairan Deposito,Penempatan Deposito Berjangka -Aset Lain-Lain,Uang Muka Penyertaan Saham,Penambahan Penyertaan Saham,Penempatan Atas Aktivitas Investasi Lainnya,Penarikan Atas Aktivitas Investasi Lainnya,Pembayaran Atas Aktivitas Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Wesel Bayar,Pembayaran Wesel Bayar,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Biaya Pinjaman,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Beban Bunga Sewa,Penerimaan Dari Penerbitan Obligasi,Penerimaan Dari Penerbitan Sukuk,Pembayaran Kupon Sukuk,Penerimaan Piutang Dan Hutang,Pihak Berelasi,Total Penerimaan Piutang Dan Hutang,Penerimaan Setoran Modal Dari Ipo,Pembayaran Dividen Kas Untuk Kepentingan Non-Pengendali,Pembelian Kembali Saham Yang Diperoleh Kembali,Penerimaan Dari Aktivitas Pendanaan Lainnya - Bersih,Kas Yang Dibatasi Penggunaannya,Pembayaran Hutang Pembelian Aktiva Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,35972000000.000000,2350772000000.000000,-1668260000000.000000,,-391886000000.000000,12472000000.000000,-58987000000.000000,-36794000000.000000,,,-171345000000.000000,,35972000000.000000,-549049000000.000000,25909000000.000000,2855000000.000000,,,,,-577558000000.000000,,,,,,24336000000.000000,,,,,,,-19234000000.000000,-5357000000.000000,,,,-549049000000.000000,807249000000.000000,,,895374000000.000000,-535028000000.000000,,-34755000000.000000,,,,,,-28782000000.000000,-28782000000.000000,,-16958000000.000000,-14721000000.000000,565958000000.000000,-23839000000.000000,,807249000000.000000,294172000000.000000,,106948000000.000000,401120000000.000000
12M 2009,288389000000.000000,3586090000000.000000,-2306175000000.000000,,-518783000000.000000,20014000000.000000,-92958000000.000000,-203987000000.000000,,,-195812000000.000000,,288389000000.000000,320030000000.000000,32538000000.000000,574000000.000000,598735000000.000000,,,,-241046000000.000000,,,,,,4229000000.000000,,,,,,-75000000000.000000,,,,,,320030000000.000000,114663000000.000000,,,357971000000.000000,-269485000000.000000,,-19352000000.000000,,,,,,103988000000.000000,103988000000.000000,,-54085000000.000000,,,-4374000000.000000,,114663000000.000000,723082000000.000000,,401120000000.000000,1124202000000.000000
12M 2010,34030000000.000000,4280925000000.000000,-3468207000000.000000,,-464006000000.000000,21737000000.000000,-82365000000.000000,-141177000000.000000,,,-112877000000.000000,,34030000000.000000,-100502000000.000000,2800000000.000000,,9595000000.000000,,,,-179597000000.000000,,,,,,,,,,,,66700000000.000000,,,,,,-100502000000.000000,-333163000000.000000,,,432242000000.000000,-574820000000.000000,,-14943000000.000000,,,,,,13129000000.000000,13129000000.000000,,-180192000000.000000,,,-8579000000.000000,,-333163000000.000000,-399635000000.000000,,1124202000000.000000,724567000000.000000
12M 2011,340446000000.000000,4341054000000.000000,-3585140000000.000000,,-398054000000.000000,11171000000.000000,-68572000000.000000,-110970000000.000000,143389000000.000000,,7568000000.000000,,340446000000.000000,-553891000000.000000,1296000000.000000,36563000000.000000,50076000000.000000,,,,-488527000000.000000,,,,,,,,,,-45299000000.000000,,-108000000000.000000,,,,,,-553891000000.000000,161987000000.000000,439005000000.000000,,,-240168000000.000000,-13289000000.000000,-6139000000.000000,,,,,,,,,-19988000000.000000,,,2566000000.000000,,161987000000.000000,-51458000000.000000,5183000000.000000,735093000000.000000,688818000000.000000
12M 2012,375428000000.000000,4865974000000.000000,-3793171000000.000000,,-520395000000.000000,11094000000.000000,-94325000000.000000,-100689000000.000000,,,6940000000.000000,,375428000000.000000,-87028000000.000000,1479000000.000000,59057000000.000000,906000000.000000,,,,-103676000000.000000,,,,9001000000.000000,,6205000000.000000,,,,,,-60000000000.000000,,,,,,-87028000000.000000,-234948000000.000000,,-449000000000.000000,887098000000.000000,-611728000000.000000,-15013000000.000000,,,,,,,,,,-7177000000.000000,,,-39128000000.000000,,-234948000000.000000,53452000000.000000,24068000000.000000,688818000000.000000,766338000000.000000
12M 2013,753549000000.000000,4231259000000.000000,-2888056000000.000000,,-651378000000.000000,20168000000.000000,-60461000000.000000,-83071000000.000000,185088000000.000000,,,,753549000000.000000,40862000000.000000,1619000000.000000,8714000000.000000,45600000000.000000,,,,-110179000000.000000,,,64923000000.000000,15375000000.000000,,,-15190000000.000000,,,,,,,,,,30000000000.000000,40862000000.000000,-524822000000.000000,,,88374000000.000000,-481528000000.000000,,,,,,,,,,,-15113000000.000000,,,-116555000000.000000,,-524822000000.000000,269589000000.000000,121898000000.000000,928199000000.000000,1319686000000.000000
12M 2014,420593000000.000000,4220244000000.000000,-2994435000000.000000,,-747149000000.000000,33928000000.000000,-31267000000.000000,-145654000000.000000,84926000000.000000,,,,420593000000.000000,-354185000000.000000,,750000000.000000,,28574000000.000000,-18000000000.000000,-22989000000.000000,-366467000000.000000,,,,,,,-6053000000.000000,,,,30000000000.000000,,,,,,,-354185000000.000000,-338366000000.000000,,,118177000000.000000,-438567000000.000000,,,,,,,,,,,-120210000000.000000,,,102234000000.000000,,-338366000000.000000,-271958000000.000000,12423000000.000000,1319684000000.000000,1060149000000.000000
12M 2015,424231000000.000000,4022993000000.000000,-2499544000000.000000,,-934053000000.000000,24383000000.000000,-37579000000.000000,-270594000000.000000,112970000000.000000,,5655000000.000000,,424231000000.000000,-538079000000.000000,,,,,,-39351000000.000000,-491036000000.000000,,,,,,,-7692000000.000000,,,,,,,,,,,-538079000000.000000,-82843000000.000000,,,732239000000.000000,-536040000000.000000,,,,,,,,,,,-290095000000.000000,,,11053000000.000000,,-82843000000.000000,-196691000000.000000,71508000000.000000,1060151000000.000000,934968000000.000000
12M 2016,447139000000.000000,3704648000000.000000,-2502099000000.000000,,-803307000000.000000,19487000000.000000,-22599000000.000000,-152419000000.000000,200628000000.000000,,2800000000.000000,,447139000000.000000,-295227000000.000000,,1858000000.000000,,,,-17885000000.000000,-261482000000.000000,,,,,,,-14903000000.000000,,,,,,,,,,-2815000000.000000,-295227000000.000000,-312200000000.000000,,,1233022000000.000000,-1492966000000.000000,,,,,,,,,,,-76241000000.000000,,,23985000000.000000,,-312200000000.000000,-160288000000.000000,-30293000000.000000,934968000000.000000,744387000000.000000
12M 2017,395459000000.000000,4510541000000.000000,-3352976000000.000000,,-825300000000.000000,20328000000.000000,-20459000000.000000,-140185000000.000000,200502000000.000000,,3008000000.000000,,395459000000.000000,-358506000000.000000,,1147000000.000000,,,,,-41706000000.000000,,,-279356000000.000000,,,,-4209000000.000000,,-33317000000.000000,,,,,,,,-1065000000.000000,-358506000000.000000,119698000000.000000,,,1446887000000.000000,-1305212000000.000000,,,,,,,,,,,-31687000000.000000,,,9710000000.000000,,119698000000.000000,156651000000.000000,1525000000.000000,744387000000.000000,902563000000.000000
