Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,785393399793.000000,496350411898.000000,31189666879.000000,465160745019.000000,496350411898.000000,4367291807.000000,4367291807.000000,4367291807.000000,210719038488.000000,168422312564.000000,1665252454550.000000,,10791357026.000000,176906757737.000000,27414743701.000000,215112858464.000000,1880365313014.000000,,,717563667628.000000,119835578101.000000,,,378293335955.000000,378293335955.000000,,4749995635.000000,4749995635.000000,25695347388.000000,25201482695.000000,,3666666660.000000,10533552553.000000,14200219213.000000,149587708641.000000,717563667628.000000,92174848835.000000,,2444444460.000000,23659031450.000000,26103475910.000000,66071372925.000000,92174848835.000000,809738516463.000000,,66700000000.000000,915000000.000000,1003011796551.000000,989671796551.000000,13340000000.000000,1003011796551.000000,,1070626796551.000000,1880365313014.000000,1334000000.000000
12M 2021,,,631820764741.000000,623912899546.000000,25119378063.000000,598793521483.000000,623912899546.000000,5785823295.000000,5785823295.000000,5785823295.000000,235599989707.000000,217998015020.000000,1715117492309.000000,,6375658402.000000,174673785563.000000,25972323808.000000,207021767773.000000,1922139260082.000000,,,849719353514.000000,147237049425.000000,,504694940.000000,475747596354.000000,476252291294.000000,,6006718395.000000,6006718395.000000,12404622063.000000,35551030939.000000,,2444444460.000000,48558316897.000000,51002761357.000000,121264880041.000000,849719353514.000000,64957000732.000000,,,16787703104.000000,16787703104.000000,48169297628.000000,64957000732.000000,914676354246.000000,,66700000000.000000,915000000.000000,939847905836.000000,926507905836.000000,13340000000.000000,939847905836.000000,,1007462905836.000000,1922139260082.000000,1334000000.000000
12M 2022,,,430689535341.000000,907006426326.000000,18672735288.000000,888333691038.000000,907006426326.000000,1783297862.000000,1783297862.000000,1783297862.000000,448747757638.000000,314366793405.000000,2102593810572.000000,,7947717444.000000,197549778353.000000,24239201263.000000,229736697060.000000,2332330507632.000000,,,1020353268994.000000,82825481828.000000,,,689084904541.000000,689084904541.000000,,2259664288.000000,2259664288.000000,12134353559.000000,45712531954.000000,,,14164108221.000000,14164108221.000000,174172224603.000000,1020353268994.000000,74584407171.000000,,,21961620372.000000,21961620372.000000,52622786799.000000,74584407171.000000,1094937676165.000000,,66700000000.000000,915000000.000000,1169777831467.000000,1156437831467.000000,13340000000.000000,1169777831467.000000,,1237392831467.000000,2332330507632.000000,1334000000.000000
12M 2023,,,1002076616127.000000,777971447960.000000,8078663404.000000,769892784556.000000,777971447960.000000,2375581845.000000,2375581845.000000,2375581845.000000,753719603528.000000,322685568549.000000,2858828818009.000000,,11587293328.000000,181082322324.000000,31628465837.000000,224298081489.000000,3083126899498.000000,,,1038493886480.000000,171073906367.000000,,,677097671107.000000,677097671107.000000,,4994345258.000000,4994345258.000000,22953390642.000000,47206054281.000000,,8359058997.000000,12010206466.000000,20369265463.000000,94799253362.000000,1038493886480.000000,99278837245.000000,,18938783361.000000,9925997949.000000,28864781310.000000,70414055935.000000,99278837245.000000,1137772723725.000000,,78470590000.000000,604347525851.000000,1262536059922.000000,1249196059922.000000,13340000000.000000,1262536059922.000000,,1945354175773.000000,3083126899498.000000,3138823600.000000
12M 2024,,,1421264097521.000000,574690567846.000000,692545643.000000,573998022203.000000,574690567846.000000,1883490638.000000,1883490638.000000,1883490638.000000,615707715535.000000,259274360180.000000,2872820231720.000000,,14249923940.000000,195701735024.000000,29207478492.000000,239159137456.000000,3111979369176.000000,,,824501367290.000000,39615197266.000000,,,519340106484.000000,519340106484.000000,,3944831214.000000,3944831214.000000,54591717104.000000,61810774781.000000,,8671488357.000000,14701736187.000000,23373224544.000000,121825515897.000000,824501367290.000000,126480700337.000000,,10267295004.000000,28622775695.000000,38890070699.000000,87590629638.000000,126480700337.000000,950982067627.000000,,78485405000.000000,605210944051.000000,1477300952498.000000,1461606834498.000000,15694118000.000000,1477300952498.000000,,2160997301549.000000,3111979369176.000000,3139416200.000000
