Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,351 B,(19 B),331 B,248.48
12M 2021,231 B,(2 B),228 B,171.04
12M 2022,129 B,(37 B),92 B,69.00
12M 2023,243 B,(30 B),213 B,67.93
12M 2024,905 B,(31 B),875 B,278.57
