Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembagian Hasil Atas Investasi Ventura Bersama,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Atas Penerbitan Modal Saham Melalui Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham Penawaran Umum Perdana,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Untuk Utang Bank Jangka Pendek,Pembayaran Liabilitas Jangka Pendek Lain-Lain,Penerimaan Dari Utang Bank Jangka Panjang,Pembayaran Untuk Utang Bank Jangka Panjang,Penerimaan Atas Penerbitan Modal Saham Melalui Program Mesop,Pembayaran Untuk Liabilitas Sewa,Pembayaran Dividen,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Perubahan Pada Setara Kas Yang Dibatasi Penggunaannya,Pengaruh Perubahan Kurs Mata Uang Asing,Kas Dan Setara Kas Akhir Periode
12M 2020,350696108042.000000,2892425029980.000000,-2225475110668.000000,-68693762264.000000,-160696856201.000000,-9210018523.000000,-77653174282.000000,,350696108042.000000,-12268117919.000000,,821023.000000,-19227498315.000000,6958559373.000000,-12268117919.000000,-141996856707.000000,,,139955520118.000000,-164997731534.000000,-12571211852.000000,,-3666666660.000000,,-7934475530.000000,-86500000000.000000,-6282291249.000000,-141996856707.000000,196431133416.000000,590923909145.000000,-3197951218.000000,1236308450.000000,785393399793.000000
12M 2021,230579546096.000000,2958239049366.000000,-2387129579765.000000,-65367328826.000000,-176150891783.000000,-36104850624.000000,-86663745013.000000,23756892741.000000,230579546096.000000,3158567186.000000,,40909091.000000,-2415888147.000000,5533546242.000000,3158567186.000000,-393625410240.000000,,,174779630781.000000,-147378159457.000000,,,-3666666660.000000,,-4807244123.000000,-400000000000.000000,-12552970781.000000,-393625410240.000000,-159887296958.000000,785393399793.000000,4955805125.000000,1358856781.000000,631820764741.000000
12M 2022,129091255036.000000,3280076065367.000000,-2669911937893.000000,-47992786206.000000,-210902676752.000000,-178620504236.000000,-93854152211.000000,50297246967.000000,129091255036.000000,-31013710474.000000,1960000000.000000,545045046.000000,-37044417146.000000,3525661626.000000,-31013710474.000000,-309949080879.000000,,,212366536510.000000,-276778104107.000000,,,-2444444460.000000,,-65871976460.000000,-165000000000.000000,-12221092362.000000,-309949080879.000000,-211871536317.000000,631820764741.000000,927409643.000000,9812897274.000000,430689535341.000000
12M 2023,243105742033.000000,4248727402185.000000,-3491049970001.000000,-76221883859.000000,-277586939218.000000,-111377904277.000000,-123923463685.000000,74538500888.000000,243105742033.000000,-20593172704.000000,2450000000.000000,190990991.000000,-29884161570.000000,6649997875.000000,-20593172704.000000,349013659695.000000,637965978000.000000,-20392275452.000000,514992003263.000000,-426743578724.000000,,31466087591.000000,-4168245233.000000,,-14189524178.000000,-350000000000.000000,-19916785572.000000,349013659695.000000,571526229024.000000,430689535341.000000,1266510506.000000,-1405658744.000000,1002076616127.000000
12M 2024,905319959651.000000,5592123008655.000000,-4299752233542.000000,-83744046317.000000,-297350922674.000000,-80535282056.000000,-121370129012.000000,195949564597.000000,905319959651.000000,-9845346993.000000,1225000000.000000,152702702.000000,-30768316268.000000,19545266573.000000,-9845346993.000000,-471137802535.000000,,,168632535137.000000,-300091244238.000000,,,-8359058997.000000,878233200.000000,-9157904502.000000,-313380148224.000000,-9660214911.000000,-471137802535.000000,424336810123.000000,1002076616127.000000,-9924079170.000000,4774750441.000000,1421264097521.000000
