Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,2897470576811.000000,-2327071717220.000000,570398859591.000000,-188851552749.000000,-4124969818.000000,-184726582931.000000,-188851552749.000000,381547306842.000000,21189989506.000000,22251279404.000000,6958559373.000000,-8019849271.000000,21189989506.000000,402737296348.000000,-89926979862.000000,312810316486.000000,-3871508343.000000,-3871508343.000000,-3871508343.000000,308938808143.000000,312810316486.000000,312810316486.000000,,312810316486.000000,308938808143.000000,308938808143.000000,,308938808143.000000
12M 2021,3114124365614.000000,-2507165194832.000000,606959170782.000000,-182526922705.000000,-5440376016.000000,-177086546689.000000,-182526922705.000000,424432248077.000000,-3660898212.000000,1857027132.000000,5533546242.000000,-11051471586.000000,-3660898212.000000,420771349865.000000,-93843195248.000000,326928154617.000000,9907954668.000000,9907954668.000000,9907954668.000000,336836109285.000000,326928154617.000000,326928154617.000000,,326928154617.000000,336836109285.000000,336836109285.000000,,336836109285.000000
12M 2022,3510262247585.000000,-2738461369024.000000,771800878561.000000,-232695568273.000000,-11050095570.000000,-221645472703.000000,-232695568273.000000,539105310288.000000,-22490465702.000000,-14892841861.000000,3525661626.000000,-11123285467.000000,-22490465702.000000,516614844586.000000,-117672812818.000000,398942031768.000000,-4012106137.000000,-4012106137.000000,-4012106137.000000,394929925631.000000,398942031768.000000,398942031768.000000,,398942031768.000000,394929925631.000000,394929925631.000000,,394929925631.000000
12M 2023,4200927016758.000000,-3328934898210.000000,871992118548.000000,-289937084567.000000,-17394721241.000000,-272542363326.000000,-289937084567.000000,582055033981.000000,-5271758387.000000,1641972136.000000,6649997875.000000,-13563728398.000000,-5271758387.000000,576783275594.000000,-129057533707.000000,447725741887.000000,-4967513432.000000,-4967513432.000000,-4967513432.000000,442758228455.000000,447725741887.000000,447725741887.000000,,447725741887.000000,442758228455.000000,442758228455.000000,,442758228455.000000
12M 2024,5361539704335.000000,-4397188946394.000000,964350757941.000000,-318649573458.000000,-19311899189.000000,-299337674269.000000,-318649573458.000000,645701184483.000000,39031350446.000000,-2222715891.000000,19545266573.000000,21708799764.000000,39031350446.000000,684732534929.000000,-154358332845.000000,530374202084.000000,-2229161284.000000,-2229161284.000000,-2229161284.000000,528145040800.000000,530374202084.000000,530374202084.000000,,530374202084.000000,528145040800.000000,528145040800.000000,,528145040800.000000
