Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.58,1302.48,1.60,1283.19,25 B,117 B,142 B,98 B,127 B
12M 2009,2.96,1302.39,2.99,1286.96,79 B,104 B,183 B,134 B,96 B
12M 2010,7.04,1459.56,7.09,1447.99,125 B,92 B,217 B,175 B,73 B
12M 2011,6.74,1686.20,6.78,1674.63,168 B,79 B,247 B,207 B,3 B
12M 2012,2.25,399.99,2.27,396.58,193 B,108 B,301 B,258 B,(9 B)
12M 2013,1.42,412.54,1.54,380.37,327 B,232 B,559 B,486 B,(106 B)
12M 2014,1.83,494.28,1.99,454.05,352 B,377 B,729 B,621 B,26 B
12M 2015,0.91,1028.09,0.94,993.71,287 B,386 B,673 B,582 B,72 B
12M 2016,1.10,1001.25,1.20,913.18,323 B,391 B,714 B,539 B,217 B
12M 2017,1.49,830.75,1.65,749.90,430 B,368 B,798 B,730 B,65 B
12M 2018,1.11,1081.14,1.19,1007.83,507 B,351 B,858 B,756 B,(13 B)
12M 2019,1.13,911.67,1.22,845.74,535 B,316 B,851 B,793 B,(175 B)
12M 2020,1.61,744.47,1.75,685.86,440 B,299 B,739 B,680 B,(283 B)
12M 2021,1.48,813.39,1.50,797.72,364 B,323 B,687 B,659 B,(249 B)
12M 2022,1.57,680.12,1.60,668.39,257 B,483 B,740 B,714 B,(122 B)
12M 2023,1.63,599.60,1.66,591.00,166 B,593 B,759 B,710 B,20 B
12M 2024,0.78,902.50,0.78,902.38,168 B,680 B,849 B,814 B,36 B
