Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Berelasi,Total Piutang Usaha,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pembelian Aset Tetap,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Surat Berharga Jangka Menengah,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pemegang Saham,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,44263794531.000000,100164468619.000000,,,100164468619.000000,3972098817.000000,55005371771.000000,19185182766.000000,222590916504.000000,,3787248825.000000,3787248825.000000,3787248825.000000,264453220.000000,199933558336.000000,,2662165681.000000,2953371924.000000,209600797986.000000,432191714490.000000,,,95401908386.000000,24013991225.000000,44962822271.000000,,44962822271.000000,9851224891.000000,4540664569.000000,,4540664569.000000,,7974239416.000000,,,1064252414.000000,,1064252414.000000,2994713600.000000,95401908386.000000,136350179333.000000,,,,,1050873849.000000,116341016071.000000,,117391889920.000000,,8303894395.000000,10654395018.000000,136350179333.000000,231752087719.000000,,34500000000.000000,575000000.000000,128567981545.000000,1038045735.000000,127529935810.000000,128567981545.000000,20697918530.000000,16098726696.000000,200439626771.000000,432191714490.000000,138000000.000000
12M 2009,,,48390657594.000000,139858642286.000000,,,139858642286.000000,5646700748.000000,67051716483.000000,22681677356.000000,283629394467.000000,,3020974413.000000,3020974413.000000,3020974413.000000,1290403719.000000,214233768452.000000,,2129732545.000000,2922129084.000000,223597008213.000000,507226402680.000000,,,187579972997.000000,52234903098.000000,70184514538.000000,,70184514538.000000,10248532201.000000,19268277371.000000,,19268277371.000000,,6427624344.000000,,23400000000.000000,3206792661.000000,,26606792661.000000,2609328784.000000,187579972997.000000,118392860041.000000,,,,93600000000.000000,10229435714.000000,,,103829435714.000000,,3209630044.000000,11353794283.000000,118392860041.000000,305972833038.000000,,34500000000.000000,575000000.000000,136822209441.000000,3114462565.000000,133707746876.000000,136822209441.000000,21523870796.000000,7832489405.000000,201253569642.000000,507226402680.000000,138000000.000000
12M 2010,,,41505927942.000000,136491258082.000000,,,136491258082.000000,5327212384.000000,78682423959.000000,32279462196.000000,294286284563.000000,,2254700001.000000,2254700001.000000,2254700001.000000,2367785607.000000,246845964857.000000,,1597299409.000000,3555442496.000000,256621192370.000000,550907476933.000000,,,221002430725.000000,60080202603.000000,70986042548.000000,,70986042548.000000,9117826931.000000,4492931559.000000,,4492931559.000000,29493017312.000000,6827086086.000000,,29393999041.000000,6239522069.000000,,35633521110.000000,4371802576.000000,221002430725.000000,105941431651.000000,,,,77193000559.000000,14547717985.000000,,,91740718544.000000,,2421063783.000000,11779649324.000000,105941431651.000000,326943862376.000000,,34500000000.000000,575000000.000000,159577075875.000000,5290411041.000000,154286664834.000000,159577075875.000000,22543705891.000000,6767832791.000000,223963614557.000000,550907476933.000000,138000000.000000
12M 2011,,,39517297000.000000,132921278000.000000,,,132921278000.000000,10526173000.000000,93563209000.000000,21423553000.000000,297951510000.000000,,2254700000.000000,2254700000.000000,2254700000.000000,2115749000.000000,335847908000.000000,,1597299000.000000,4196635000.000000,346012291000.000000,643963801000.000000,,,295219837000.000000,80072356000.000000,98777665000.000000,,98777665000.000000,10489619000.000000,4295800000.000000,,4295800000.000000,41848128000.000000,11922996000.000000,,32105281000.000000,13568196000.000000,,45673477000.000000,2139796000.000000,295219837000.000000,94237288000.000000,,,,56563213000.000000,22670103000.000000,,,79233316000.000000,,1363228000.000000,13640744000.000000,94237288000.000000,389457125000.000000,,34500000000.000000,575000000.000000,187184676000.000000,6900000000.000000,180284676000.000000,187184676000.000000,21810643000.000000,10436357000.000000,254506676000.000000,643963801000.000000,138000000.000000
12M 2012,,,43733397000.000000,137090866000.000000,,,137090866000.000000,8934798000.000000,115735586000.000000,27667429000.000000,333162076000.000000,,2254700000.000000,2254700000.000000,2254700000.000000,,427232116000.000000,2354290000.000000,,5380748000.000000,437221854000.000000,770383930000.000000,,,342186183000.000000,82713603000.000000,122673690000.000000,,122673690000.000000,6259933000.000000,9869001000.000000,,9869001000.000000,35584190000.000000,9333622000.000000,,51750525000.000000,23319408000.000000,,75069933000.000000,682211000.000000,342186183000.000000,126367815000.000000,,,,69085138000.000000,38829619000.000000,,,107914757000.000000,,1305352000.000000,17147706000.000000,126367815000.000000,468553998000.000000,,34500000000.000000,575000000.000000,224446360000.000000,6900000000.000000,217546360000.000000,224446360000.000000,25835651000.000000,16472921000.000000,301829932000.000000,770383930000.000000,690000000.000000
12M 2013,,,73003111000.000000,158115180000.000000,,,158115180000.000000,1880403000.000000,148582554000.000000,74869825000.000000,456451073000.000000,,,,,1088690000.000000,639297618000.000000,22196840000.000000,,6098494000.000000,668681642000.000000,1125132715000.000000,,,562368619000.000000,194908726000.000000,168261171000.000000,,168261171000.000000,7389274000.000000,8767298000.000000,,8767298000.000000,19992865000.000000,28780020000.000000,,85626162000.000000,26776571000.000000,,112402733000.000000,21866532000.000000,562368619000.000000,256882917000.000000,122869511000.000000,,,77917460000.000000,31262205000.000000,,,109179665000.000000,,1846793000.000000,22986948000.000000,256882917000.000000,819251536000.000000,,34500000000.000000,575000000.000000,199250139000.000000,6900000000.000000,192350139000.000000,199250139000.000000,21231204000.000000,50324836000.000000,305881179000.000000,1125132715000.000000,690000000.000000
12M 2014,,,107951932000.000000,226734015000.000000,,,226734015000.000000,5632568000.000000,184314236000.000000,56387153000.000000,581019904000.000000,,,,,1103197000.000000,719368856000.000000,27757644000.000000,,4836315000.000000,753066012000.000000,1334085916000.000000,,,555109444000.000000,221903530000.000000,167710370000.000000,,167710370000.000000,4783842000.000000,4776283000.000000,,4776283000.000000,51538526000.000000,22989944000.000000,,44053661000.000000,34232298000.000000,,78285959000.000000,3120990000.000000,555109444000.000000,412601657000.000000,6213158000.000000,196209719000.000000,,109513605000.000000,65070567000.000000,,,174584172000.000000,,10462994000.000000,25131614000.000000,412601657000.000000,967711101000.000000,,34500000000.000000,575000000.000000,252159862000.000000,6900000000.000000,245259862000.000000,252159862000.000000,25320305000.000000,53819648000.000000,366374815000.000000,1334085916000.000000,690000000.000000
12M 2015,,,91619292000.000000,240231544000.000000,,,240231544000.000000,4134275000.000000,202459084000.000000,45585206000.000000,584029401000.000000,,,,,,1202090420000.000000,26092626000.000000,,8571464000.000000,1236754510000.000000,1820783911000.000000,,,511796663000.000000,195111344000.000000,180771879000.000000,,180771879000.000000,5864969000.000000,3170608000.000000,,3170608000.000000,10935461000.000000,25649055000.000000,,38452496000.000000,42577973000.000000,,81030469000.000000,9262878000.000000,511796663000.000000,481072960000.000000,,197325286000.000000,,114986194000.000000,73940697000.000000,,,188926891000.000000,,54817568000.000000,40003215000.000000,481072960000.000000,992869623000.000000,,37950000000.000000,40595000000.000000,199311894000.000000,6900000000.000000,192411894000.000000,199311894000.000000,47595629000.000000,502461765000.000000,827914288000.000000,1820783911000.000000,759000000.000000
12M 2016,,,175194943000.000000,298868206000.000000,,,298868206000.000000,3855891000.000000,234449520000.000000,64947895000.000000,777316455000.000000,,,,,,1196816898000.000000,65691968000.000000,20530792000.000000,28340796000.000000,1311380454000.000000,2088696909000.000000,,,560277480000.000000,224779103000.000000,179589050000.000000,,179589050000.000000,3977370000.000000,3569048000.000000,,3569048000.000000,18594928000.000000,23897117000.000000,,37621514000.000000,42111474000.000000,,79732988000.000000,26137876000.000000,560277480000.000000,500066154000.000000,,,,303417734000.000000,87604392000.000000,,,391022126000.000000,,60974518000.000000,48069510000.000000,500066154000.000000,1060343634000.000000,,48955500000.000000,246579048000.000000,236437381000.000000,6900000000.000000,229537381000.000000,236437381000.000000,48024077000.000000,448357269000.000000,1028353275000.000000,2088696909000.000000,979110000.000000
12M 2017,,,67552749000.000000,311211757000.000000,25764300000.000000,285447457000.000000,311211757000.000000,5817158000.000000,236755106000.000000,97420760000.000000,718757530000.000000,,,,,15540680000.000000,1126409541000.000000,58624243000.000000,20530792000.000000,25014296000.000000,1246119552000.000000,1964877082000.000000,,,654032840000.000000,304395144000.000000,182843879000.000000,,182843879000.000000,4004896000.000000,1264528000.000000,,1264528000.000000,43807459000.000000,27447659000.000000,,49957637000.000000,31529729000.000000,,81487366000.000000,8781909000.000000,654032840000.000000,457814805000.000000,,,,314023428000.000000,54238690000.000000,,,368262118000.000000,,27671235000.000000,61881452000.000000,457814805000.000000,1111847645000.000000,,48955500000.000000,246579048000.000000,96436625000.000000,9791100000.000000,86645525000.000000,96436625000.000000,39636937000.000000,421421327000.000000,853029437000.000000,1964877082000.000000,979110000.000000
