Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Klaim Asuransi,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Bunga Dan Pengembalian Pajak,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kas Dari Pihak Berelasi,Arus Kas Keluar Bersih Dari Akuisisi Entitas Anak,Penerimaan Dividen Efek,Hasil Jual Investasi Sementara,Penempatan Pada Investasi Sementara,Pembelian Efek,Penjualan Efek,Penerimaan Klaim Asuransi,Hasil Penjualan Aset Tetap Dijual Dan Disewa Kembali,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap Transaksi Sewa Pembiayaan Dijual Dan Disewa Kembali,Penambahan Aset Tidak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peneriman Uang Muka Penjualan Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Uang Muka Penjualan Mesin,Pembayaran Pinjaman Kepada Pihak Ketiga,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Jangka Panjang Pihak Ketiga Lainnya,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Obligasi,Penerimaan Utang Jangka Menengah,Pembayaran Utang Jangka Menengah,Penerimaan Utang Dari Pemegang Saham,Pembayaran Utang Kepada Pemegang Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen Kepada Pemegang Saham Entitas Anak,Pembayaran Dividen,Penerimaan Dari Penerbitan Saham,Pembayaran Biaya Penerbitan Saham,Pembayaran Manfaat Pensiun,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penambahan Kas Melalui Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,15869582295.000000,463698814325.000000,,-422944551802.000000,-18447807057.000000,-7996739265.000000,1559866094.000000,,15869582295.000000,-12703652984.000000,,,109275360.000000,19047565779.000000,-6580261310.000000,,,,,1403768171.000000,976717500.000000,-25437457810.000000,,,-2223260674.000000,,-12703652984.000000,9715301094.000000,,,,,87686325191.000000,-71969922755.000000,,,,,,,,,-1765077862.000000,-786023480.000000,-3450000000.000000,,,,9715301094.000000,12881230405.000000,28878006280.000000,2504557845.000000,,44263794530.000000
12M 2009,27083258750.000000,500384432822.000000,,-439563628274.000000,-27228475353.000000,-6509070445.000000,,,27083258750.000000,-25654704343.000000,,,,2458664689.000000,-2474402414.000000,,,,,1324672291.000000,57740954.000000,-24467072466.000000,,,-2554307397.000000,,-25654704343.000000,7508273352.000000,,,,,251630767790.000000,-112482571533.000000,,,,-117000000000.000000,,,,,-1419902288.000000,-1214020617.000000,-12006000000.000000,,,,7508273352.000000,8936827759.000000,44263794531.000000,-4809964696.000000,,48390657594.000000
12M 2010,60380243328.000000,573393525313.000000,,-483044984377.000000,-21286501611.000000,-8767632570.000000,85836573.000000,,60380243328.000000,-49179461316.000000,,,,8740940576.000000,-2601000000.000000,,,,,695143437.000000,268009018.000000,-40105251530.000000,,,-16177302817.000000,,-49179461316.000000,-17777528693.000000,,,,,231090934476.000000,-229738834998.000000,,,,,,,,,-5130702451.000000,-11898925720.000000,-2100000000.000000,,,,-17777528693.000000,-6576746681.000000,48390657594.000000,-307982971.000000,,41505927942.000000
12M 2011,96770632000.000000,679973370000.000000,,-543856609000.000000,-23313046000.000000,-16033083000.000000,,,96770632000.000000,-70899075000.000000,,,,722064000.000000,-379006000.000000,,,,,447239000.000000,399920000.000000,-64137397000.000000,,,-7951895000.000000,,-70899075000.000000,-27463887000.000000,,,,,361492064000.000000,-362439330000.000000,,,,,,,,,-9685988000.000000,-4500000000.000000,-12330633000.000000,,,,-27463887000.000000,-1592330000.000000,41505928000.000000,-396301000.000000,,39517297000.000000
12M 2012,101095907000.000000,830993094000.000000,,-676307887000.000000,-29320914000.000000,-24268386000.000000,,,101095907000.000000,-60214782000.000000,,,,,,,,,,1131273000.000000,293412000.000000,-83539511000.000000,33242317000.000000,,-11342273000.000000,,-60214782000.000000,-36542545000.000000,,,,,331948178000.000000,-333607104000.000000,,,,,,,,,-21730742000.000000,-900000000.000000,-12252877000.000000,,,,-36542545000.000000,4338580000.000000,39517297000.000000,-122480000.000000,,43733397000.000000
12M 2013,103086504000.000000,960376574000.000000,,-797353626000.000000,-38440389000.000000,-21496055000.000000,,,103086504000.000000,-78914105000.000000,2254700000.000000,-27720000000.000000,,,,,1000000000.000000,,,194704000.000000,695821000.000000,-57734864000.000000,15826839000.000000,,-13431305000.000000,,-78914105000.000000,-8699757000.000000,18217277000.000000,,,-2600000000.000000,533657680000.000000,-515991737000.000000,,,,,,,,,-24448985000.000000,-1800000000.000000,-15733992000.000000,,,,-8699757000.000000,15472642000.000000,43733397000.000000,10200627000.000000,3596445000.000000,73003111000.000000
12M 2014,198105603000.000000,1201772425000.000000,,-930831138000.000000,-58164947000.000000,-14670737000.000000,,,198105603000.000000,-7474561000.000000,,,,,,,2800030000.000000,,,509691000.000000,396823000.000000,-40630726000.000000,36676079000.000000,-3319254000.000000,-3907204000.000000,,-7474561000.000000,-156270721000.000000,,-51401970000.000000,,,569611755000.000000,-839786830000.000000,,,,,200000000000.000000,,,,-34693676000.000000,,,,,,-156270721000.000000,34360321000.000000,73003111000.000000,588500000.000000,,107951932000.000000
12M 2015,276302922000.000000,1274211142000.000000,,-921443610000.000000,-76772489000.000000,-13662047000.000000,13969926000.000000,,276302922000.000000,7832247000.000000,,,,,,,,,,462513000.000000,168568000.000000,-54935267000.000000,65682967000.000000,,-3546534000.000000,,7832247000.000000,-303722065000.000000,,-57876373000.000000,,,661560921000.000000,-855555145000.000000,24516594000.000000,,-48187532000.000000,,,,,,-57971041000.000000,-1800000000.000000,-11879489000.000000,43470000000.000000,,,-303722065000.000000,-19586896000.000000,107951932000.000000,3254256000.000000,,91619292000.000000
12M 2016,90207118000.000000,1316224177000.000000,,-1119592313000.000000,-88335609000.000000,-21353507000.000000,3264370000.000000,,90207118000.000000,-147476862000.000000,,,,,,,,,,438646000.000000,6259607000.000000,-142021057000.000000,63307182000.000000,-64000000000.000000,-11461240000.000000,,-147476862000.000000,125363203000.000000,,-48721895000.000000,,,1081294717000.000000,-1101950261000.000000,333789665000.000000,,-143056924000.000000,,,-200000000000.000000,,,-12981647000.000000,,,220110000000.000000,-3120452000.000000,,125363203000.000000,68093459000.000000,91619292000.000000,-3427855000.000000,,156284896000.000000
12M 2017,9047191000.000000,1311465663000.000000,4000000000.000000,-1215795581000.000000,-77038099000.000000,-17737700000.000000,4152908000.000000,,9047191000.000000,-8002311000.000000,,,,,,,,48077845000.000000,,727119000.000000,468181000.000000,-49278711000.000000,15891812000.000000,-543894000.000000,-23344663000.000000,,-8002311000.000000,-91932807000.000000,,-59922348000.000000,,,1004582772000.000000,-949057144000.000000,60762967000.000000,,-37826624000.000000,,,,,,-105757404000.000000,-1800000000.000000,-2915026000.000000,,,,-91932807000.000000,-90887927000.000000,156284896000.000000,2155780000.000000,,67552749000.000000
