Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,479934277855.000000,-387973205917.000000,91961071938.000000,-48065882781.000000,-12921143346.000000,-38690193488.000000,3545454053.000000,-48065882781.000000,43895189157.000000,-14892288545.000000,1403768171.000000,-18656776819.000000,1079173098.000000,-2850504325.000000,4132051330.000000,-14892288545.000000,29002900612.000000,-7858289460.000000,21144611152.000000,-1734315167.000000,19410295985.000000,,19410295985.000000,19410295985.000000,21144611152.000000,-1734315167.000000,19410295985.000000,19410295985.000000,19410295985.000000,,19410295985.000000
12M 2009,537142366438.000000,-430587812168.000000,106554554270.000000,-53104941461.000000,-18275396916.000000,-39041328011.000000,4211783466.000000,-53104941461.000000,53449612809.000000,-30013590709.000000,1324672292.000000,-27354761334.000000,54240928.000000,-3413929487.000000,-623813108.000000,-30013590709.000000,23436022100.000000,-1135821319.000000,22300200781.000000,-2039972885.000000,20260227896.000000,,20260227896.000000,20260227896.000000,22300200781.000000,-2039972885.000000,20260227896.000000,20260227896.000000,20260227896.000000,,20260227896.000000
12M 2010,568328198058.000000,-443954247945.000000,124373950113.000000,-59205256083.000000,-17835463448.000000,-45452274631.000000,4082481996.000000,-59205256083.000000,65168694030.000000,-17886542904.000000,695143437.000000,-21472593101.000000,256791639.000000,1451569454.000000,1182545667.000000,-17886542904.000000,47282151126.000000,-9335014442.000000,37947136684.000000,-3186270250.000000,34760866434.000000,,34760866434.000000,34760866434.000000,37947136684.000000,-3186270250.000000,34760866434.000000,34760866434.000000,34760866434.000000,,34760866434.000000
12M 2011,679335305000.000000,-530923836000.000000,148411469000.000000,-64184632000.000000,-21451675000.000000,-47035563000.000000,4302606000.000000,-64184632000.000000,84226837000.000000,-26053054000.000000,447239000.000000,-24964807000.000000,202171000.000000,-1518642000.000000,-219015000.000000,-26053054000.000000,58173783000.000000,-14377319000.000000,43796464000.000000,,43796464000.000000,3666597000.000000,47463061000.000000,43796464000.000000,40027599000.000000,3768865000.000000,43796464000.000000,47463061000.000000,43696124000.000000,3766937000.000000,47463061000.000000
12M 2012,836986463000.000000,-657610654000.000000,179375809000.000000,-71974846000.000000,-23945805000.000000,-47833909000.000000,-195132000.000000,-71974846000.000000,107400963000.000000,-27368871000.000000,1131273000.000000,-28500144000.000000,,,,-27368871000.000000,80032092000.000000,-25535802000.000000,54496290000.000000,,54496290000.000000,6146966000.000000,60643256000.000000,54496290000.000000,49571282000.000000,4925008000.000000,54496290000.000000,60643256000.000000,55718248000.000000,4925008000.000000,60643256000.000000
12M 2013,960999965000.000000,-791646369000.000000,169353596000.000000,-138166151000.000000,-31123338000.000000,-62631985000.000000,-44410828000.000000,-138166151000.000000,31187445000.000000,-39319572000.000000,194704000.000000,-39514276000.000000,,,,-39319572000.000000,-8132127000.000000,-4087294000.000000,-12219421000.000000,,-12219421000.000000,33851915000.000000,21632494000.000000,-12219421000.000000,-9326221000.000000,-2893200000.000000,-12219421000.000000,21632494000.000000,24525694000.000000,-2893200000.000000,21632494000.000000
12M 2014,1258841240000.000000,-1030720991000.000000,228120249000.000000,-94431268000.000000,-41031523000.000000,-66180119000.000000,12780374000.000000,-94431268000.000000,133688981000.000000,-59421466000.000000,509691000.000000,-59931157000.000000,,,,-59421466000.000000,74267515000.000000,-17268691000.000000,56998824000.000000,,56998824000.000000,3494812000.000000,60493636000.000000,56998824000.000000,52909723000.000000,4089101000.000000,56998824000.000000,60493636000.000000,56404535000.000000,4089101000.000000,60493636000.000000
12M 2015,1278353442000.000000,-1052996199000.000000,225357243000.000000,-150839985000.000000,-38983782000.000000,-75656323000.000000,-36199880000.000000,-150839985000.000000,74517258000.000000,-76944647000.000000,462513000.000000,-77407160000.000000,,,,-76944647000.000000,-2427389000.000000,-4732183000.000000,-7159572000.000000,,-7159572000.000000,447331234000.000000,440171662000.000000,-7159572000.000000,-11737117000.000000,4577545000.000000,-7159572000.000000,440171662000.000000,416145879000.000000,24025783000.000000,440171662000.000000
12M 2016,1364849405000.000000,-1149024674000.000000,215824731000.000000,-104747648000.000000,-39856189000.000000,-76879729000.000000,11988270000.000000,-104747648000.000000,111077083000.000000,-90618838000.000000,438646000.000000,-91057484000.000000,,,,-90618838000.000000,20458245000.000000,-7793268000.000000,12664977000.000000,,12664977000.000000,-22198935000.000000,-9533958000.000000,12664977000.000000,12090872000.000000,574105000.000000,12664977000.000000,-9533958000.000000,-9962406000.000000,428448000.000000,-9533958000.000000
12M 2017,1310440496000.000000,-1212748593000.000000,97691903000.000000,-244795612000.000000,-45411689000.000000,-87655850000.000000,-111728073000.000000,-244795612000.000000,-147103709000.000000,-77085671000.000000,727119000.000000,-77812790000.000000,,,,-77085671000.000000,-224189380000.000000,45905958000.000000,-178283422000.000000,,-178283422000.000000,7696914000.000000,-170586508000.000000,-178283422000.000000,-172428331000.000000,-5855091000.000000,-178283422000.000000,-170586508000.000000,-163999368000.000000,-6587140000.000000,-170586508000.000000
