Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Adjustment,Pembayaran Pajak Penghasilan,Restitusi Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Bunga,Penambahan Piutang Plasma,Penerimaan Dividen,Penerimaan Dari Penjualan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Pelepasan Aset Tetap,Penambahan Aset Hak-Guna,Penurunan Aset Tidak Lancar Lainnya,Kenaikan Aset Tidak Lancar Lainnya,Penambahan Aset Biologis,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerbitan Saham Perusahaan Melalui Ipo,Tambahan Modal Disetor,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Perolehan Utang Bank Jangka Panjang,Pembayaran Bunga,Perolehan Utang Non-Usaha Pihak Berelasi,Pembayaran Utang Non-Usaha Pihak Berelasi,Perolehan Liabilitas Sewa,Pembayaran Liabilitas Sewa,Biaya Ditangguhkan Atas Biaya Emisi Saham,Perolehan Utang Jangka Panjang,Perolehan Liabilitas Keuangan Lainnya,Pembayaran Liabilitas Keuangan Lainnya,Kenaikan Deposito Berjangka Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,948136000000.000000,4267925000000.000000,-2461744000000.000000,-391801000000.000000,-405319000000.000000,,-81371000000.000000,20446000000.000000,948136000000.000000,-273100000000.000000,-255357000000.000000,10165000000.000000,-25107000000.000000,2750000000.000000,,-6974000000.000000,2336000000.000000,-320000000.000000,,-256000000.000000,-337000000.000000,,-273100000000.000000,-831494000000.000000,-113498000000.000000,,,-985193000000.000000,741798000000.000000,-974204000000.000000,,829000000000.000000,-255257000000.000000,74000000000.000000,-136000000000.000000,,-6759000000.000000,,,,-831000000.000000,-4550000000.000000,-831494000000.000000,-156458000000.000000,,562432000000.000000,405974000000.000000
12M 2021,1770527000000.000000,5994207000000.000000,-2939941000000.000000,-612476000000.000000,-462182000000.000000,,-213737000000.000000,4656000000.000000,1770527000000.000000,-446559000000.000000,-450987000000.000000,19522000000.000000,-18911000000.000000,9500000000.000000,,-6643000000.000000,2477000000.000000,-802000000.000000,,-511000000.000000,-204000000.000000,,-446559000000.000000,-871007000000.000000,-1206205000000.000000,,906000000000.000000,-527712000000.000000,405607000000.000000,-227548000000.000000,,,-206718000000.000000,84000000000.000000,-84000000000.000000,,-7394000000.000000,-6181000000.000000,,,-856000000.000000,,-871007000000.000000,452961000000.000000,1362000000.000000,405974000000.000000,860297000000.000000
12M 2022,1431297000000.000000,6057566000000.000000,-3184523000000.000000,-635788000000.000000,-381560000000.000000,,-427625000000.000000,3227000000.000000,1431297000000.000000,-431827000000.000000,-208301000000.000000,41609000000.000000,-49298000000.000000,12000000000.000000,,-8399000000.000000,74539000000.000000,-342000000.000000,,8203000000.000000,-138000000.000000,-301700000000.000000,-431827000000.000000,-277857000000.000000,-273517000000.000000,542023000000.000000,,-375000000000.000000,445000000000.000000,-445306000000.000000,,,-146434000000.000000,,,,-7089000000.000000,-15335000000.000000,,,-502000000.000000,-1697000000.000000,-277857000000.000000,721613000000.000000,12158000000.000000,860297000000.000000,1594068000000.000000
12M 2023,1045411000000.000000,5358148000000.000000,-2250103000000.000000,-289763000000.000000,-1306784000000.000000,,-466087000000.000000,,1045411000000.000000,-550249000000.000000,-622816000000.000000,62128000000.000000,40256000000.000000,1500000000.000000,9860000000.000000,-617000000.000000,6377000000.000000,-1634000000.000000,,-46995000000.000000,1692000000.000000,,-550249000000.000000,-1057215000000.000000,-629010000000.000000,,,-704607000000.000000,734607000000.000000,-346187000000.000000,,,-106743000000.000000,,,,-6533000000.000000,,,,-1339000000.000000,2597000000.000000,-1057215000000.000000,-562053000000.000000,1362000000.000000,1594068000000.000000,1033377000000.000000
12M 2024,1478142000000.000000,6340005000000.000000,-2992792000000.000000,-395313000000.000000,-1188132000000.000000,,-293519000000.000000,7893000000.000000,1478142000000.000000,-778264000000.000000,-788534000000.000000,44731000000.000000,18217000000.000000,4350000000.000000,,-62349000000.000000,4266000000.000000,-120000000.000000,1175000000.000000,,,,-778264000000.000000,-421550000000.000000,-369805000000.000000,,,-285000000000.000000,210000000000.000000,-445760000000.000000,601205000000.000000,,-124939000000.000000,,,,-5199000000.000000,,,,-2043000000.000000,-9000000.000000,-421550000000.000000,278328000000.000000,6785000000.000000,1033377000000.000000,1318490000000.000000
