Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,4203947000000.000000,-3058490000000.000000,1145457000000.000000,-296104000000.000000,-285112000000.000000,-113045000000.000000,102053000000.000000,-296104000000.000000,849353000000.000000,-209056000000.000000,-224044000000.000000,10066000000.000000,4922000000.000000,-209056000000.000000,640297000000.000000,-140149000000.000000,,,,-140149000000.000000,500148000000.000000,,500148000000.000000,-13318000000.000000,-13318000000.000000,-13318000000.000000,486830000000.000000,500148000000.000000,410026000000.000000,90122000000.000000,500148000000.000000,486830000000.000000,396875000000.000000,89955000000.000000,486830000000.000000
12M 2021,5883920000000.000000,-3612690000000.000000,2271230000000.000000,-552807000000.000000,-548363000000.000000,-135428000000.000000,130984000000.000000,-552807000000.000000,1718423000000.000000,-168383000000.000000,-197664000000.000000,19501000000.000000,9780000000.000000,-168383000000.000000,1550040000000.000000,-310727000000.000000,,,,-310727000000.000000,1239313000000.000000,,1239313000000.000000,-203000000.000000,-203000000.000000,-203000000.000000,1239110000000.000000,1239313000000.000000,1077222000000.000000,162091000000.000000,1239313000000.000000,1239110000000.000000,1076978000000.000000,162132000000.000000,1239110000000.000000
12M 2022,6045448000000.000000,-3999980000000.000000,2045468000000.000000,-314793000000.000000,-242569000000.000000,-141334000000.000000,69110000000.000000,-314793000000.000000,1730675000000.000000,-92998000000.000000,-145159000000.000000,43113000000.000000,9048000000.000000,-92998000000.000000,1637677000000.000000,-356816000000.000000,,,,-356816000000.000000,1280861000000.000000,,1280861000000.000000,15000000000.000000,15000000000.000000,15000000000.000000,1295861000000.000000,1280861000000.000000,1112582000000.000000,168279000000.000000,1280861000000.000000,1295861000000.000000,1127191000000.000000,168670000000.000000,1295861000000.000000
12M 2023,5285201000000.000000,-3876209000000.000000,1408992000000.000000,-357260000000.000000,-237609000000.000000,-193082000000.000000,73431000000.000000,-357260000000.000000,1051732000000.000000,-44472000000.000000,-110920000000.000000,61749000000.000000,4699000000.000000,-44472000000.000000,1007260000000.000000,-225008000000.000000,,,,-225008000000.000000,782252000000.000000,,782252000000.000000,7125000000.000000,7125000000.000000,7125000000.000000,789377000000.000000,782252000000.000000,681880000000.000000,100372000000.000000,782252000000.000000,789377000000.000000,688340000000.000000,101037000000.000000,789377000000.000000
12M 2024,6439474000000.000000,-4256084000000.000000,2183390000000.000000,-315908000000.000000,-266805000000.000000,-197394000000.000000,148291000000.000000,-315908000000.000000,1867482000000.000000,-36346000000.000000,-89214000000.000000,45533000000.000000,7335000000.000000,-36346000000.000000,1831136000000.000000,-377003000000.000000,,,,-377003000000.000000,1454133000000.000000,,1454133000000.000000,11961000000.000000,11961000000.000000,11961000000.000000,1466094000000.000000,1454133000000.000000,1282223000000.000000,171910000000.000000,1454133000000.000000,1466094000000.000000,1292930000000.000000,173164000000.000000,1466094000000.000000
