Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Deposito Berjangka,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Deposito Berjangka,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,440393000000.000000,93291000000.000000,93226000000.000000,65000000.000000,93291000000.000000,5031000000.000000,4966000000.000000,65000000.000000,5031000000.000000,176696000000.000000,,226619000000.000000,942030000000.000000,,12500000000.000000,3629360000000.000000,2935000000.000000,22275000000.000000,280836000000.000000,13852000000.000000,178633000000.000000,4140391000000.000000,5082421000000.000000,,,652432000000.000000,156524000000.000000,,70449000000.000000,1721000000.000000,72170000000.000000,,23914000000.000000,290000000.000000,24204000000.000000,113953000000.000000,12474000000.000000,,226290000000.000000,5616000000.000000,782000000.000000,232688000000.000000,40419000000.000000,652432000000.000000,2270776000000.000000,,2115028000000.000000,4461000000.000000,766000000.000000,2120255000000.000000,60424000000.000000,90097000000.000000,2270776000000.000000,2923208000000.000000,,94000000000.000000,739662000000.000000,1095634000000.000000,,,1095634000000.000000,229917000000.000000,2159213000000.000000,5082421000000.000000,94000000.000000
12M 2021,,,860297000000.000000,37137000000.000000,37137000000.000000,,37137000000.000000,2672000000.000000,2495000000.000000,177000000.000000,2672000000.000000,296602000000.000000,,265117000000.000000,1461825000000.000000,,12675000000.000000,3882392000000.000000,2605000000.000000,22275000000.000000,280836000000.000000,9071000000.000000,186901000000.000000,4396755000000.000000,5858580000000.000000,,,808160000000.000000,,,128953000000.000000,1751000000.000000,130704000000.000000,,80514000000.000000,100000000.000000,80614000000.000000,190366000000.000000,13354000000.000000,,326328000000.000000,6688000000.000000,502000000.000000,333518000000.000000,59604000000.000000,808160000000.000000,1952302000000.000000,,1788700000000.000000,7213000000.000000,190000000.000000,1796103000000.000000,76356000000.000000,79843000000.000000,1952302000000.000000,2760462000000.000000,,1000000000000.000000,739662000000.000000,966856000000.000000,,,966856000000.000000,391600000000.000000,3098118000000.000000,5858580000000.000000,10000000000.000000
12M 2022,,,1594068000000.000000,90798000000.000000,90798000000.000000,,90798000000.000000,9595000000.000000,5518000000.000000,4077000000.000000,9595000000.000000,439620000000.000000,,165977000000.000000,2300058000000.000000,,9794000000.000000,4092517000000.000000,2275000000.000000,23972000000.000000,282123000000.000000,13095000000.000000,288349000000.000000,4712125000000.000000,7012183000000.000000,,,890815000000.000000,70000000000.000000,,193499000000.000000,1495000000.000000,194994000000.000000,,81050000000.000000,279000000.000000,81329000000.000000,140210000000.000000,15389000000.000000,,345287000000.000000,5078000000.000000,191000000.000000,350556000000.000000,38337000000.000000,890815000000.000000,1478058000000.000000,,1325714000000.000000,4106000000.000000,,1329820000000.000000,63583000000.000000,84655000000.000000,1478058000000.000000,2368873000000.000000,,1090337000000.000000,1176013000000.000000,1970404000000.000000,218067000000.000000,1752337000000.000000,1970404000000.000000,406556000000.000000,4643310000000.000000,7012183000000.000000,10903372600.000000
12M 2023,,,1033377000000.000000,93729000000.000000,93729000000.000000,,93729000000.000000,5856000000.000000,5728000000.000000,128000000.000000,5856000000.000000,245155000000.000000,,181087000000.000000,1559204000000.000000,,13036000000.000000,4380972000000.000000,,21375000000.000000,250836000000.000000,18451000000.000000,437289000000.000000,5121959000000.000000,6681163000000.000000,,,747248000000.000000,100000000000.000000,,135596000000.000000,1683000000.000000,137279000000.000000,,56724000000.000000,46000000.000000,56770000000.000000,46003000000.000000,10163000000.000000,,352989000000.000000,5135000000.000000,2043000000.000000,360167000000.000000,36866000000.000000,747248000000.000000,1130237000000.000000,,972725000000.000000,6928000000.000000,3800000000.000000,983453000000.000000,48919000000.000000,97865000000.000000,1130237000000.000000,1877485000000.000000,,1090337000000.000000,1176013000000.000000,2150729000000.000000,218067000000.000000,1932662000000.000000,2150729000000.000000,386599000000.000000,4803678000000.000000,6681163000000.000000,10903372600.000000
12M 2024,,,1318490000000.000000,260382000000.000000,260382000000.000000,,260382000000.000000,28539000000.000000,25622000000.000000,2917000000.000000,28539000000.000000,386446000000.000000,,378007000000.000000,2371864000000.000000,,16100000000.000000,5002346000000.000000,,,209421000000.000000,32598000000.000000,451172000000.000000,5711637000000.000000,8083501000000.000000,,,1174077000000.000000,25000000000.000000,,138042000000.000000,1385000000.000000,139427000000.000000,,163521000000.000000,319000000.000000,163840000000.000000,129974000000.000000,14571000000.000000,,650069000000.000000,4299000000.000000,2217000000.000000,656585000000.000000,44680000000.000000,1174077000000.000000,1009456000000.000000,,831208000000.000000,2714000000.000000,1583000000.000000,835505000000.000000,64050000000.000000,109901000000.000000,1009456000000.000000,2183533000000.000000,,1090337000000.000000,1176013000000.000000,3138575000000.000000,218067000000.000000,2920508000000.000000,3138575000000.000000,495043000000.000000,5899968000000.000000,8083501000000.000000,10903372600.000000
