Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,1.44,1.17,1.16,2.35,0.0,0.0,0.96,0.49,1.35
12M 2021,1.81,1.44,0.69,1.89,0.0,0.0,0.41,0.36,0.89
12M 2022,2.58,2.09,0.38,1.51,0.0,0.0,0.03,0.25,0.51
12M 2023,2.09,1.76,0.3,1.39,0.0,0.0,0.09,0.22,0.39
12M 2024,2.02,1.69,0.26,1.37,0.0,0.0,0.03,0.19,0.37
